© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	8.84E00	1.94E-01	2.646	IFI6,IFIT3,IFITM3,IFNGR1,ISG15,MX1,STAT1	
Complement System	5.62E00	1.35E-01	NaN	C1QA,C1QB,C1QC,C3AR1,ITGAM	
Caveolar-mediated Endocytosis Signaling	5.35E00	8.22E-02	NaN	ACTB,ACTG1,FLNA,HLA-A,HLA-E,ITGAM	
Neuroinflammation Signaling Pathway	4.95E00	3.33E-02	0.707	ATF4,CX3CR1,CYBB,GLUL,HLA-A,HLA-DQB1,HLA-E,IFNGR1,SOD2,STAT1	
Leukocyte Extravasation Signaling	4.67E00	4.06E-02	-1.633	ACTB,ACTG1,CYBB,ICAM3,ITGAM,MYL6,SPN,TIMP1	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.75E00	5.62E-02	NaN	ACTB,ACTG1,HLA-A,HLA-E,ICAM3	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.64E00	5.32E-02	-2.236	ACTB,ACTG1,ARPC2,FCGR3A/FCGR3B,LYN	
Phagosome Maturation	3.57E00	3.97E-02	NaN	CTSA,CTSB,CYBB,HLA-A,HLA-E,LAMP2	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.53E00	3.9E-02	NaN	C1QA,C1QB,C1QC,C3AR1,OAS2,OAS3	
Necroptosis Signaling Pathway	3.48E00	3.82E-02	0.816	CYBB,GLUL,MERTK,SLC25A6,STAT1,UBC	
EIF2 Signaling	3.44E00	3.12E-02	NaN	ACTB,ATF4,EIF1,EIF3C,EIF3L,PABPC1,WARS1	
Virus Entry via Endocytic Pathways	3.38E00	4.67E-02	NaN	ACTB,ACTG1,FLNA,HLA-A,HLA-E	
Type I Diabetes Mellitus Signaling	3.3E00	4.5E-02	NaN	HLA-A,HLA-DQB1,HLA-E,IFNGR1,STAT1	
LXR/RXR Activation	3.13E00	4.13E-02	-1.000	ABCA1,CD14,CD36,MSR1,S100A8	
Dendritic Cell Maturation	3.13E00	3.28E-02	-0.447	ATF4,FCGR3A/FCGR3B,HLA-A,HLA-DQB1,HLA-E,STAT1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.09E00	3.23E-02	NaN	CD14,IFNGR1,KLF6,MYL6,STAT1,TIMP1	
Glucocorticoid Receptor Signaling	3.08E00	2.38E-02	NaN	ACTB,CD163,CDKN1A,CDKN1C,DUSP1,HSP90AB1,STAT1,TSC22D3	
T Helper Cell Differentiation	3.05E00	5.48E-02	NaN	HLA-A,HLA-DQB1,IFNGR1,STAT1	
ILK Signaling	3.04E00	3.16E-02	-1.633	ACTB,ACTG1,ATF4,FLNA,MYL6,NACA	
Cellular Effects of Sildenafil (Viagra)	2.98E00	3.82E-02	NaN	ACTB,ACTG1,GNAS,MYL6,PABPC4	
B Cell Development	2.91E00	8.33E-02	NaN	HLA-A,HLA-DQB1,SPN	
Antigen Presentation Pathway	2.81E00	7.69E-02	NaN	HLA-A,HLA-DQB1,HLA-E	
AMPK Signaling	2.78E00	2.8E-02	-1.000	ACTB,ATF4,CDKN1A,EEF2,GNAS,PPM1F	
Actin Cytoskeleton Signaling	2.74E00	2.75E-02	-2.000	ACTB,ACTG1,ARPC2,CD14,FLNA,MYL6	
iNOS Signaling	2.63E00	6.67E-02	NaN	CD14,IFNGR1,STAT1	
Role of IL-17A in Psoriasis	2.59E00	1.54E-01	NaN	S100A8,S100A9	
Graft-versus-Host Disease Signaling	2.55E00	6.25E-02	NaN	HLA-A,HLA-DQB1,HLA-E	
Tec Kinase Signaling	2.55E00	3.05E-02	-1.342	ACTB,ACTG1,GNAS,LYN,STAT1	
Autoimmune Thyroid Disease Signaling	2.53E00	6.12E-02	NaN	HLA-A,HLA-DQB1,HLA-E	
Cdc42 Signaling	2.51E00	2.99E-02	NaN	ARPC2,HLA-A,HLA-DQB1,HLA-E,MYL6	
Signaling by Rho Family GTPases	2.5E00	2.46E-02	-1.633	ACTB,ACTG1,ARPC2,CYBB,GNAS,MYL6	
Estrogen Receptor Signaling	2.49E00	2.13E-02	-2.449	ATF4,CDKN1A,DDX5,GNAS,HSP90AB1,MYL6,SOD2	
Th1 and Th2 Activation Pathway	2.47E00	2.92E-02	NaN	CCR1,HLA-A,HLA-DQB1,IFNGR1,STAT1	
PD-1, PD-L1 cancer immunotherapy pathway	2.45E00	3.77E-02	1.000	HLA-A,HLA-DQB1,HLA-E,IFNGR1	
RhoGDI Signaling	2.38E00	2.78E-02	2.236	ACTB,ACTG1,ARPC2,GNAS,MYL6	
Role of NFAT in Regulation of the Immune Response	2.37E00	2.76E-02	-1.342	FCGR3A/FCGR3B,GNAS,HLA-A,HLA-DQB1,LYN	
MSP-RON Signaling Pathway	2.32E00	5.17E-02	NaN	ACTB,ACTG1,ITGAM	
fMLP Signaling in Neutrophils	2.31E00	3.45E-02	NaN	ARPC2,CYBB,FPR1,GNAS	
Role of PKR in Interferon Induction and Antiviral Response	2.3E00	3.42E-02	NaN	HSP90AB1,IFNGR1,MSR1,STAT1	
NRF2-mediated Oxidative Stress Response	2.29E00	2.65E-02	NaN	ACTB,ACTG1,ATF4,JUNB,SOD2	
Autophagy	2.26E00	4.92E-02	NaN	CTSA,CTSB,LAMP2	
Clathrin-mediated Endocytosis Signaling	2.25E00	2.59E-02	NaN	ACTB,ACTG1,ARPC2,S100A8,UBC	
Th1 Pathway	2.25E00	3.31E-02	1.000	HLA-A,HLA-DQB1,IFNGR1,STAT1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.24E00	2.18E-02	1.633	IFIT3,IFNGR1,ISG15,LYN,MCL1,STAT1	
Glutamine Biosynthesis I	2.23E00	1E00	NaN	GLUL	
RhoA Signaling	2.22E00	3.25E-02	-2.000	ACTB,ACTG1,ARPC2,MYL6	
Phagosome Formation	2.2E00	3.2E-02	NaN	C3AR1,FCGR3A/FCGR3B,ITGAM,MSR1	
Remodeling of Epithelial Adherens Junctions	2.13E00	4.41E-02	NaN	ACTB,ACTG1,ARPC2	
IL-10 Signaling	2.11E00	4.35E-02	NaN	BLVRA,CCR1,CD14	
GM-CSF Signaling	2.09E00	4.29E-02	NaN	LYN,RACK1,STAT1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.06E00	8.33E-02	NaN	IFNGR1,STAT1	
IL-7 Signaling Pathway	1.96E00	3.85E-02	NaN	LYN,MCL1,STAT1	
Role of BRCA1 in DNA Damage Response	1.94E00	3.75E-02	NaN	ACTB,CDKN1A,STAT1	
Epithelial Adherens Junction Signaling	1.91E00	2.63E-02	NaN	ACTB,ACTG1,ARPC2,MYL6	
Regulation of eIF4 and p70S6K Signaling	1.86E00	2.55E-02	NaN	EIF1,EIF3C,EIF3L,PABPC1	
Allograft Rejection Signaling	1.85E00	3.49E-02	NaN	HLA-A,HLA-DQB1,HLA-E	
OX40 Signaling Pathway	1.8E00	3.33E-02	NaN	HLA-A,HLA-DQB1,HLA-E	
Prostate Cancer Signaling	1.79E00	3.3E-02	NaN	ATF4,CDKN1A,HSP90AB1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.77E00	5.88E-02	NaN	HLA-A,HLA-E	
Diphthamide Biosynthesis	1.76E00	3.33E-01	NaN	EEF2	
Phospholipase C Signaling	1.75E00	1.95E-02	-2.000	AHNAK,ATF4,GNAS,LYN,MYL6	
Regulation of Actin-based Motility by Rho	1.75E00	3.19E-02	NaN	ACTB,ARPC2,MYL6	
T Cell Exhaustion Signaling Pathway	1.71E00	2.29E-02	NaN	HLA-A,HLA-DQB1,HLA-E,STAT1	
VEGF Signaling	1.69E00	3.03E-02	NaN	ACTB,ACTG1,EIF1	
Antiproliferative Role of TOB in T Cell Signaling	1.66E00	5.13E-02	NaN	PABPC1,PABPC4	
Inhibition of Matrix Metalloproteases	1.66E00	5.13E-02	NaN	LRP1,TIMP1	
Heme Degradation	1.63E00	2.5E-01	NaN	BLVRA	
Acetate Conversion to Acetyl-CoA	1.63E00	2.5E-01	NaN	ACSL1	
Mechanisms of Viral Exit from Host Cells	1.62E00	4.88E-02	NaN	ACTB,ACTG1	
