© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	2.3E01	4.36E-01	NaN	CALR,CD74,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,PDIA3	
OX40 Signaling Pathway	1.6E01	1.89E-01	NaN	CD4,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN,NFKBIA	
Graft-versus-Host Disease Signaling	1.3E01	2.5E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Autoimmune Thyroid Disease Signaling	1.29E01	2.45E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Allograft Rejection Signaling	1.23E01	1.63E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
PD-1, PD-L1 cancer immunotherapy pathway	1.22E01	1.42E-01	3.051	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,TNFRSF1B	
Th2 Pathway	1.17E01	1.18E-01	NaN	CCR1,CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IKZF1,JUN,NOTCH2	
Cdc42 Signaling	1.14E01	1.02E-01	NaN	FOS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN,MYL6	
Neuroinflammation Signaling Pathway	1.08E01	7E-02	-3.000	APP,FOS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IRF7,JUN,NAIP,NCF1,NCF2,SOD2,TYROBP	
Type I Diabetes Mellitus Signaling	1.08E01	1.26E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,NFKBIA,TNFRSF1B	
