© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Glucocorticoid Receptor Signaling	4.52E00	1.19E-02	NaN	ACTB,CD3E,HSPA8,NFKBIA	
GM-CSF Signaling	3.15E00	2.86E-02	NaN	ETS1,RACK1	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.94E00	2.25E-02	NaN	CD3E,NFKBIA	
OX40 Signaling Pathway	2.93E00	2.22E-02	NaN	CD3E,NFKBIA	
Death Receptor Signaling	2.92E00	2.2E-02	NaN	ACTB,NFKBIA	
Sumoylation Pathway	2.81E00	1.94E-02	NaN	ETS1,NFKBIA	
T Cell Receptor Signaling	2.8E00	1.9E-02	NaN	CD3E,NFKBIA	
iCOS-iCOSL Signaling in T Helper Cells	2.75E00	1.8E-02	NaN	CD3E,NFKBIA	
Type I Diabetes Mellitus Signaling	2.75E00	1.8E-02	NaN	CD3E,NFKBIA	
Role of PKR in Interferon Induction and Antiviral Response	2.7E00	1.71E-02	NaN	HSPA8,NFKBIA	
CD28 Signaling in T Helper Cells	2.68E00	1.67E-02	NaN	CD3E,NFKBIA	
PKCθ Signaling in T Lymphocytes	2.46E00	1.29E-02	NaN	CD3E,NFKBIA	
Role of NFAT in Regulation of the Immune Response	2.33E00	1.1E-02	NaN	CD3E,NFKBIA	
Dendritic Cell Maturation	2.32E00	1.09E-02	NaN	IL32,NFKBIA	
B Cell Receptor Signaling	2.31E00	1.08E-02	NaN	ETS1,NFKBIA	
Clathrin-mediated Endocytosis Signaling	2.28E00	1.04E-02	NaN	ACTB,HSPA8	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.88E00	6.41E-03	NaN	IL32,NFKBIA	
Lipid Antigen Presentation by CD1	1.83E00	3.85E-02	NaN	CD3E	
TNFR2 Signaling	1.77E00	3.33E-02	NaN	NFKBIA	
4-1BB Signaling in T Lymphocytes	1.74E00	3.12E-02	NaN	NFKBIA	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.71E00	2.94E-02	NaN	CD3E	
MIF-mediated Glucocorticoid Regulation	1.71E00	2.94E-02	NaN	NFKBIA	
TWEAK Signaling	1.7E00	2.86E-02	NaN	NFKBIA	
IL-17A Signaling in Fibroblasts	1.7E00	2.86E-02	NaN	NFKBIA	
April Mediated Signaling	1.66E00	2.56E-02	NaN	NFKBIA	
Antiproliferative Role of TOB in T Cell Signaling	1.66E00	2.56E-02	NaN	CD3E	
B Cell Activating Factor Signaling	1.63E00	2.44E-02	NaN	NFKBIA	
Mechanisms of Viral Exit from Host Cells	1.63E00	2.44E-02	NaN	ACTB	
MIF Regulation of Innate Immunity	1.62E00	2.38E-02	NaN	NFKBIA	
BAG2 Signaling Pathway	1.61E00	2.33E-02	NaN	HSPA8	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.6E00	2.27E-02	NaN	NFKBIA	
IL-23 Signaling Pathway	1.6E00	2.27E-02	NaN	NFKBIA	
iNOS Signaling	1.59E00	2.22E-02	NaN	NFKBIA	
