© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Type I Diabetes Mellitus Signaling	1.21E01	9.01E-02	0.000	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,IRF1,SOCS3,STAT1,TNFRSF1B	
Antigen Presentation Pathway	1.08E01	1.79E-01	NaN	CD74,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E	
Neuroinflammation Signaling Pathway	1.03E01	4E-02	-1.667	CXCL8,FOS,GLUL,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,JUN,NAIP,STAT1	
Dendritic Cell Maturation	9.96E00	5.46E-02	-1.000	FCGR1A,FCGR1B,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,STAT1,TNFRSF1B	
T Cell Exhaustion Signaling Pathway	8.76E00	5.14E-02	NaN	FOS,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,JUN,STAT1	
Role of NFAT in Regulation of the Immune Response	8.63E00	4.97E-02	-1.667	CALM1 (includes others),FCGR1A,FCGR1B,FOS,HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,JUN	
Graft-versus-Host Disease Signaling	8.31E00	1.25E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E	
Autoimmune Thyroid Disease Signaling	8.26E00	1.22E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E	
OX40 Signaling Pathway	8.15E00	7.78E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,JUN	
PD-1, PD-L1 cancer immunotherapy pathway	7.66E00	6.6E-02	1.890	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,TNFRSF1B	
Cdc42 Signaling	7.59E00	4.79E-02	NaN	FOS,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E,JUN	
Th1 and Th2 Activation Pathway	7.51E00	4.68E-02	NaN	HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,IRF1,JUN,SOCS3,STAT1	
CD28 Signaling in T Helper Cells	7.28E00	5.83E-02	NaN	CALM1 (includes others),FOS,HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,JUN	
Th1 Pathway	7.26E00	5.79E-02	-1.890	HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,IRF1,SOCS3,STAT1	
T Helper Cell Differentiation	7.2E00	8.22E-02	NaN	HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,STAT1,TNFRSF1B	
Allograft Rejection Signaling	6.77E00	6.98E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRB1,HLA-E	
iNOS Signaling	6.74E00	1.11E-01	NaN	CALM1 (includes others),FOS,IRF1,JUN,STAT1	
Crosstalk between Dendritic Cells and Natural Killer Cells	6.68E00	6.74E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,TNFRSF1B	
Systemic Lupus Erythematosus Signaling	6.54E00	3.49E-02	NaN	FCGR1A,FCGR1B,FOS,HLA-A,HLA-B,HLA-C,HLA-E,JUN	
Communication between Innate and Adaptive Immune Cells	6.48E00	6.25E-02	NaN	CXCL8,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E	
Nur77 Signaling in T Lymphocytes	6.14E00	8.47E-02	NaN	CALM1 (includes others),HLA-A,HLA-B,HLA-DQB1,HLA-DRB1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.95E00	3.72E-02	-0.378	FOS,IRF1,JUN,LYZ,S100A8,STAT1,TNFRSF1B	
Calcium-induced T Lymphocyte Apoptosis	5.89E00	7.58E-02	-2.236	CALM1 (includes others),HLA-A,HLA-B,HLA-DQB1,HLA-DRB1	
TNFR2 Signaling	5.8E00	1.33E-01	-2.000	FOS,JUN,NAIP,TNFRSF1B	
IL-12 Signaling and Production in Macrophages	5.67E00	4.55E-02	NaN	FOS,IRF1,JUN,LYZ,S100A8,STAT1	
Th2 Pathway	5.59E00	4.41E-02	NaN	HLA-A,HLA-B,HLA-DQB1,HLA-DRB1,JUN,SOCS3	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	5.58E00	1.18E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-E	
B Cell Development	5.47E00	1.11E-01	NaN	HLA-A,HLA-B,HLA-DQB1,HLA-DRB1	
Prolactin Signaling	5.45E00	6.17E-02	-0.447	FOS,IRF1,JUN,SOCS3,STAT1	
