© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Natural Killer Cell Signaling	6.16E00	5.58E-02	-0.302	CD247,FYN,HLA-C,IL18R1,IL2RB,ITGAL,NCR3,PIK3R1,RAF1,WAS,WIPF1	
Integrin Signaling	5.83E00	5.16E-02	-0.302	ACTR3,ARF1,ARPC1B,CAPNS1,FYN,ITGA4,ITGAL,PIK3R1,RAF1,WAS,WIPF1	
CD28 Signaling in T Helper Cells	5.19E00	6.67E-02	-0.378	ACTR3,ARPC1B,CD247,FYN,JUN,PIK3R1,PTPRC,WAS	
Cdc42 Signaling	5.02E00	5.39E-02	0.707	ACTR3,ARPC1B,CD247,HLA-C,ITGA4,JUN,RAF1,WAS,WIPF1	
T Cell Receptor Signaling	4.61E00	6.67E-02	NaN	CD247,FYN,JUN,PIK3R1,PTPRC,RAF1,RASGRP1	
Signaling by Rho Family GTPases	4.48E00	4.1E-02	0.632	ACTR3,ARPC1B,GNAS,ITGA4,JUN,PIK3R1,RAF1,VIM,WAS,WIPF1	
Unfolded protein response	4.03E00	8.93E-02	2.236	ERN1,P4HB,PDIA6,SEL1L,XBP1	
EIF2 Signaling	4.02E00	4.02E-02	-1.000	EIF3F,EIF4G2,EIF5,HNRNPA1,MYC,PABPC1,PIK3R1,RAF1,UBA52	
Ephrin Receptor Signaling	3.93E00	4.44E-02	0.000	ACTR3,ARPC1B,FYN,GNAS,ITGA4,RAF1,WAS,WIPF1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.92E00	6.38E-02	0.816	ACTR3,ARPC1B,FYN,MYO5A,PIK3R1,WAS	
FAK Signaling	3.89E00	6.32E-02	NaN	CAPNS1,FYN,ITGA4,PIK3R1,RAF1,WAS	
Antigen Presentation Pathway	3.55E00	1.03E-01	NaN	CD74,HLA-C,NLRC5,TAP1	
Actin Nucleation by ARP-WASP Complex	3.51E00	6.94E-02	1.000	ACTR3,ARPC1B,ITGA4,WAS,WIPF1	
Rac Signaling	3.5E00	5.36E-02	0.000	ACTR3,ARPC1B,ITGA4,JUN,PIK3R1,RAF1	
fMLP Signaling in Neutrophils	3.42E00	5.17E-02	0.816	ACTR3,ARPC1B,GNAS,PIK3R1,RAF1,WAS	
Molecular Mechanisms of Cancer	3.42E00	2.81E-02	NaN	ATM,BIRC3,CFLAR,FYN,GNAS,ITGA4,JUN,MYC,PIK3R1,RAF1,RASGRP1	
Actin Cytoskeleton Signaling	3.36E00	3.67E-02	0.000	ACTR3,ARPC1B,ITGA4,MATK,PIK3R1,RAF1,TMSB10/TMSB4X,WAS	
IL-7 Signaling Pathway	3.35E00	6.41E-02	0.447	FYN,IL7R,JUN,MYC,PIK3R1	
Th1 and Th2 Activation Pathway	3.29E00	4.09E-02	NaN	CCR5,CD247,IL18R1,IL2RB,JUN,PIK3R1,RUNX3	
Prolactin Signaling	3.28E00	6.17E-02	-0.447	FYN,JUN,MYC,PIK3R1,RAF1	
NF-κB Activation by Viruses	3.25E00	6.1E-02	-1.000	CCR5,ITGA4,ITGAL,PIK3R1,RAF1	
PI3K/AKT Signaling	3.23E00	4E-02	NaN	IL17RA,IL18R1,IL2RB,IL7R,ITGA4,PIK3R1,RAF1	
Systemic Lupus Erythematosus Signaling	3.22E00	3.49E-02	NaN	CD247,HLA-C,JUN,PIK3R1,PRPF8,PTPRC,SNRNP200,SNRNP70	
Axonal Guidance Signaling	3.19E00	2.48E-02	NaN	ACTR3,ADAM12,ARPC1B,ERAP2,FYN,GNAS,ITGA4,PIK3R1,RAF1,SEMA4D,WAS,WIPF1	
Reelin Signaling in Neurons	3.17E00	4.65E-02	-0.816	ACTR3,ARPC1B,FYN,ITGA4,ITGAL,PIK3R1	
Huntington's Disease Signaling	3.12E00	3.38E-02	-2.000	ATP5F1E,CAPNS1,DNAJB1,GLS,JUN,NCOR1,PIK3R1,UBA52	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.09E00	5.62E-02	-1.000	CD69,HLA-C,IL2RB,ITGAL,NCR3	
Sertoli Cell-Sertoli Cell Junction Signaling	3.08E00	3.78E-02	NaN	CLINT1,ITGA4,JUN,RAF1,SPTAN1,SPTBN1,WAS	
STAT3 Pathway	3.07E00	4.44E-02	NaN	IL17RA,IL18R1,IL2RB,IL7R,MYC,RAF1	
Th2 Pathway	3.05E00	4.41E-02	-1.342	CCR5,CD247,IL2RB,JUN,PIK3R1,RUNX3	
Regulation of Actin-based Motility by Rho	2.98E00	5.32E-02	0.447	ACTR3,ARPC1B,ITGA4,WAS,WIPF1	
CCR5 Signaling in Macrophages	2.98E00	5.32E-02	-1.000	CCL5,CCR5,CD247,GNAS,JUN	
IL-17A Signaling in Gastric Cells	2.97E00	1.2E-01	NaN	CCL5,IL17RA,JUN	
RAR Activation	2.96E00	3.61E-02	NaN	JUN,NCOR1,NRIP1,NSD1,PIK3R1,PNRC1,PSMC5	
Neuregulin Signaling	2.94E00	5.21E-02	1.000	ITGA4,MATK,MYC,PIK3R1,RAF1	
Leukocyte Extravasation Signaling	2.92E00	3.55E-02	-1.134	ITGA4,ITGAL,PIK3R1,RASGRP1,SIPA1,WAS,WIPF1	
Cancer Drug Resistance By Drug Efflux	2.89E00	6.9E-02	NaN	ABCB1,PIK3R1,RAF1,YBX1	
Estrogen Receptor Signaling	2.82E00	2.74E-02	0.333	ATP5F1E,GNAS,JUN,MYC,NCOR1,NRIP1,PIK3R1,RAF1,TRRAP	
IL-2 Signaling	2.81E00	6.56E-02	NaN	IL2RB,JUN,PIK3R1,RAF1	
Thrombopoietin Signaling	2.76E00	6.35E-02	0.000	JUN,MYC,PIK3R1,RAF1	
PD-1, PD-L1 cancer immunotherapy pathway	2.75E00	4.72E-02	2.236	CD247,HLA-C,IL2RB,PIK3R1,RASGRP1	
