© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Natural Killer Cell Signaling	1.19E01	1.68E-01	-1.414	B2M,CD247,CDC42,COL5A3,HLA-A,HLA-B,HLA-E,HLA-F,IL18R1,ITGAL,ITGB1,JAK3,KLRB1,KLRD1,LCK,MAP3K14,MAPK1,NFATC2,PAK2,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PTPN6,RAC2,RAP1A,RAP1B,RASSF5,ROCK1,SOS1,WAS,WIPF1,ZAP70	
Integrin Signaling	1.16E01	1.6E-01	-1.616	ACTB,ACTG1,ACTN4,ARF1,ARF6,CDC42,ITGA1,ITGA6,ITGAL,ITGB1,MAPK1,MPRIP,MYL12A,MYL12B,PAK2,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PPP1CB,PPP1R12A,PTEN,RAC2,RAP1A,RAP1B,RAPGEF1,RHOH,RHOU,ROCK1,SOS1,TLN1,VCL,WAS,WIPF1	
Actin Cytoskeleton Signaling	1.13E01	1.56E-01	-1.715	ACTB,ACTG1,ACTN4,ARHGAP35,ARHGEF1,ARHGEF6,CDC42,DIAPH1,FGD3,GNA12,IQGAP2,ITGB1,MAPK1,MPRIP,MYL12A,MYL12B,MYL6,PAK2,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PIP5K1C,PPP1CB,PPP1R12A,RAC2,RAP1A,RAP1B,ROCK1,SOS1,TLN1,TMSB10/TMSB4X,VCL,WAS	
Molecular Mechanisms of Cancer	1E01	1.15E-01	NaN	ARHGEF1,ARHGEF6,ATM,BCL2,BIRC3,CASP3,CASP8,CCND2,CCND3,CDC42,CDK12,CDK4,CDK6,CDKN1B,CDKN2D,CREBBP,EP300,FOS,FOXO1,GNA12,ITGB1,JAK1,JAK3,MAPK1,NFKBIA,PAK2,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PLCB1,PRKAR2A,PRKCB,PRKDC,RAC2,RALBP1,RAP1A,RAP1B,RAPGEF1,RHOH,RHOU,SMAD3,SMAD4,SOS1,SYNGAP1	
Paxillin Signaling	9.81E00	2.04E-01	-1.606	ACTB,ACTG1,ACTN4,ARF1,ARF6,ARHGEF6,CDC42,ITGA1,ITGA6,ITGAL,ITGB1,MAPK1,PAK2,PIK3CB,PIK3CD,PIK3R1,PIK3R4,RAP1A,RAP1B,SOS1,TLN1,VCL	
Cdc42 Signaling	9.46E00	1.62E-01	-1.342	ARHGEF6,B2M,CD247,CD3D,CDC42,CLIP1,DIAPH1,EXOC7,FGD3,FOS,HLA-A,HLA-B,HLA-E,HLA-F,IQGAP2,ITGB1,ITK,MAPK1,MPRIP,MYL12A,MYL12B,MYL6,PAK2,PPP1CB,PPP1R12A,WAS,WIPF1	
T Cell Receptor Signaling	9.24E00	2E-01	NaN	CALM1 (includes others),CD247,CD28,CD3D,CD8A,CD8B,FOS,ITK,LCK,MAPK1,NFATC2,NFKBIA,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PTPRC,RAP1A,RAP1B,SOS1,ZAP70	
Leukocyte Extravasation Signaling	9.12E00	1.47E-01	-0.784	ACTB,ACTG1,ACTN4,ARHGAP35,ARHGAP4,ARHGAP9,CDC42,ITGA1,ITGA6,ITGAL,ITGB1,ITK,MAPK1,MYL6,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PRKCB,RAC2,RAP1A,RAP1B,RASSF5,RHOH,ROCK1,SPN,VCL,WAS,WIPF1	
Systemic Lupus Erythematosus Signaling	8.79E00	1.35E-01	NaN	CD247,CD28,CD3D,FOS,HLA-A,HLA-B,HLA-E,HLA-F,HNRNPC,LCK,LSM10,LSM14A,MAPK1,NFATC2,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PRPF38B,PRPF39,PRPF4B,PRPF6,PRPF8,PTPN6,PTPRC,RAP1A,RAP1B,SNRNP200,SNRPD2,SOS1,TNFSF13B	
PD-1, PD-L1 cancer immunotherapy pathway	8.36E00	1.89E-01	1.342	B2M,CD247,CD28,CDKN1B,HLA-A,HLA-B,HLA-E,HLA-F,IL2RA,IL2RG,JAK1,JAK3,LCK,PIK3CB,PIK3CD,PIK3R1,PIK3R4,PTEN,SMAD3,ZAP70	
