© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.93E01	3.33E-01	NaN	B2M,CD74,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
OX40 Signaling Pathway	1.72E01	1.67E-01	NaN	B2M,CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Th1 Pathway	1.52E01	1.24E-01	-1.732	CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL6R,ITGB2,STAT1	
Th1 and Th2 Activation Pathway	1.42E01	9.36E-02	NaN	CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL6R,ITGB2,JUN,STAT1	
CD28 Signaling in T Helper Cells	1.38E01	1.17E-01	-1.000	CALM1 (includes others),CD4,FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Th2 Pathway	1.31E01	1.03E-01	NaN	CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2,JUN	
Allograft Rejection Signaling	1.29E01	1.4E-01	NaN	B2M,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
T Cell Exhaustion Signaling Pathway	1.28E01	8.57E-02	NaN	FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL6R,JUN,STAT1	
Calcium-induced T Lymphocyte Apoptosis	1.27E01	1.67E-01	-1.508	CALM1 (includes others),CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Role of NFAT in Regulation of the Immune Response	1.26E01	8.29E-02	-1.604	CALM1 (includes others),CD4,FCGR3A/FCGR3B,FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
T Helper Cell Differentiation	1.22E01	1.51E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL6R,STAT1	
B Cell Development	1.22E01	2.5E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Interferon Signaling	1.22E01	2.5E-01	3.000	IFI6,IFIT1,IFIT3,IFITM2,IFITM3,ISG15,MX1,OAS1,STAT1	
Cdc42 Signaling	1.18E01	8.38E-02	NaN	B2M,FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN	
PD-1, PD-L1 cancer immunotherapy pathway	1.18E01	1.13E-01	1.265	B2M,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Nur77 Signaling in T Lymphocytes	1.17E01	1.69E-01	NaN	CALM1 (includes others),HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
iCOS-iCOSL Signaling in T Helper Cells	1.15E01	1.08E-01	-1.508	CALM1 (includes others),CD4,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA	
PKCθ Signaling in T Lymphocytes	1.1E01	8.39E-02	-1.941	CD4,FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Graft-versus-Host Disease Signaling	1.1E01	1.88E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Autoimmune Thyroid Disease Signaling	1.09E01	1.84E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Type I Diabetes Mellitus Signaling	1.02E01	9.91E-02	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA,STAT1	
Dendritic Cell Maturation	1.01E01	7.1E-02	-0.277	B2M,FCGR3A/FCGR3B,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA,STAT1	
Neuroinflammation Signaling Pathway	9.42E00	5E-02	-1.291	B2M,FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL6R,IRF7,JUN,STAT1	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	8.8E00	4.5E-02	-1.291	B2M,CD44,FOS,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN	
IL-4 Signaling	8.67E00	1.06E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	8.45E00	1E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
iNOS Signaling	6.56E00	1.33E-01	0.447	CALM1 (includes others),CD14,FOS,JUN,NFKBIA,STAT1	
Communication between Innate and Adaptive Immune Cells	5.74E00	7.29E-02	NaN	B2M,CD4,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-DRB5	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.67E00	9.52E-02	-0.816	ADAR,IRF7,ISG15,JUN,NFKBIA,STAT1	
MIF Regulation of Innate Immunity	5.29E00	1.19E-01	-0.447	CD14,CD74,FOS,JUN,NFKBIA	
Toll-like Receptor Signaling	5.19E00	7.89E-02	0.447	CD14,EIF2AK2,FOS,JUN,NFKBIA,TNFAIP3	
IL-12 Signaling and Production in Macrophages	4.82E00	5.3E-02	NaN	CLU,FOS,JUN,LYZ,S100A8,SERPINA1,STAT1	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.8E00	6.74E-02	NaN	ACTG1,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-DRB5	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	4.74E00	4.26E-02	0.707	CLU,FOS,JUN,LYZ,NFKBIA,S100A8,SERPINA1,STAT1	
TNFR2 Signaling	4.52E00	1.33E-01	NaN	FOS,JUN,NFKBIA,TNFAIP3	
Phagosome Maturation	4.45E00	4.64E-02	NaN	B2M,CTSA,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-DRB5	
Virus Entry via Endocytic Pathways	4.34E00	5.61E-02	NaN	ACTG1,AP1S2,B2M,HLA-A,HLA-B,ITGB2	
IL-10 Signaling	4.23E00	7.25E-02	NaN	BLVRA,CD14,FOS,JUN,NFKBIA	
Caveolar-mediated Endocytosis Signaling	4.11E00	6.85E-02	NaN	ACTG1,B2M,HLA-A,HLA-B,ITGB2	
