© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.07E01	1.76E-01	NaN	CD247,GZMB,HLA-B,HLA-C,HLA-E,PRF1	
Type I Diabetes Mellitus Signaling	9.13E00	6.31E-02	NaN	CD247,GZMB,HLA-B,HLA-C,HLA-E,PRF1,STAT1	
Graft-versus-Host Disease Signaling	7.73E00	1.04E-01	NaN	GZMB,HLA-B,HLA-C,HLA-E,PRF1	
Autoimmune Thyroid Disease Signaling	7.68E00	1.02E-01	NaN	GZMB,HLA-B,HLA-C,HLA-E,PRF1	
Allograft Rejection Signaling	6.44E00	5.81E-02	NaN	GZMB,HLA-B,HLA-C,HLA-E,PRF1	
Cdc42 Signaling	6.41E00	3.59E-02	NaN	CD247,DIAPH1,HLA-B,HLA-C,HLA-E,ITGB1	
Natural Killer Cell Signaling	5.99E00	3.05E-02	0.000	CD247,FCGR3A/FCGR3B,HLA-B,HLA-C,HLA-E,ITGB1	
Caveolar-mediated Endocytosis Signaling	5.13E00	5.48E-02	NaN	HLA-B,HLA-C,HLA-E,ITGB1	
T Cell Exhaustion Signaling Pathway	4.92E00	2.86E-02	NaN	GZMB,HLA-B,HLA-C,HLA-E,STAT1	
Dendritic Cell Maturation	4.83E00	2.73E-02	-1.000	FCGR3A/FCGR3B,HLA-B,HLA-C,HLA-E,STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.79E00	4.49E-02	NaN	CD247,HLA-B,HLA-C,HLA-E	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.79E00	4.49E-02	NaN	HLA-B,HLA-C,HLA-E,PRF1	
OX40 Signaling Pathway	4.77E00	4.44E-02	NaN	CD247,HLA-B,HLA-C,HLA-E	
PD-1, PD-L1 cancer immunotherapy pathway	4.49E00	3.77E-02	2.000	CD247,HLA-B,HLA-C,HLA-E	
Virus Entry via Endocytic Pathways	4.47E00	3.74E-02	NaN	HLA-B,HLA-C,HLA-E,ITGB1	
Antigen Presentation Pathway	4.39E00	7.69E-02	NaN	HLA-B,HLA-C,HLA-E	
Systemic Lupus Erythematosus Signaling	4.36E00	2.18E-02	NaN	CD247,FCGR3A/FCGR3B,HLA-B,HLA-C,HLA-E	
Neuroprotective Role of THOP1 in Alzheimer's Disease	4.32E00	3.42E-02	NaN	GZMB,HLA-B,HLA-C,HLA-E	
Th1 Pathway	4.26E00	3.31E-02	-1.000	CD247,HLA-B,RUNX3,STAT1	
Th1 and Th2 Activation Pathway	3.68E00	2.34E-02	NaN	CD247,HLA-B,RUNX3,STAT1	
Granzyme B Signaling	3.47E00	1.25E-01	NaN	GZMB,PRF1	
Communication between Innate and Adaptive Immune Cells	3.22E00	3.12E-02	NaN	HLA-B,HLA-C,HLA-E	
Tumoricidal Function of Hepatic Natural Killer Cells	3.11E00	8.33E-02	NaN	GZMB,PRF1	
Th2 Pathway	2.79E00	2.21E-02	NaN	CD247,HLA-B,RUNX3	
Neuroinflammation Signaling Pathway	2.77E00	1.33E-02	NaN	HLA-B,HLA-C,HLA-E,STAT1	
