© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.42E01	2.82E-01	NaN	CALR,CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
OX40 Signaling Pathway	1.13E01	1.33E-01	NaN	CD4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,JUN,NFKBIA	
Interferon Signaling	1.12E01	2.5E-01	3.000	IFI6,IFIT1,IFIT3,IFITM2,IFITM3,ISG15,MX1,OAS1,STAT1	
Allograft Rejection Signaling	1.02E01	1.28E-01	NaN	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG4	
Autoimmune Thyroid Disease Signaling	9.89E00	1.84E-01	NaN	HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG4	
Dendritic Cell Maturation	9.76E00	7.65E-02	-1.155	FCGR1A,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG4,NFKBIA,STAT1,TNFRSF1B,TYROBP	
Cdc42 Signaling	8.13E00	7.19E-02	NaN	FOS,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IQGAP1,JUN	
Th2 Pathway	8.03E00	8.09E-02	NaN	CCR1,CD4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,ITGB2,JUN	
Th1 and Th2 Activation Pathway	8.01E00	7.02E-02	NaN	CCR1,CD4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,ITGB2,JUN,STAT1	
PD-1, PD-L1 cancer immunotherapy pathway	8E00	9.43E-02	2.121	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,TNFRSF1B	
T Cell Exhaustion Signaling Pathway	7.9E00	6.86E-02	NaN	FOS,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,JUN,STAT1	
Type I Diabetes Mellitus Signaling	7.8E00	9.01E-02	NaN	HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,NFKBIA,STAT1,TNFRSF1B	
CD28 Signaling in T Helper Cells	7.47E00	8.33E-02	-2.000	CALM1 (includes others),CD4,FOS,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,JUN,NFKBIA	
Th1 Pathway	7.44E00	8.26E-02	-1.890	CD4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,ITGB2,STAT1	
Calcium-induced T Lymphocyte Apoptosis	7.36E00	1.21E-01	-2.121	CALM1 (includes others),CAPN2,CD4,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1	
Graft-versus-Host Disease Signaling	7.08E00	1.46E-01	NaN	HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
Role of NFAT in Regulation of the Immune Response	6.75E00	6.08E-02	-2.530	CALM1 (includes others),CD4,FCGR1A,FOS,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,JUN,NFKBIA	
B Cell Development	6.49E00	1.67E-01	NaN	HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHM	
Neuroinflammation Signaling Pathway	6.18E00	4.33E-02	-1.897	CYBB,FOS,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,JUN,SOD2,STAT1,TYROBP	
Communication between Innate and Adaptive Immune Cells	6.08E00	8.33E-02	NaN	CD4,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG4,IGHM	
T Helper Cell Differentiation	5.8E00	9.59E-02	NaN	HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,STAT1,TNFRSF1B	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.66E00	5.32E-02	0.632	CLU,CYBB,FOS,JUN,LYZ,NFKBIA,S100A8,SERPINA1,STAT1,TNFRSF1B	
iCOS-iCOSL Signaling in T Helper Cells	5.6E00	7.21E-02	-2.646	CALM1 (includes others),CD4,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1,NFKBIA	
