© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL2	 	cytokine	 	1.742	2.56E-08	IL7R,KLF6,MYC,PIM1,S100A4,S100A8,STK17B,TTN	 
dexamethasone	 	chemical drug	 	-0.738	3.43E-07	IL32,IL7R,KLF6,LUC7L3,MYC,PABPC1,PIM1,S100A4,S100A8,TPT1,XAF1	 
RPS14	 	translation regulator	 	 	2.10E-06	MYC,S100A8	 
EEF1A1	 	translation regulator	 	 	2.10E-06	MYC,S100A4	 
ETV6-RUNX1	 	fusion gene/product	 	-1.477	5.83E-06	KLF6,MYC,PIM1,S100A4,STK17B	 
HOXA9	 	transcription regulator	 	 	1.44E-05	IL7R,MYC,PIM1,S100A8	 
KRAS	 	enzyme	 	 	1.49E-05	AHNAK,KLF6,MYC,PABPC1,PIM1,S100A4	 
MM-401	 	chemical reagent	 	 	1.96E-05	KLF6,MYC	2 (2)
IL12 (complex)	 	complex	 	 	2.66E-05	IL32,IL7R,MYC,PIM1	4 (6)
CNBP	 	transcription regulator	 	 	3.14E-05	MYC,PABPC1	 
IL9R	 	transmembrane receptor	 	 	3.14E-05	MYC,PIM1	 
AGN194204	 	chemical drug	 	0.762	3.67E-05	IL7R,KLF6,MYC,PIM1	 
PTCSC3	 	other	 	 	3.84E-05	MYC,S100A4	 
TGM2	 	enzyme	Activated	2.000	3.87E-05	MYC,PIM1,S100A8,XAF1	 
CSF2	 	cytokine	 	1.944	4.74E-05	IL32,LCP1,MYC,PIM1,TPT1	 
POLR3G	 	enzyme	 	 	5.44E-05	KLF6,S100A4	 
CSF2RA	 	transmembrane receptor	 	 	5.44E-05	MYC,PIM1	 
FADD	 	other	 	 	5.86E-05	KLF6,MYC,PIM1	 
growth factor	 	group	 	 	6.35E-05	IL7R,MYC	 
ZBTB33	 	transcription regulator	 	 	7.32E-05	MYC,S100A4	 
Ifn gamma	 	complex	 	 	8.04E-05	IL32,MYC,XAF1	 
CSF2RB	 	transmembrane receptor	 	 	8.36E-05	MYC,PIM1	 
TAZ	 	enzyme	 	 	8.79E-05	KLF6,LCP1,MYC	 
FOS	 	transcription regulator	 	 	9.08E-05	KLF6,MALAT1,MYC,S100A8,XAF1	 
DDX17	 	enzyme	 	 	9.47E-05	MYC,S100A4	 
PD98059	 	chemical - kinase inhibitor	 	-1.413	9.63E-05	MYC,PABPC1,PIM1,S100A4,S100A8	 
EPO	 	cytokine	 	 	1.03E-04	LCP1,MYC,PIM1,TPT1	 
IL1B	 	cytokine	Activated	2.367	1.05E-04	IL32,LCP1,MYC,PIM1,S100A8,TPT1	 
Immunoglobulin	 	complex	 	 	1.15E-04	IL32,IL7R,MYC,S100A8,TTN	 
lipopolysaccharide	 	chemical drug	Activated	2.348	1.26E-04	IL32,IL7R,KLF6,MYC,PIM1,S100A8,TPT1,XAF1	 
IFNG	 	cytokine	 	1.561	1.28E-04	IL32,IL7R,KLF6,MYC,PIM1,S100A8,XAF1	 
IL4	 	cytokine	 	-0.656	1.41E-04	AHNAK,IL7R,KLF6,MYC,PIM1,S100A8	6 (4)
SIN3B	 	transcription regulator	 	 	1.46E-04	KLF6,MYC	 
DDX5	 	enzyme	 	 	1.46E-04	MYC,S100A4	2 (2)
EPOR	 	transmembrane receptor	 	 	1.46E-04	MYC,PIM1	 
STAT5a/b	 	group	 	 	1.65E-04	MYC,PIM1,STK17B	 
CD3	 	complex	 	0.697	1.66E-04	IL32,IL7R,LCP1,MYC,XAF1	 
BRD4	 	kinase	 	 	2.34E-04	IL7R,MYC,PIM1	4 (3)
WR 1065	 	chemical drug	 	 	2.43E-04	MYC,S100A4	2 (2)
IL7	 	cytokine	 	 	2.59E-04	IL7R,MYC,PIM1	5 (8)
vitamin K3	 	chemical drug	 	 	2.81E-04	KLF6,MYC	 
PRLR	 	transmembrane receptor	 	 	3.43E-04	MYC,PIM1	 
MAPK9	 	kinase	 	 	3.57E-04	KLF6,LUC7L3,MYC	 
tetradecanoylphorbol acetate	 	chemical drug	 	1.839	3.69E-04	IL32,IL7R,KLF6,MYC,PIM1,S100A8	7 (6)
androgen	 	chemical drug	 	 	3.90E-04	MYC,PIM1,TPT1	 
E2F3	 	transcription regulator	 	 	4.54E-04	MALAT1,MYC,S100A8	 
NFKBIA	 	transcription regulator	 	 	4.84E-04	IL7R,MYC,PIM1,S100A8	4 (2)
filgrastim	 	biologic drug	 	-1.067	4.84E-04	IL32,KLF6,S100A4,XAF1	 
IL9	 	cytokine	 	 	4.84E-04	MYC,PIM1	 
IL15	 	cytokine	 	 	4.88E-04	IL32,IL7R,MYC,PIM1	4 (5)
ionomycin	 	chemical reagent	 	 	5.24E-04	AHNAK,MYC,PIM1	4 (3)
Interferon alpha	 	group	 	1.414	5.44E-04	IL32,IL7R,MYC,PIM1	4 (4)
PRKCD	 	kinase	 	 	5.49E-04	IL32,KLF6,MYC	 
NOS2	 	enzyme	 	 	5.49E-04	IL32,KLF6,S100A8	 
H-7	 	chemical - kinase inhibitor	 	 	5.64E-04	MYC,PIM1	 
FLT3	 	kinase	 	 	5.92E-04	MYC,PIM1	 
bleomycin	 	chemical drug	 	 	6.01E-04	MYC,S100A4,STK17B	 
ID3	 	transcription regulator	 	 	6.28E-04	IL7R,KLF6,MYC	 
TNF	 	cytokine	Activated	2.400	6.30E-04	IL32,IL7R,KLF6,MYC,PIM1,S100A8,TPT1	 
EDN1	 	cytokine	 	 	6.38E-04	MYC,TPT1,TTN	 
TP63	 	transcription regulator	 	0.336	6.39E-04	KLF6,MYC,S100A4,S100A8	 
GATA4	 	transcription regulator	 	 	6.75E-04	MYC,S100A4,TTN	 
RBM5	 	other	 	 	6.80E-04	IL32,PIM1	 
MTA1	 	transcription regulator	 	 	7.41E-04	GPRIN3,MYC	 
ID2	 	transcription regulator	 	 	7.76E-04	IL7R,KLF6,MYC	 
BCL6	 	transcription regulator	 	 	8.08E-04	IL7R,KLF6,MYC	 
LIF	 	cytokine	 	 	8.08E-04	AHNAK,MYC,PIM1	 
PNPT1	 	enzyme	 	 	8.39E-04	MYC,XAF1	 
hydrogen peroxide	 	chemical - endogenous mammalian	 	1.091	8.46E-04	IL32,MYC,PIM1,XAF1	4 (2)
Ahr-aryl hydrocarbon-RelA	 	complex	 	 	8.61E-04	MYC	 
TCF4-CTNNβ	 	complex	 	 	8.61E-04	MYC	 
RAB7	 	group	 	 	8.61E-04	MYC	 
GLIPR1	 	other	 	 	8.61E-04	MYC	 
NSMCE3	 	other	 	 	8.61E-04	MYC	 
CAVIN1	 	transcription regulator	 	 	8.61E-04	MYC	 
RBMS1	 	other	 	 	8.61E-04	MYC	 
CDC45	 	other	 	 	8.61E-04	MYC	 
