© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Crosstalk between Dendritic Cells and Natural Killer Cells	6.82E00	5.62E-02	NaN	ACTG1,CD69,HLA-C,HLA-E,LTB	
STAT3 Pathway	5.91E00	3.7E-02	NaN	IL6ST,IL7R,MYC,PIM1,SOCS3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	5.37E00	1.92E-02	NaN	FOS,IL6ST,LTB,MYC,NFKBIA,SOCS3	
IL-17A Signaling in Fibroblasts	4.79E00	8.57E-02	NaN	FOS,NFKBIA,NFKBIZ	
Type I Diabetes Mellitus Signaling	4.76E00	3.6E-02	NaN	HLA-C,HLA-E,NFKBIA,SOCS3	
IL-6 Signaling	4.55E00	3.2E-02	1.000	FOS,IL6ST,NFKBIA,SOCS3	
T Cell Exhaustion Signaling Pathway	3.98E00	2.29E-02	NaN	FOS,HLA-C,HLA-E,PDK1	
Acute Phase Response Signaling	3.95E00	2.23E-02	1.000	FOS,IL6ST,NFKBIA,SOCS3	
Dendritic Cell Maturation	3.91E00	2.19E-02	NaN	HLA-C,HLA-E,LTB,NFKBIA	
IL-10 Signaling	3.9E00	4.35E-02	NaN	FOS,NFKBIA,SOCS3	
ERK5 Signaling	3.85E00	4.17E-02	NaN	FOS,IL6ST,MYC	
ILK Signaling	3.85E00	2.11E-02	0.000	ACTG1,FOS,MYC,TMSB10/TMSB4X	
Caveolar-mediated Endocytosis Signaling	3.83E00	4.11E-02	NaN	ACTG1,HLA-C,HLA-E	
Hepatic Fibrosis Signaling Pathway	3.82E00	1.36E-02	1.342	FOS,KLF9,MYC,NFKBIA,PDK1	
Erythropoietin Signaling	3.78E00	3.95E-02	NaN	FOS,NFKBIA,SOCS3	
Thyroid Cancer Signaling	3.73E00	3.8E-02	NaN	FOS,MYC,PDK1	
Prolactin Signaling	3.7E00	3.7E-02	NaN	FOS,MYC,SOCS3	
OX40 Signaling Pathway	3.56E00	3.33E-02	NaN	HLA-C,HLA-E,NFKBIA	
Opioid Signaling Pathway	3.41E00	1.62E-02	1.000	FOS,MYC,NFKBIA,PDK1	
Virus Entry via Endocytic Pathways	3.34E00	2.8E-02	NaN	ACTG1,HLA-C,HLA-E	
Cardiac Hypertrophy Signaling (Enhanced)	3.26E00	1.03E-02	1.000	IL6ST,IL7R,LTB,MYC,PDK1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.25E00	8E-02	NaN	IL6ST,SOCS3	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	3.24E00	1.45E-02	1.000	FOS,IL6ST,LTB,MYC	
Role of PKR in Interferon Induction and Antiviral Response	3.23E00	2.56E-02	NaN	FOS,HSPA8,NFKBIA	
TNFR2 Signaling	3.09E00	6.67E-02	NaN	FOS,NFKBIA	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.98E00	5.88E-02	NaN	HLA-C,HLA-E	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	2.93E00	1.2E-02	-1.000	FOS,HLA-C,HLA-E,PDK1	
April Mediated Signaling	2.86E00	5.13E-02	NaN	FOS,NFKBIA	
Antigen Presentation Pathway	2.86E00	5.13E-02	NaN	HLA-C,HLA-E	
HOTAIR Regulatory Pathway	2.83E00	1.87E-02	NaN	H3-3A/H3-3B,MYC,NFKBIA	
B Cell Activating Factor Signaling	2.82E00	4.88E-02	NaN	FOS,NFKBIA	
MIF Regulation of Innate Immunity	2.8E00	4.76E-02	NaN	FOS,NFKBIA	
Cdc42 Signaling	2.78E00	1.8E-02	NaN	FOS,HLA-C,HLA-E	
BAG2 Signaling Pathway	2.77E00	4.65E-02	NaN	HSPA8,MYC	
IL-23 Signaling Pathway	2.76E00	4.55E-02	NaN	NFKBIA,SOCS3	
iNOS Signaling	2.74E00	4.44E-02	NaN	FOS,NFKBIA	
PI3K/AKT Signaling	2.72E00	1.71E-02	NaN	IL6ST,IL7R,NFKBIA	
Graft-versus-Host Disease Signaling	2.68E00	4.17E-02	NaN	HLA-C,HLA-E	
Autoimmune Thyroid Disease Signaling	2.66E00	4.08E-02	NaN	HLA-C,HLA-E	
TNFR1 Signaling	2.65E00	4E-02	NaN	FOS,NFKBIA	
NRF2-mediated Oxidative Stress Response	2.63E00	1.59E-02	NaN	ACTG1,FOS,JUNB	
UVB-Induced MAPK Signaling	2.61E00	3.85E-02	NaN	FOS,H3-3A/H3-3B	
ERK/MAPK Signaling	2.6E00	1.55E-02	NaN	FOS,H3-3A/H3-3B,MYC	
