© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cdc42 Signaling	1.38E01	1.14E-01	1.667	ACTR2,ACTR3,ARPC5,CFL1,FOS,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-F,IQGAP1,JUN,MAPK14,MYL6	
CD28 Signaling in T Helper Cells	1.28E01	1.33E-01	0.707	ACTR2,ACTR3,ARPC5,CALM1 (includes others),CD4,FOS,GRB2,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Antigen Presentation Pathway	1.27E01	2.82E-01	NaN	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-F	
Th1 Pathway	1.15E01	1.24E-01	-2.111	CD4,GRB2,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2,LGALS9,SOCS3,STAT1	
Th1 and Th2 Activation Pathway	1.14E01	9.94E-02	NaN	CCR1,CD4,GRB2,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2,JUN,LGALS9,SOCS3,STAT1	
OX40 Signaling Pathway	1.09E01	1.44E-01	NaN	CD4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-F,JUN,NFKBIA	
Th2 Pathway	1.08E01	1.1E-01	NaN	CCR1,CD4,GRB2,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ITGB2,JUN,SOCS3	
Role of NFAT in Regulation of the Immune Response	1E01	8.84E-02	-1.807	CALM1 (includes others),CD4,FCGR1A,FCGR1B,FOS,GNAS,GRB2,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NFKBIA	
Interferon Signaling	9.98E00	2.5E-01	3.000	IFI6,IFIT1,IFIT3,IFITM2,IFITM3,ISG15,MX1,OAS1,STAT1	
Dendritic Cell Maturation	9.93E00	8.74E-02	-0.258	FCGR1A,FCGR1B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-F,IL1RN,MAPK14,MYD88,NFKBIA,STAT1,TLR2	
