© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNL1	 	cytokine	Activated	4.166	 	2.96E-40	DDX60,EIF2AK2,HERC5,HLA-B,HLA-C,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,ISG20,MX1,OAS1,OAS2,OAS3,PLSCR1,RSAD2,SAMD9,SP100,STAT1,STAT2,TRIM22,XAF1	45 (10)
Interferon alpha	 	group	Activated	3.989	 	5.39E-40	ADAR,CD38,CD8A,EIF2AK2,EPSTI1,GZMB,HERC5,HLA-A,HLA-B,HLA-C,IFI16,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IL32,ISG15,ISG20,JAK1,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PLSCR1,RSAD2,SAMD9,SAMD9L,SP100,STAT1,STAT2,TNFSF10,TRIM22	48 (13)
IFNA2	 	cytokine	Activated	4.167	 	2.25E-35	DDX60,EIF2AK2,HERC5,HLA-A,HLA-B,HLA-C,IFI16,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,ISG20,MX1,MX2,OAS1,OAS2,OAS3,PARP9,PLSCR1,RSAD2,SAMD9,SP100,STAT1,TNFSF10,TRIM22,XAF1	48 (14)
IRF7	 	transcription regulator	Activated	4.756	bias	2.26E-32	ADAR,HERC5,IFI16,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,ISG20,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PLSCR1,RSAD2,SAMD9L,STAT1,STAT2,TNFSF10,TRIM22,XAF1	48 (14)
IFNG	 	cytokine	Activated	4.168	 	1.37E-30	ADGRG1,CCL4,CD38,CTSC,CX3CR1,CYBA,DDX60,DTX3L,EEF1A1,EIF2AK2,GZMB,HLA-A,HLA-B,HLA-C,IFI16,IFI44,IFI44L,IFI6,IFIT1,IFIT3,IL32,ISG15,ISG20,ITGB2,MX1,MX2,OAS1,OAS2,OAS3,PARP14,PARP9,PLEK,PLSCR1,RACK1,RSAD2,SAMD9,SP100,STAT1,STAT2,TNFSF10,TRIM22,TXNIP,XAF1	54 (15)
IFN Beta	 	group	Activated	3.670	 	1.91E-30	CD247,EEF1A1,EIF2AK2,HERC5,HLA-A,HLA-B,IFI16,IFI44,IFI6,IFIT1,IFIT3,ISG15,MX1,MX2,OAS1,OAS2,OAS3,RSAD2,STAT1,STAT2,TNFSF10,XAF1	46 (14)
PRL	 	cytokine	Activated	5.000	 	1.58E-28	ADAR,DTX3L,EIF2AK2,EPSTI1,HERC5,ID2,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,MX2,OAS1,OAS2,OAS3,PARP14,PLSCR1,RSAD2,SAMD9,SAMD9L,SP100,STAT1,STAT2,XAF1	48 (13)
RNY3	 	other	Activated	3.742	bias	2.66E-28	DDX60,EPSTI1,HERC5,IFI44,IFI44L,IFIT1,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,RSAD2,XAF1	 
STAT1	0.527	transcription regulator	Activated	3.506	 	1.04E-25	CCL4,CX3CR1,DDX60,EIF2AK2,EPSTI1,IFI16,IFI44,IFI44L,IFI6,IFIT1,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,PLSCR1,RSAD2,SAMD9L,STAT1,STAT2,TNFSF10,TRIM22,XAF1	53 (12)
IRF3	 	transcription regulator	Activated	3.801	 	1.67E-25	ADAR,AHNAK,CCL4,DDX60,EIF2AK2,IFI16,IFI44,IFI6,IFIT1,IFIT3,ISG15,ISG20,OAS1,OAS2,OAS3,PARP14,RSAD2,SAMD9L,STAT1,STAT2,TNFSF10	48 (14)
