© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Type I Diabetes Mellitus Signaling	4.24E00	3.6E-02	NaN	HLA-E,PRF1,STAT1,TNFRSF1B	
Dendritic Cell Maturation	3.4E00	2.19E-02	NaN	FCGR3A/FCGR3B,HLA-E,STAT1,TNFRSF1B	
ERK/MAPK Signaling	3.32E00	2.07E-02	0.000	ETS1,FYN,PPP2R5C,STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	3.19E00	3.37E-02	NaN	FYN,HLA-E,PPP2R5C	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.19E00	3.37E-02	NaN	HLA-E,PRF1,TNFRSF1B	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.72E00	5.88E-02	NaN	HLA-E,PRF1	
Graft-versus-Host Disease Signaling	2.43E00	4.17E-02	NaN	HLA-E,PRF1	
Autoimmune Thyroid Disease Signaling	2.41E00	4.08E-02	NaN	HLA-E,PRF1	
T Cell Exhaustion Signaling Pathway	2.35E00	1.71E-02	NaN	HLA-E,PPP2R5C,STAT1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.28E00	1.61E-02	NaN	CCL5,STAT1,TNFRSF1B	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.27E00	1.6E-02	NaN	PPP2R5C,STAT1,TNFRSF1B	
Diphthamide Biosynthesis	2.25E00	3.33E-01	NaN	EEF2	
Natural Killer Cell Signaling	2.21E00	1.52E-02	NaN	FCGR3A/FCGR3B,FYN,HLA-E	
GM-CSF Signaling	2.11E00	2.86E-02	NaN	ETS1,STAT1	
Caveolar-mediated Endocytosis Signaling	2.07E00	2.74E-02	NaN	FYN,HLA-E	
T Helper Cell Differentiation	2.07E00	2.74E-02	NaN	STAT1,TNFRSF1B	
IL-7 Signaling Pathway	2.02E00	2.56E-02	NaN	FYN,STAT1	
Prolactin Signaling	1.99E00	2.47E-02	NaN	FYN,STAT1	
HIPPO signaling	1.95E00	2.35E-02	NaN	CD44,PPP2R5C	
Allograft Rejection Signaling	1.94E00	2.33E-02	NaN	HLA-E,PRF1	
Ceramide Signaling	1.92E00	2.27E-02	NaN	PPP2R5C,TNFRSF1B	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.86E00	2.13E-02	NaN	FCGR3A/FCGR3B,FYN	
Communication between Innate and Adaptive Immune Cells	1.84E00	2.08E-02	NaN	CCL5,HLA-E	
Pathogenesis of Multiple Sclerosis	1.77E00	1.11E-01	NaN	CCL5	
PD-1, PD-L1 cancer immunotherapy pathway	1.76E00	1.89E-02	NaN	HLA-E,TNFRSF1B	
Virus Entry via Endocytic Pathways	1.76E00	1.87E-02	NaN	FYN,HLA-E	
Telomerase Signaling	1.76E00	1.87E-02	NaN	ETS1,PPP2R5C	
