© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
CTLA4 Signaling in Cytotoxic T Lymphocytes	7.39E00	5.62E-02	NaN	CD3D,CD3G,HLA-C,SYK,TRGV9	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	7.29E00	1.18E-01	NaN	CD3D,CD3G,HLA-C,TRGV9	
Antiproliferative Role of TOB in T Cell Signaling	7.04E00	1.03E-01	NaN	CD3D,CD3G,PABPC1,TRGV9	
Type I Diabetes Mellitus Signaling	6.9E00	4.5E-02	1.000	CD3D,CD3G,HLA-C,JAK1,TRGV9	
Th2 Pathway	6.46E00	3.68E-02	0.447	CD3D,CD3G,IL2RB,JAK1,RUNX3	
Th1 and Th2 Activation Pathway	5.97E00	2.92E-02	NaN	CD3D,CD3G,IL2RB,JAK1,RUNX3	
Role of NFAT in Regulation of the Immune Response	5.85E00	2.76E-02	0.447	CD3D,CD3G,FCGR3A/FCGR3B,SYK,TRGV9	
OX40 Signaling Pathway	5.56E00	4.44E-02	NaN	CD3D,CD3G,HLA-C,TRGV9	
Systemic Lupus Erythematosus Signaling	5.35E00	2.18E-02	NaN	CD3D,CD3G,FCGR3A/FCGR3B,HLA-C,TRGV9	
iCOS-iCOSL Signaling in T Helper Cells	5.2E00	3.6E-02	NaN	CD3D,CD3G,IL2RB,TRGV9	
CD28 Signaling in T Helper Cells	5.06E00	3.33E-02	NaN	CD3D,CD3G,SYK,TRGV9	
Th1 Pathway	5.05E00	3.31E-02	0.000	CD3D,CD3G,JAK1,RUNX3	
Hematopoiesis from Pluripotent Stem Cells	4.68E00	6.12E-02	NaN	CD3D,CD3G,TRGV9	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	4.56E00	1.5E-02	NaN	CD3D,CD3G,HLA-C,SYK,TRGV9	
Cdc42 Signaling	4.5E00	2.4E-02	NaN	CD3D,CD3G,HLA-C,TRGV9	
Nur77 Signaling in T Lymphocytes	4.43E00	5.08E-02	NaN	CD3D,CD3G,TRGV9	
IL-2 Signaling	4.39E00	4.92E-02	NaN	IL2RB,JAK1,SYK	
Dendritic Cell Maturation	4.34E00	2.19E-02	NaN	FCGR3A/FCGR3B,HLA-C,IL32,TRGV9	
Calcium-induced T Lymphocyte Apoptosis	4.29E00	4.55E-02	NaN	CD3D,CD3G,TRGV9	
Role of JAK1 and JAK3 in γc Cytokine Signaling	4.23E00	4.35E-02	NaN	IL2RB,JAK1,SYK	
Natural Killer Cell Signaling	4.22E00	2.03E-02	-1.000	FCGR3A/FCGR3B,HLA-C,IL2RB,SYK	
IL-15 Signaling	4.12E00	4E-02	NaN	IL2RB,JAK1,SYK	
CCR5 Signaling in Macrophages	3.83E00	3.19E-02	NaN	CD3D,CD3G,TRGV9	
Phospholipase C Signaling	3.77E00	1.56E-02	NaN	CD3D,CD3G,SYK,TRGV9	
PD-1, PD-L1 cancer immunotherapy pathway	3.68E00	2.83E-02	NaN	HLA-C,IL2RB,JAK1	
Neuroinflammation Signaling Pathway	3.52E00	1.33E-02	-1.000	CX3CR1,HLA-C,JAK1,SYK	
PKCθ Signaling in T Lymphocytes	3.19E00	1.94E-02	NaN	CD3D,CD3G,TRGV9	
Interferon Signaling	3.15E00	5.56E-02	NaN	IFITM2,JAK1	
T Cell Exhaustion Signaling Pathway	3.04E00	1.71E-02	NaN	HLA-C,JAK1,TRGV9	
Graft-versus-Host Disease Signaling	2.9E00	4.17E-02	NaN	HLA-C,TRGV9	
Autoimmune Thyroid Disease Signaling	2.88E00	4.08E-02	NaN	HLA-C,TRGV9	
Allograft Rejection Signaling	2.4E00	2.33E-02	NaN	HLA-C,TRGV9	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.37E00	2.25E-02	NaN	HLA-C,IL2RB	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.37E00	2.25E-02	NaN	CD3D,CD3G	
Th17 Activation Pathway	2.35E00	2.2E-02	NaN	JAK1,TRGV9	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.32E00	2.13E-02	NaN	FCGR3A/FCGR3B,SYK	
Communication between Innate and Adaptive Immune Cells	2.3E00	2.08E-02	NaN	HLA-C,TRGV9	
Glucocorticoid Receptor Signaling	2.24E00	8.93E-03	NaN	CD3D,CD3G,JAK1	
T Cell Receptor Signaling	2.23E00	1.9E-02	NaN	CD3D,CD3G	
IL-15 Production	2.11E00	1.65E-02	NaN	JAK1,SYK	
Phagosome Formation	2.08E00	1.6E-02	NaN	FCGR3A/FCGR3B,SYK	
p70S6K Signaling	2.05E00	1.55E-02	NaN	JAK1,SYK	
STAT3 Pathway	2.02E00	1.48E-02	NaN	IGF2R,IL2RB	
Regulation of eIF4 and p70S6K Signaling	1.89E00	1.27E-02	NaN	EIF1,PABPC1	
Tec Kinase Signaling	1.86E00	1.22E-02	NaN	JAK1,TRGV9	
PI3K/AKT Signaling	1.8E00	1.14E-02	NaN	IL2RB,JAK1	
