© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Th1 and Th2 Activation Pathway	8.78E00	6.43E-02	NaN	CD247,CD28,ICOS,IL24,KLRD1,NFATC2,PRKCQ,RUNX3,STAT4,TBX21,TGFBR3	
Th2 Pathway	8.59E00	7.35E-02	0.333	CD247,CD28,ICOS,IL24,NFATC2,PRKCQ,RUNX3,STAT4,TBX21,TGFBR3	
T Cell Receptor Signaling	8.36E00	8.57E-02	NaN	CAMK4,CD247,CD28,CD8B,ITK,NFATC2,PRKCQ,RASGRP1,TXK	
Th1 Pathway	7.82E00	7.44E-02	2.646	CD247,CD28,ICOS,KLRD1,NFATC2,PRKCQ,RUNX3,STAT4,TBX21	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	6.65E00	4E-02	2.111	BCL2,BLNK,CAMK4,CD22,CD5,NFATC2,PIM2,PRKCH,PRKCQ,RASGRP1,TNFSF8	
T Cell Exhaustion Signaling Pathway	6.44E00	5.14E-02	-0.333	BTLA,CD28,IRF4,NFATC2,PRKCQ,STAT4,TBX21,TCF7,TGFBR3	
iCOS-iCOSL Signaling in T Helper Cells	5.71E00	6.31E-02	2.449	CAMK4,CD247,CD28,ICOS,ITK,NFATC2,PRKCQ	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	5.23E00	3.21E-02	NaN	C5AR1,CAMK4,CREB5,IL18RAP,IL32,LEF1,NFATC2,PRKCH,PRKCQ,TCF7	
B Cell Receptor Signaling	5.22E00	4.32E-02	1.890	BLNK,CAMK4,CD22,CREB5,ETS1,NFATC2,PAX5,PRKCQ	
Phospholipase C Signaling	5.06E00	3.5E-02	2.828	BLNK,CAMK4,CD247,CREB5,ITK,NFATC2,PRKCH,PRKCQ,RHOH	
Natural Killer Cell Signaling	5.02E00	4.06E-02	2.828	CD226,CD247,IL18RAP,KLRD1,NCR1,NFATC2,PRKCQ,STAT4	
Hepatic Fibrosis Signaling Pathway	4.61E00	2.72E-02	2.530	BCL2,CAMK4,CREB5,IL18RAP,LEF1,PRKCH,PRKCQ,RHOH,TCF7,TGFBR3	
Calcium-induced T Lymphocyte Apoptosis	4.6E00	7.58E-02	2.236	CAMK4,CD247,NFATC2,PRKCH,PRKCQ	
CD28 Signaling in T Helper Cells	4.39E00	5E-02	2.236	CAMK4,CD247,CD28,ITK,NFATC2,PRKCQ	
Role of NFAT in Regulation of the Immune Response	4.32E00	3.87E-02	2.646	BLNK,CAMK4,CD247,CD28,ITK,NFATC2,PRKCQ	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.97E00	5.62E-02	2.236	CCR7,CD226,CD28,KLRD1,PRF1	
Primary Immunodeficiency Signaling	3.86E00	8E-02	NaN	BLNK,ICOS,IL7R,TNFRSF13B	
Factors Promoting Cardiogenesis in Vertebrates	3.85E00	4E-02	2.449	CREB5,LEF1,PRKCH,PRKCQ,TCF7,TGFBR3	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.79E00	3.18E-02	NaN	BCL2,BIRC3,CAMK4,IL18RAP,LEF1,NFATC2,TCF7	
Gαq Signaling	3.73E00	3.8E-02	1.633	CAMK4,NFATC2,PRKCH,PRKCQ,RGS2,RHOH	
Tec Kinase Signaling	3.64E00	3.66E-02	2.449	ITK,PRKCH,PRKCQ,RHOH,STAT4,TXK	
PD-1, PD-L1 cancer immunotherapy pathway	3.62E00	4.72E-02	-1.342	CBLB,CD247,CD28,PRKCQ,RASGRP1	
Protein Kinase A Signaling	3.6E00	2.26E-02	1.890	CAMK4,CREB5,DUSP6,LEF1,NFATC2,PDE3B,PRKCH,PRKCQ,TCF7	
Nur77 Signaling in T Lymphocytes	3.58E00	6.78E-02	NaN	BCL2,CAMK4,CD247,CD28	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	3.42E00	2.4E-02	1.890	CAMK4,CD247,CD28,CREB5,ICOS,IRF4,NFATC2,RHOH	
G-Protein Coupled Receptor Signaling	3.23E00	2.57E-02	NaN	CAMK4,CREB5,DUSP6,PDE3B,PTGDR,RASGRP1,RGS2	
T Helper Cell Differentiation	3.23E00	5.48E-02	NaN	CD28,ICOS,STAT4,TBX21	
Leukocyte Extravasation Signaling	3.22E00	3.05E-02	2.236	ITK,PRKCH,PRKCQ,RASGRP1,RHOH,TXK	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	3.13E00	8.82E-02	NaN	BCL2,CD247,PRF1	
Cardiac Hypertrophy Signaling (Enhanced)	2.97E00	1.85E-02	2.828	CAMK4,IL18RAP,IL7R,NFATC2,PDE3B,PRKCH,PRKCQ,TGFBR3,TNFSF8	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.91E00	4.49E-02	NaN	CAMK4,CD247,CD28,NFATC2	
cAMP-mediated signaling	2.89E00	2.63E-02	0.816	CAMK4,CREB5,DUSP6,PDE3B,PTGDR,RGS2	
Systemic Lupus Erythematosus Signaling	2.88E00	2.62E-02	NaN	CAMK4,CD22,CD247,CD28,NFATC2,PIM2	
CCR5 Signaling in Macrophages	2.82E00	4.26E-02	NaN	CAMK4,CD247,PRKCH,PRKCQ	
Communication between Innate and Adaptive Immune Cells	2.79E00	4.17E-02	NaN	CCR7,CD28,CD8B,TNFRSF13B	
Nitric Oxide Signaling in the Cardiovascular System	2.74E00	4.04E-02	2.000	CAMK4,PDE3B,PRKCH,PRKCQ	
nNOS Signaling in Neurons	2.72E00	6.38E-02	NaN	CAMK4,PRKCH,PRKCQ	
Type I Diabetes Mellitus Signaling	2.55E00	3.6E-02	NaN	BCL2,CD247,CD28,PRF1	
Dendritic Cell Maturation	2.55E00	2.73E-02	2.000	CCR7,CREB5,IL32,IRF8,STAT4	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.52E00	2.69E-02	NaN	A2M,BCL2,CCR7,COL19A1,IL18RAP	
fMLP Signaling in Neutrophils	2.49E00	3.45E-02	2.000	CAMK4,NFATC2,PRKCH,PRKCQ	
GP6 Signaling Pathway	2.45E00	3.36E-02	2.000	CAMK4,COL19A1,PRKCH,PRKCQ	
Breast Cancer Regulation by Stathmin1	2.4E00	1.52E-02	NaN	ADGRG1,ADGRG5,C5AR1,CAMK4,CCR7,CREB5,PRKCH,PRKCQ,PTGDR	
Phagosome Formation	2.37E00	3.2E-02	NaN	C5AR1,PRKCH,PRKCQ,RHOH	
Molecular Mechanisms of Cancer	2.34E00	1.79E-02	NaN	BCL2,BIRC3,LEF1,PRKCH,PRKCQ,RASGRP1,RHOH	
Synaptic Long Term Potentiation	2.32E00	3.1E-02	NaN	CAMK4,CREB5,PRKCH,PRKCQ	
IL-12 Signaling and Production in Macrophages	2.29E00	3.03E-02	NaN	IRF8,PRKCH,PRKCQ,STAT4	
STAT3 Pathway	2.25E00	2.96E-02	NaN	BCL2,IL18RAP,IL7R,TGFBR3	
Growth Hormone Signaling	2.21E00	4.23E-02	NaN	A2M,PRKCH,PRKCQ	
Melatonin Signaling	2.19E00	4.17E-02	NaN	CAMK4,PRKCH,PRKCQ	
Sperm Motility	2.19E00	2.24E-02	2.000	CAMK4,ITK,PRKCH,PRKCQ,TXK	
Corticotropin Releasing Hormone Signaling	2.14E00	2.76E-02	2.000	CAMK4,CREB5,PRKCH,PRKCQ	
IL-7 Signaling Pathway	2.1E00	3.85E-02	NaN	BCL2,IL7R,PAX5	
BEX2 Signaling Pathway	2.08E00	3.8E-02	NaN	BCL2,LEF1,TCF7	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.05E00	2.6E-02	NaN	C5AR1,PRKCH,PRKCQ,TNFSF8	
Prolactin Signaling	2.05E00	3.7E-02	NaN	PRKCH,PRKCQ,TCF7	
