© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
BEX2 Signaling Pathway	4.29E00	3.8E-02	NaN	BCL2,LGALS1,NFKBIA	
Death Receptor Signaling	4.1E00	3.3E-02	NaN	ACTB,BCL2,NFKBIA	
ILK Signaling	3.16E00	1.58E-02	NaN	ACTB,TMSB10/TMSB4X,VIM	
FAT10 Cancer Signaling Pathway	3.08E00	4.35E-02	NaN	EEF1A1,NFKBIA	
Actin Cytoskeleton Signaling	2.99E00	1.38E-02	NaN	ACTB,IQGAP1,TMSB10/TMSB4X	
Signaling by Rho Family GTPases	2.85E00	1.23E-02	NaN	ACTB,IQGAP1,VIM	
Induction of Apoptosis by HIV1	2.84E00	3.28E-02	NaN	BCL2,NFKBIA	
Remodeling of Epithelial Adherens Junctions	2.75E00	2.94E-02	NaN	ACTB,IQGAP1	
Small Cell Lung Cancer Signaling	2.71E00	2.82E-02	NaN	BCL2,NFKBIA	
PEDF Signaling	2.59E00	2.44E-02	NaN	BCL2,NFKBIA	
OX40 Signaling Pathway	2.51E00	2.22E-02	NaN	BCL2,NFKBIA	
Prostate Cancer Signaling	2.5E00	2.2E-02	NaN	BCL2,NFKBIA	
Glucocorticoid Receptor Signaling	2.46E00	8.93E-03	NaN	ACTB,BCL2,NFKBIA	
Apoptosis Signaling	2.43E00	2.02E-02	NaN	BCL2,NFKBIA	
VEGF Signaling	2.43E00	2.02E-02	NaN	ACTB,BCL2	
Type I Diabetes Mellitus Signaling	2.33E00	1.8E-02	NaN	BCL2,NFKBIA	
Epithelial Adherens Junction Signaling	2.07E00	1.32E-02	NaN	ACTB,IQGAP1	
HOTAIR Regulatory Pathway	2.02E00	1.25E-02	NaN	NFKBIA,VIM	
Germ Cell-Sertoli Cell Junction Signaling	1.97E00	1.17E-02	NaN	ACTB,IQGAP1	
PI3K/AKT Signaling	1.95E00	1.14E-02	NaN	BCL2,NFKBIA	
IL-8 Signaling	1.84E00	1E-02	NaN	BCL2,IQGAP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.76E00	9.09E-03	NaN	BCL2,NFKBIA	
EIF2 Signaling	1.74E00	8.93E-03	NaN	ACTB,BCL2	
TNFR2 Signaling	1.56E00	3.33E-02	NaN	NFKBIA	
4-1BB Signaling in T Lymphocytes	1.53E00	3.12E-02	NaN	NFKBIA	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.51E00	2.94E-02	NaN	BCL2	
MIF-mediated Glucocorticoid Regulation	1.51E00	2.94E-02	NaN	NFKBIA	
TWEAK Signaling	1.5E00	2.86E-02	NaN	NFKBIA	
IL-17A Signaling in Fibroblasts	1.5E00	2.86E-02	NaN	NFKBIA	
Interferon Signaling	1.48E00	2.78E-02	NaN	BCL2	
Docosahexaenoic Acid (DHA) Signaling	1.46E00	2.63E-02	NaN	BCL2	
April Mediated Signaling	1.45E00	2.56E-02	NaN	NFKBIA	
B Cell Activating Factor Signaling	1.43E00	2.44E-02	NaN	NFKBIA	
Mechanisms of Viral Exit from Host Cells	1.43E00	2.44E-02	NaN	ACTB	
MIF Regulation of Innate Immunity	1.42E00	2.38E-02	NaN	NFKBIA	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.4E00	2.27E-02	NaN	NFKBIA	
IL-23 Signaling Pathway	1.4E00	2.27E-02	NaN	NFKBIA	
iNOS Signaling	1.39E00	2.22E-02	NaN	NFKBIA	
Hepatic Fibrosis Signaling Pathway	1.35E00	5.43E-03	NaN	BCL2,NFKBIA	
Myc Mediated Apoptosis Signaling	1.34E00	2E-02	NaN	BCL2	
TNFR1 Signaling	1.34E00	2E-02	NaN	NFKBIA	
CD27 Signaling in Lymphocytes	1.32E00	1.89E-02	NaN	NFKBIA	
Lymphotoxin β Receptor Signaling	1.32E00	1.89E-02	NaN	NFKBIA	
Role of IL-17A in Arthritis	1.3E00	1.82E-02	NaN	NFKBIA	
Molecular Mechanisms of Cancer	1.3E00	5.12E-03	NaN	BCL2,NFKBIA	
Unfolded protein response	1.3E00	1.79E-02	NaN	BCL2	
MSP-RON Signaling Pathway	1.28E00	1.72E-02	NaN	ACTB	
Nur77 Signaling in T Lymphocytes	1.27E00	1.69E-02	NaN	BCL2	
Autophagy	1.26E00	1.64E-02	NaN	BCL2	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.25E00	1.59E-02	NaN	NFKBIA	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.24E00	1.56E-02	NaN	NFKBIA	
CD40 Signaling	1.23E00	1.54E-02	NaN	NFKBIA	
IL-17A Signaling in Airway Cells	1.23E00	1.54E-02	NaN	NFKBIA	
IL-10 Signaling	1.21E00	1.45E-02	NaN	NFKBIA	
GM-CSF Signaling	1.2E00	1.43E-02	NaN	RACK1	
Caveolar-mediated Endocytosis Signaling	1.18E00	1.37E-02	NaN	ACTB	
Hypoxia Signaling in the Cardiovascular System	1.18E00	1.35E-02	NaN	NFKBIA	
Angiopoietin Signaling	1.17E00	1.33E-02	NaN	NFKBIA	
Erythropoietin Signaling	1.17E00	1.32E-02	NaN	NFKBIA	
Toll-like Receptor Signaling	1.17E00	1.32E-02	NaN	NFKBIA	
IL-7 Signaling Pathway	1.16E00	1.28E-02	NaN	BCL2	
Agrin Interactions at Neuromuscular Junction	1.15E00	1.27E-02	NaN	ACTB	
Role of BRCA1 in DNA Damage Response	1.15E00	1.25E-02	NaN	ACTB	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.15E00	1.25E-02	NaN	BCL2	
LPS-stimulated MAPK Signaling	1.14E00	1.22E-02	NaN	NFKBIA	
NF-κB Activation by Viruses	1.14E00	1.22E-02	NaN	NFKBIA	
Ceramide Signaling	1.11E00	1.14E-02	NaN	BCL2	
RANK Signaling in Osteoclasts	1.11E00	1.14E-02	NaN	NFKBIA	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.1E00	1.12E-02	NaN	ACTB	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.1E00	1.12E-02	NaN	NFKBIA	
IL-1 Signaling	1.09E00	1.1E-02	NaN	NFKBIA	
