© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	2.18E01	3.59E-01	NaN	CALR,CANX,CD74,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,PDIA3	
Autoimmune Thyroid Disease Signaling	1.65E01	2.45E-01	NaN	HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4	
Allograft Rejection Signaling	1.64E01	1.63E-01	NaN	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4	
B Cell Development	1.63E01	3.06E-01	NaN	CD79A,CD79B,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHD,IGHM,PTPRC	
Communication between Innate and Adaptive Immune Cells	1.42E01	1.35E-01	NaN	CD79A,CD79B,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM	
Dendritic Cell Maturation	1.3E01	8.2E-02	-0.277	HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4,LTB,PDIA3,STAT1	
T Cell Exhaustion Signaling Pathway	1.2E01	8E-02	0.000	FOXP1,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,JAK1,PRDM1,STAT1	
B Cell Receptor Signaling	1.17E01	7.57E-02	-1.342	CD22,CD79A,CD79B,ETS1,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,PAX5,PRKCB,PTPRC	
Primary Immunodeficiency Signaling	1.11E01	1.8E-01	NaN	CD79A,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,PTPRC	
PD-1, PD-L1 cancer immunotherapy pathway	1.08E01	1.04E-01	3.000	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,JAK1	
Th1 Pathway	1.02E01	9.09E-02	-2.121	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,ITGB2,JAK1,STAT1	
OX40 Signaling Pathway	1.02E01	1.11E-01	NaN	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
Th1 and Th2 Activation Pathway	9.72E00	7.02E-02	NaN	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IL4R,ITGB2,JAK1,STAT1	
Graft-versus-Host Disease Signaling	9.68E00	1.67E-01	NaN	HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
Th2 Pathway	9.61E00	8.09E-02	NaN	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IL4R,ITGB2,JAK1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	9.41E00	5.09E-02	0.535	CD22,CD79A,CD79B,IFIT3,IGHA1,IGHD,IGHG1,IGHM,ISG15,ISG20,JAK1,LTB,PRKCB,STAT1	
Type I Diabetes Mellitus Signaling	9.24E00	9.01E-02	NaN	HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,JAK1,STAT1	
Interferon Signaling	9.02E00	1.94E-01	1.890	IFI6,IFIT3,IFITM3,ISG15,JAK1,MX1,STAT1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	8.77E00	1E-01	NaN	CD79A,CD79B,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,LTB	
Cdc42 Signaling	8.66E00	6.59E-02	NaN	ACTR2,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
