© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	1.44E01	2.5E-01	2.333	IFI6,IFIT1,IFIT3,ISG15,JAK1,MX1,OAS1,STAT1,STAT2	
Th1 Pathway	1.09E01	8.26E-02	-0.378	CD247,CD3D,CD3G,CD8A,HLA-A,HLA-B,ITGB2,JAK1,KLRD1,STAT1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.06E01	2.06E-01	1.000	CD247,CD3D,CD3G,GZMB,HLA-A,HLA-B,HLA-C	
Type I Diabetes Mellitus Signaling	9.75E00	8.11E-02	0.816	CD247,CD3D,CD3G,GZMB,HLA-A,HLA-B,HLA-C,JAK1,STAT1	
Th1 and Th2 Activation Pathway	9.38E00	5.85E-02	NaN	CD247,CD3D,CD3G,CD8A,HLA-A,HLA-B,ITGB2,JAK1,KLRD1,STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	7.59E00	7.87E-02	NaN	CD247,CD3D,CD3G,CD8A,HLA-A,HLA-B,HLA-C	
Cdc42 Signaling	6.92E00	4.79E-02	-0.447	ARPC2,CD247,CD3D,CD3G,CFL1,HLA-A,HLA-B,HLA-C	
T Cell Exhaustion Signaling Pathway	6.76E00	4.57E-02	0.447	EOMES,GZMB,HLA-A,HLA-B,HLA-C,JAK1,STAT1,STAT2	
Natural Killer Cell Signaling	6.37E00	4.06E-02	1.890	CD247,CFL1,HLA-A,HLA-B,HLA-C,KLRB1,KLRD1,TNFSF10	
Th2 Pathway	6.32E00	5.15E-02	0.000	CD247,CD3D,CD3G,HLA-A,HLA-B,ITGB2,JAK1	
OX40 Signaling Pathway	6.14E00	6.67E-02	NaN	CD247,CD3D,CD3G,HLA-A,HLA-B,HLA-C	
Nur77 Signaling in T Lymphocytes	5.71E00	8.47E-02	NaN	CD247,CD3D,CD3G,HLA-A,HLA-B	
Calcium-induced T Lymphocyte Apoptosis	5.47E00	7.58E-02	-0.447	CD247,CD3D,CD3G,HLA-A,HLA-B	
CD28 Signaling in T Helper Cells	5.41E00	5E-02	NaN	ARPC2,CD247,CD3D,CD3G,HLA-A,HLA-B	
Antiproliferative Role of TOB in T Cell Signaling	4.99E00	1.03E-01	0.000	CD247,CD3D,CD3G,PABPC1	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.83E00	5.62E-02	NaN	HLA-A,HLA-B,HLA-C,KLRD1,TNFSF10	
