© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	 	0.279	 	4.85E-11	BCL2,CYLD,HLA-E,HLA-F,HSP90AA1,HSP90AB1,HSPA5,MYC,NFKBIZ,PIM1,SOCS3,TSC22D3,TXNIP	13 (4)
TGFB1	 	growth factor	 	-0.178	 	1.02E-09	AHNAK,BCL2,HSP90AA1,HSPA5,MALAT1,MYC,PIM1,PTPRC,SLC2A3,SOCS3,TSC22D3,TXNIP,ZFP36L2	 
TAL1	 	transcription regulator	 	0.378	 	1.04E-09	BCL2,CYLD,HLA-E,HLA-F,MYC,NFKBIZ,SLC2A3	8 (2)
TCR	 	complex	Activated	2.254	 	1.06E-09	BCL2,HSPA5,MYC,PIM1,PTPRC,SLC2A3,SOCS3,TSC22D3	12 (13)
TNF	 	cytokine	 	1.018	 	1.20E-09	BCL2,CYLD,HLA-E,HLA-F,HSP90AB1,HSPA5,MYC,NFKBIZ,PIM1,PTPRC,SOCS3,TSC22D3,TXNIP	13 (4)
STAT5a/b	 	group	Activated	2.298	 	1.55E-09	BCL2,MYC,PIM1,SLC2A3,SOCS3,STK17B	 
abrocitinib	 	chemical drug	 	 	 	2.97E-09	BCL2,MYC,SOCS3	8 (6)
scoparone	 	chemical - endogenous non-mammalian	 	 	 	7.41E-09	BCL2,MYC,SOCS3	6 (4)
IGF1	 	growth factor	 	1.942	 	8.11E-09	BCL2,HSPA5,MYC,PIM1,PTPRC,SOCS3,TXNIP,ZFP36L2	11 (13)
PRKCE	 	kinase	Activated	2.166	bias	9.41E-09	BCL2,HSP90AB1,HSPA5,MYC,PIM1	7 (3)
HOXA9	 	transcription regulator	 	 	 	1.24E-08	BCL2,MBNL1,MYC,PIM1,PTPRC,TSC22D3	 
sirolimus	 	chemical drug	Inhibited	-2.103	 	2.25E-08	BCL2,HSP90AA1,HSP90AB1,HSPA5,MYC,PIM1,SLC2A3,SOCS3	10 (12)
PD98059	 	chemical - kinase inhibitor	 	-1.658	 	2.81E-08	BCL2,HSPA5,MYC,PIM1,SOCS3,TSC22D3,TXNIP,ZFP36L2	10 (7)
IL2	 	cytokine	Activated	2.756	 	6.55E-08	BCL2,HSPA5,MYC,PIM1,PTPRC,SLC2A3,SOCS3,STK17B	11 (11)
IL1B	 	cytokine	 	1.494	 	9.06E-08	BCL2,HLA-E,HSPA5,MYC,NFKBIZ,PIM1,SOCS3,TSC22D3,TXNIP	11 (9)
IL22	 	cytokine	 	0.128	 	1.14E-07	BCL2,HSP90AB1,HSPA5,MYC,SOCS3	14 (20)
IL12 (family)	 	group	 	1.944	 	1.28E-07	BCL2,MYC,NFKBIZ,PIM1,SLC2A3	7 (5)
MET	 	kinase	 	-0.096	 	1.28E-07	BCL2,MYC,NFKBIZ,PIM1,SOCS3	10 (12)
STAT5A	 	transcription regulator	 	 	 	2.24E-07	BCL2,MYC,PIM1,SLC2A3,SOCS3,TXNIP	10 (10)
EPO	 	cytokine	 	1.893	 	2.48E-07	BCL2,MYC,PIM1,SOCS3,TSC22D3,TXNIP	9 (8)
48s	 	complex	 	 	 	3.35E-07	BCL2,HSPA5,MYC	 
LY294002	 	chemical - kinase inhibitor	 	-1.829	bias	3.74E-07	BCL2,HSP90AB1,HSPA5,MYC,PIM1,SOCS3,ZFP36L2	12 (13)
U0126	 	chemical - kinase inhibitor	Inhibited	-2.385	 	4.09E-07	BCL2,HSP90AB1,HSPA5,MYC,SLC2A3,SOCS3,TSC22D3	11 (14)
CSF2RB	 	transmembrane receptor	 	 	 	4.12E-07	BCL2,MYC,PIM1	11 (15)
poly rI:rC-RNA	 	biologic drug	 	0.378	 	4.35E-07	BCL2,HLA-E,HLA-F,HSPA5,MYC,PIM1,SOCS3	13 (15)
arsenic trioxide	 	chemical drug	 	0.106	 	4.87E-07	BCL2,HSP90AB1,HSPA5,MYC,PIM1,PTPRC	9 (6)
2-deoxyglucose	 	chemical drug	 	-0.842	 	5.32E-07	BCL2,HSPA5,MYC,TXNIP	7 (5)
IL3	 	cytokine	Activated	2.404	 	5.90E-07	BCL2,HSPA5,MYC,PIM1,SLC2A3,SOCS3	11 (13)
ionomycin	 	chemical reagent	 	1.466	 	7.53E-07	AHNAK,BCL2,HSPA5,MYC,PIM1	9 (12)
NOSIP	 	other	 	 	 	8.62E-07	BCL2,MYC	 
SMARCE1	 	transcription regulator	 	 	 	9.76E-07	BCL2,CYLD,MYC	 
EPOR	 	transmembrane receptor	 	 	 	9.76E-07	MYC,PIM1,SOCS3	7 (5)
TUG1	 	other	 	 	 	9.76E-07	BCL2,HSPA5,MYC	 
PIK3R1	 	kinase	 	1.109	 	1.22E-06	BCL2,HSPA5,MYC,TXNIP	8 (4)
LYN	 	kinase	 	 	 	1.22E-06	BCL2,MYC,NFKBIZ,SOCS3	11 (12)
APP	 	other	 	 	 	1.39E-06	BCL2,HLA-E,HSP90AA1,HSP90AB1,HSPA5,MYC,PTPRC,SOCS3	 
BCR-ABL1	 	fusion gene/product	 	1.941	 	1.53E-06	BCL2,MYC,PIM1,SLC2A3	8 (5)
IgG	 	complex	 	0.000	 	1.57E-06	HLA-E,HSPA5,MYC,PIM1,SLC2A3	 
AG490	 	chemical - kinase inhibitor	 	-1.961	bias	1.67E-06	BCL2,MYC,PIM1,SOCS3	11 (12)
EGFR	 	kinase	 	0.597	 	1.82E-06	BCL2,HSPA5,MYC,SLC2A3,SOCS3,TXNIP	10 (14)
STAT4	 	transcription regulator	 	1.195	bias	1.87E-06	AHNAK,BCL2,MYC,SLC2A3,SOCS3	8 (9)
N-acetyl-L-cysteine	 	chemical drug	 	1.193	 	2.52E-06	BCL2,HSPA5,MYC,NFKBIZ,TXNIP	11 (12)
sethoxydim	 	chemical toxicant	 	 	 	2.58E-06	BCL2,MYC	 
MYBL1	 	transcription regulator	 	 	 	2.67E-06	BCL2,HSP90AA1,MYC	 
vitamin K3	 	chemical drug	 	 	 	2.67E-06	BCL2,HSPA5,MYC	8 (7)
prednisolone	 	chemical drug	Inhibited	-2.000	 	2.84E-06	BCL2,HSP90AA1,TSC22D3,TXNIP,ZFP36L2	 
CEBPA	 	transcription regulator	 	0.598	 	2.98E-06	BCL2,HSPA5,MYC,PTPRC,SOCS3,TSC22D3	 
Interferon alpha	 	group	 	1.595	 	3.13E-06	BCL2,HLA-F,MYC,PIM1,SLC2A3,SOCS3	8 (3)
FOXO1	 	transcription regulator	 	-1.111	 	3.21E-06	BCL2,HSP90AB1,HSPA5,MYC,PTPRC,TXNIP	 
Ubiquitin	 	group	 	 	 	3.28E-06	HSP90AA1,HSPA5,MYC	 
PI3K (family)	 	group	 	1.969	 	3.51E-06	BCL2,HSPA5,MYC,TXNIP	6 (2)
DDIT3	 	transcription regulator	 	0.440	 	4.18E-06	BCL2,HSPA5,TSC22D3,TXNIP	 
arginine	 	chemical - endogenous mammalian	 	 	 	4.36E-06	BCL2,HSPA5,MYC	10 (12)
TNFSF11	 	cytokine	 	1.491	bias	4.57E-06	BCL2,MYC,NFKBIZ,PIM1,SOCS3	12 (11)
lipopolysaccharide	 	chemical drug	 	1.847	 	4.60E-06	BCL2,HSPA5,MYC,NFKBIZ,PIM1,PTPRC,SOCS3,TSC22D3,TXNIP,ZFP36L2	11 (6)
MYD88	 	other	 	1.972	bias	4.82E-06	HSP90AB1,HSPA5,MYC,NFKBIZ,SOCS3	10 (10)
CCI-007	 	chemical reagent	 	 	 	5.16E-06	BCL2,MYC	 
IL6	 	cytokine	Activated	2.069	 	5.44E-06	AHNAK,BCL2,HSPA5,MYC,PIM1,PTPRC,SOCS3	10 (16)
cisplatin	 	chemical drug	 	-0.223	 	5.48E-06	BCL2,HSPA5,MYC,SLC2A3,SOCS3,STK17B,TXNIP	10 (13)
corticosterone	 	chemical - endogenous mammalian	 	 	 	5.62E-06	BCL2,HSPA5,MYC,TSC22D3	 
tanespimycin	 	chemical drug	 	0.000	 	5.62E-06	BCL2,HSP90AB1,HSPA5,MYC	6 (3)
histone deacetylase inhibitor	 	chemical drug	 	 	 	5.64E-06	BCL2,MYC,TXNIP	4 (4)
E. coli B4 lipopolysaccharide	 	chemical toxicant	 	1.432	 	5.85E-06	BCL2,PIM1,PTPRC,SOCS3,TXNIP	 
STAT5B	 	transcription regulator	 	1.964	 	6.05E-06	AHNAK,BCL2,MYC,PIM1,SOCS3	11 (11)
