© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.44E01	3.33E-01	NaN	CD74,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,PDIA3,PSMB9,TAP1	
Interferon Signaling	1.18E01	3.06E-01	3.317	IFI6,IFIT1,IFIT3,IFITM2,IFITM3,IFNAR1,ISG15,MX1,STAT1,STAT2,TAP1	
Dendritic Cell Maturation	9.92E00	9.84E-02	-0.943	CD1C,FCGR1A,FCGR1B,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNAR1,NFKBIA,PDIA3,RELB,STAT1,STAT2,TNFRSF1B,TYROBP	
Th1 Pathway	7.79E00	1.07E-01	-0.632	CCR5,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNAR1,NOTCH2,STAT1	
B Cell Development	7.52E00	2.22E-01	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IGHM	
Role of NFAT in Regulation of the Immune Response	7.35E00	8.29E-02	-1.387	CALM1 (includes others),FCER1A,FCGR1A,FCGR1B,FOS,GNB2,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,MEF2C,NFKBIA	
T Helper Cell Differentiation	7.13E00	1.37E-01	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL6ST,STAT1,TNFRSF1B	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	7.11E00	6.55E-02	1.886	CALM1 (includes others),FOS,HCK,IFIH1,IFIT3,IFNAR1,IGHM,IL6ST,INPP5F,IRF7,ISG15,LILRB4,MCL1,PRKCB,STAT1,STAT2,TLR7,TNFSF10	
Nur77 Signaling in T Lymphocytes	6.89E00	1.53E-01	NaN	CALM1 (includes others),HDAC9,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Calcium-induced T Lymphocyte Apoptosis	6.46E00	1.36E-01	-2.333	CALM1 (includes others),HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,PRKCB	
OX40 Signaling Pathway	6.26E00	1.11E-01	NaN	HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA	
Th1 and Th2 Activation Pathway	6.02E00	7.6E-02	NaN	CCR5,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNAR1,NOTCH2,STAT1	
CD28 Signaling in T Helper Cells	5.98E00	9.17E-02	NaN	ARPC1B,CALM1 (includes others),FOS,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA	
T Cell Exhaustion Signaling Pathway	5.9E00	7.43E-02	NaN	FOS,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNAR1,STAT1,STAT2	
PD-1, PD-L1 cancer immunotherapy pathway	5.6E00	9.43E-02	1.414	HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,TNFRSF1B	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.56E00	1.27E-01	1.414	ADAR,IFIH1,IFNAR1,IRF7,ISG15,NFKBIA,STAT1,STAT2	
IL-4 Signaling	5.51E00	1.06E-01	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL13RA1,INPP5F	
Allograft Rejection Signaling	5.47E00	1.05E-01	NaN	HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Th2 Pathway	5.44E00	8.09E-02	NaN	CCR5,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NOTCH2	
Type I Diabetes Mellitus Signaling	5.42E00	9.01E-02	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA,STAT1,TNFRSF1B	
Crosstalk between Dendritic Cells and Natural Killer Cells	5.34E00	1.01E-01	-0.707	CSF2RB,HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5,TLR7,TNFRSF1B,TNFSF10,TYROBP	
Cdc42 Signaling	5.34E00	7.19E-02	NaN	ARPC1B,DIAPH1,FOS,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Graft-versus-Host Disease Signaling	5.34E00	1.46E-01	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	5.3E00	1E-01	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,RELB,TLR7	
Autoimmune Thyroid Disease Signaling	5.28E00	1.43E-01	NaN	HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Role of PKR in Interferon Induction and Antiviral Response	5.21E00	8.55E-02	1.265	EIF2AK2,FCGR1A,FOS,HSP90B1,HSPA5,IFIH1,IFNAR1,NFKBIA,STAT1,STAT2	
iCOS-iCOSL Signaling in T Helper Cells	4.56E00	8.11E-02	-2.121	CALM1 (includes others),HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA	
PKCθ Signaling in T Lymphocytes	3.45E00	5.81E-02	-2.333	FOS,HLA-A,HLA-DMA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA	
Glycolysis I	3.35E00	1.54E-01	2.000	ALDOA,FBP1,GAPDH,PKM	
Gluconeogenesis I	3.35E00	1.54E-01	1.000	ALDOA,FBP1,GAPDH,MDH2	
