© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	1.18E01	2.22E-01	2.121	IFI6,IFIT1,IFIT3,ISG15,JAK1,MX1,OAS1,STAT1	
T Cell Exhaustion Signaling Pathway	8.53E00	5.71E-02	0.000	GZMB,HLA-A,HLA-B,HLA-C,HLA-E,JAK1,JUN,LAG3,PPP2R5C,STAT1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	8.28E00	1.76E-01	NaN	B2M,GZMB,HLA-A,HLA-B,HLA-C,HLA-E	
Caveolar-mediated Endocytosis Signaling	7.67E00	9.59E-02	NaN	ACTB,B2M,HLA-A,HLA-B,HLA-C,HLA-E,ITGAL	
CTLA4 Signaling in Cytotoxic T Lymphocytes	7.06E00	7.87E-02	NaN	B2M,CD8A,HLA-A,HLA-B,HLA-C,HLA-E,PPP2R5C	
Communication between Innate and Adaptive Immune Cells	6.83E00	7.29E-02	NaN	B2M,CCL5,CD8A,HLA-A,HLA-B,HLA-C,HLA-E	
Virus Entry via Endocytic Pathways	6.51E00	6.54E-02	NaN	ACTB,B2M,HLA-A,HLA-B,HLA-C,HLA-E,ITGAL	
Type I Diabetes Mellitus Signaling	6.4E00	6.31E-02	NaN	GZMB,HLA-A,HLA-B,HLA-C,HLA-E,JAK1,STAT1	
Antigen Presentation Pathway	6.25E00	1.28E-01	NaN	B2M,HLA-A,HLA-B,HLA-C,HLA-E	
Allograft Rejection Signaling	5.81E00	6.98E-02	NaN	B2M,GZMB,HLA-A,HLA-B,HLA-C,HLA-E	
Graft-versus-Host Disease Signaling	5.79E00	1.04E-01	NaN	GZMB,HLA-A,HLA-B,HLA-C,HLA-E	
Autoimmune Thyroid Disease Signaling	5.74E00	1.02E-01	NaN	GZMB,HLA-A,HLA-B,HLA-C,HLA-E	
Crosstalk between Dendritic Cells and Natural Killer Cells	5.72E00	6.74E-02	NaN	ACTB,HLA-A,HLA-B,HLA-C,HLA-E,ITGAL	
OX40 Signaling Pathway	5.7E00	6.67E-02	NaN	B2M,HLA-A,HLA-B,HLA-C,HLA-E,JUN	
Neuroinflammation Signaling Pathway	5.36E00	3E-02	-2.121	B2M,CCL5,HLA-A,HLA-B,HLA-C,HLA-E,JAK1,JUN,STAT1	
PD-1, PD-L1 cancer immunotherapy pathway	5.28E00	5.66E-02	2.449	B2M,HLA-A,HLA-B,HLA-C,HLA-E,JAK1	
Cdc42 Signaling	5.21E00	4.19E-02	NaN	ARPC2,B2M,HLA-A,HLA-B,HLA-C,HLA-E,JUN	
Th1 and Th2 Activation Pathway	5.15E00	4.09E-02	NaN	CCR5,CD8A,HLA-A,HLA-B,JAK1,JUN,STAT1	
Th1 Pathway	4.95E00	4.96E-02	-1.000	CCR5,CD8A,HLA-A,HLA-B,JAK1,STAT1	
Natural Killer Cell Signaling	4.74E00	3.55E-02	1.890	B2M,HLA-A,HLA-B,HLA-C,HLA-E,HSPA8,ITGAL	
Phagosome Maturation	4.4E00	3.97E-02	NaN	B2M,HLA-A,HLA-B,HLA-C,HLA-E,TUBB	
UVA-Induced MAPK Signaling	4.26E00	5.1E-02	NaN	ATM,JUN,PARP14,PARP9,STAT1	
Granzyme A Signaling	4.2E00	1.58E-01	NaN	H1-2,H1-3,HMGB2	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	4.14E00	2.4E-02	-2.121	B2M,HLA-A,HLA-B,HLA-C,HLA-E,ITGAL,JUN,PPP2R5C	
Dendritic Cell Maturation	3.94E00	3.28E-02	-1.342	B2M,HLA-A,HLA-B,HLA-C,HLA-E,STAT1	
Role of PKR in Interferon Induction and Antiviral Response	3.9E00	4.27E-02	-0.447	EIF2AK2,HSPA8,JAK1,JUN,STAT1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.9E00	4.27E-02	NaN	GZMB,HLA-A,HLA-B,HLA-C,HLA-E	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.87E00	6.35E-02	-1.000	ADAR,ISG15,JUN,STAT1	
Protein Ubiquitination Pathway	3.85E00	2.56E-02	NaN	B2M,HLA-A,HLA-B,HLA-C,HLA-E,HSPA8,UBA52	
Th2 Pathway	3.59E00	3.68E-02	NaN	CCR5,HLA-A,HLA-B,JAK1,JUN	
IL-7 Signaling Pathway	3.51E00	5.13E-02	0.000	IL7R,JAK1,JUN,STAT1	
Role of BRCA1 in DNA Damage Response	3.47E00	5E-02	NaN	ACTB,ATM,RBL2,STAT1	
B Cell Development	3.35E00	8.33E-02	NaN	HLA-A,HLA-B,IL7R	
PDGF Signaling	3.35E00	4.65E-02	0.000	EIF2AK2,JAK1,JUN,STAT1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.34E00	3.25E-02	NaN	CCL5,EIF2AK2,OAS1,OAS2,OAS3	
Pathogenesis of Multiple Sclerosis	3.22E00	2.22E-01	NaN	CCL5,CCR5	
iNOS Signaling	3.07E00	6.67E-02	NaN	JAK1,JUN,STAT1	
Sumoylation Pathway	3.05E00	3.88E-02	NaN	ETS1,ISG20,JUN,SP100	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	3E00	2.18E-02	0.816	IFIT3,ISG15,ISG20,JAK1,JUN,STAT1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.95E00	2.66E-02	0.447	JAK1,JUN,PPP2R5C,S100A8,STAT1	
Clathrin-mediated Endocytosis Signaling	2.9E00	2.59E-02	NaN	ACTB,ARPC2,HSPA8,S100A8,UBA52	
Role of IL-17A in Psoriasis	2.89E00	1.54E-01	NaN	S100A8,S100A9	
EGF Signaling	2.81E00	5.45E-02	NaN	JAK1,JUN,STAT1	
CD28 Signaling in T Helper Cells	2.8E00	3.33E-02	NaN	ARPC2,HLA-A,HLA-B,JUN	
Granzyme B Signaling	2.71E00	1.25E-01	NaN	GZMB,LMNB1	
EIF2 Signaling	2.62E00	2.23E-02	NaN	ACTB,EIF1,EIF2AK2,PABPC1,UBA52	
Systemic Lupus Erythematosus Signaling	2.58E00	2.18E-02	NaN	HLA-A,HLA-B,HLA-C,HLA-E,JUN	
Glucocorticoid Receptor Signaling	2.56E00	1.79E-02	NaN	ACTB,CCL5,HSPA8,JAK1,JUN,STAT1	
Remodeling of Epithelial Adherens Junctions	2.55E00	4.41E-02	NaN	ACTB,ARPC2,TUBB	
IL-10 Signaling	2.53E00	4.35E-02	NaN	CCR5,JAK1,JUN	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.53E00	4.35E-02	NaN	IL7R,JAK1,STAT1	
GM-CSF Signaling	2.51E00	4.29E-02	NaN	ETS1,RACK1,STAT1	
T Helper Cell Differentiation	2.46E00	4.11E-02	NaN	HLA-A,HLA-B,STAT1	
Toll-like Receptor Signaling	2.41E00	3.95E-02	NaN	EIF2AK2,JUN,UBA52	
Necroptosis Signaling Pathway	2.38E00	2.55E-02	0.000	EIF2AK2,JAK1,RBL2,STAT1	
IL-3 Signaling	2.36E00	3.8E-02	NaN	JAK1,JUN,STAT1	
Agrin Interactions at Neuromuscular Junction	2.36E00	3.8E-02	NaN	ACTB,ITGAL,JUN	
IL-22 Signaling	2.36E00	8.33E-02	NaN	JAK1,STAT1	
Tumoricidal Function of Hepatic Natural Killer Cells	2.36E00	8.33E-02	NaN	GZMB,ITGAL	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.36E00	8.33E-02	NaN	JAK1,STAT1	
Renal Cell Carcinoma Signaling	2.35E00	3.75E-02	NaN	ETS1,JUN,UBA52	
JAK/Stat Signaling	2.35E00	3.75E-02	NaN	JAK1,JUN,STAT1	
Chemokine Signaling	2.35E00	3.75E-02	NaN	CCL5,CCR5,JUN	
IL-17A Signaling in Gastric Cells	2.32E00	8E-02	NaN	CCL5,JUN	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.32E00	8E-02	NaN	JAK1,STAT1	
NF-κB Activation by Viruses	2.32E00	3.66E-02	NaN	CCR5,EIF2AK2,ITGAL	
IL-4 Signaling	2.27E00	3.53E-02	NaN	HLA-A,HLA-B,JAK1	
Senescence Pathway	2.24E00	1.82E-02	-2.236	ATM,ETS1,JUN,PPP2R5C,RBL2	
Death Receptor Signaling	2.19E00	3.3E-02	NaN	ACTB,PARP14,PARP9	
CCR5 Signaling in Macrophages	2.15E00	3.19E-02	NaN	CCL5,CCR5,JUN	
ATM Signaling	2.12E00	3.09E-02	NaN	ATM,JUN,PPP2R5C	
ILK Signaling	2.09E00	2.11E-02	0.000	ACTB,JUN,NACA,PPP2R5C	
IL-9 Signaling	2.08E00	6.06E-02	NaN	JAK1,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.06E00	5.88E-02	NaN	JAK1,STAT1	
Diphthamide Biosynthesis	1.91E00	3.33E-01	NaN	EEF2	
Mechanisms of Viral Exit from Host Cells	1.9E00	4.88E-02	NaN	ACTB,LMNB1	
Renin-Angiotensin Signaling	1.89E00	2.54E-02	NaN	CCL5,JUN,STAT1	
Oncostatin M Signaling	1.86E00	4.65E-02	NaN	JAK1,STAT1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.86E00	4.65E-02	NaN	CCL5,CCR5	
p70S6K Signaling	1.78E00	2.33E-02	NaN	EEF2,JAK1,PPP2R5C	
IL-12 Signaling and Production in Macrophages	1.76E00	2.27E-02	NaN	JUN,S100A8,STAT1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.75E00	4.08E-02	NaN	ATM,TOP2A	
Primary Immunodeficiency Signaling	1.74E00	4E-02	NaN	CD8A,IL7R	
Signaling by Rho Family GTPases	1.73E00	1.64E-02	-1.000	ACTB,ARPC2,JUN,STMN1	
Hereditary Breast Cancer Signaling	1.69E00	2.14E-02	NaN	ACTB,ATM,UBA52	
Aryl Hydrocarbon Receptor Signaling	1.67E00	2.1E-02	NaN	ATM,JUN,RBL2	
Cell Cycle Control of Chromosomal Replication	1.65E00	3.57E-02	NaN	MCM4,TOP2A	
CNTF Signaling	1.63E00	3.51E-02	NaN	JAK1,STAT1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.63E00	3.51E-02	NaN	ATM,PPP2R5C	
Nur77 Signaling in T Lymphocytes	1.6E00	3.39E-02	NaN	HLA-A,HLA-B	
Epithelial Adherens Junction Signaling	1.6E00	1.97E-02	NaN	ACTB,ARPC2,TUBB	
