© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.67E01	3.33E-01	NaN	CALR,CD74,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E,PDIA3,TAP1	
Interferon Signaling	1.55E01	3.33E-01	2.887	IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFITM3,IFNGR1,ISG15,JAK1,MX1,STAT1,TAP1	
Th1 and Th2 Activation Pathway	1.01E01	8.77E-02	NaN	CCR1,CD4,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,IFNGR1,IKZF1,JAK1,STAT1,STAT3	
Th1 Pathway	9.94E00	1.07E-01	-1.000	CD4,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,IFNGR1,JAK1,STAT1,STAT3	
Type I Diabetes Mellitus Signaling	9.25E00	1.08E-01	0.000	GZMB,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,HLA-E,HSPD1,IFNGR1,JAK1,MYD88,NFKBIA,STAT1	
OX40 Signaling Pathway	9.1E00	1.22E-01	NaN	CD4,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E,NFKBIA	
Role of PKR in Interferon Induction and Antiviral Response	8.98E00	1.03E-01	0.577	DDX58,EIF2AK2,HSP90AA1,HSP90AB1,HSPA5,HSPA8,IFNGR1,JAK1,MYD88,NFKBIA,STAT1,STAT3	
PD-1, PD-L1 cancer immunotherapy pathway	8.33E00	1.04E-01	2.646	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E,IFNGR1,JAK1	
Th2 Pathway	8.23E00	8.82E-02	NaN	CCR1,CD4,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,IKZF1,JAK1	
Allograft Rejection Signaling	8.11E00	1.16E-01	NaN	GZMB,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E	
T Cell Exhaustion Signaling Pathway	7.96E00	7.43E-02	1.000	GZMB,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E,JAK1,STAT1,STAT3	
Dendritic Cell Maturation	6.79E00	6.56E-02	-1.508	CD1C,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,HLA-E,LTB,MYD88,NFKBIA,PDIA3,STAT1,TYROBP	
Calcium-induced T Lymphocyte Apoptosis	6.74E00	1.21E-01	-1.414	ATP2A2,CALM1 (includes others),CD4,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,ITPR2	
Crosstalk between Dendritic Cells and Natural Killer Cells	5.73E00	8.99E-02	-1.890	ACTB,HLA-DRA,HLA-DRB5,HLA-E,IL3RA,LTB,TNFSF10,TYROBP	
CD28 Signaling in T Helper Cells	5.71E00	7.5E-02	0.000	ACTR3,CALM1 (includes others),CD4,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,ITPR2,NFKBIA	
BAG2 Signaling Pathway	5.55E00	1.4E-01	0.816	ANXA2,HSP90AA1,HSPA5,HSPA8,MAPKAPK2,PSME2	
iNOS Signaling	5.43E00	1.33E-01	0.447	CALM1 (includes others),IFNGR1,JAK1,MYD88,NFKBIA,STAT1	
Cdc42 Signaling	5.4E00	5.99E-02	NaN	ACTR3,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E	
Neuroinflammation Signaling Pathway	5.27E00	4.33E-02	-0.632	APP,CSF1R,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,HLA-E,IFNGR1,JAK1,MYD88,NAIP,STAT1,TYROBP	
T Helper Cell Differentiation	5.27E00	9.59E-02	NaN	HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,IFNGR1,STAT1,STAT3	
Graft-versus-Host Disease Signaling	5.26E00	1.25E-01	NaN	GZMB,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,HLA-E	
Autoimmune Thyroid Disease Signaling	5.21E00	1.22E-01	NaN	GZMB,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,HLA-E	
Role of NFAT in Regulation of the Immune Response	5.09E00	5.52E-02	-2.121	CALM1 (includes others),CD4,FCER1A,GNAS,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,ITPR2,NFKBIA	
iCOS-iCOSL Signaling in T Helper Cells	5.01E00	7.21E-02	-1.633	CALM1 (includes others),CD4,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,ITPR2,NFKBIA	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	4.94E00	4.36E-02	2.309	CALM1 (includes others),IFIT2,IFIT3,IFNGR1,ISG15,JAK1,LTB,MCL1,MYD88,STAT1,STAT3,TNFSF10	
Glucocorticoid Receptor Signaling	4.75E00	3.87E-02	NaN	ACTB,ANXA1,CD163,DUSP1,FKBP5,HSP90AA1,HSP90AB1,HSPA5,HSPA8,JAK1,NFKBIA,STAT1,STAT3	
Nur77 Signaling in T Lymphocytes	4.74E00	1.02E-01	NaN	CALM1 (includes others),HDAC9,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5	
Death Receptor Signaling	4.63E00	7.69E-02	1.890	ACTB,LMNA,NAIP,NFKBIA,PARP14,PARP9,TNFSF10	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.57E00	9.52E-02	0.816	ADAR,DDX58,IFIT2,ISG15,NFKBIA,STAT1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	4.17E00	1.67E-01	NaN	IFNGR1,JAK1,STAT1,STAT3	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	4.13E00	3.6E-02	-2.309	HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB5,HLA-E,MSN,SELPLG,STAT3	
Lipid Antigen Presentation by CD1	4.03E00	1.54E-01	NaN	CALR,CD1C,PDIA3,PSAP	
Aldosterone Signaling in Epithelial Cells	3.91E00	5.06E-02	NaN	DUSP1,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,ITPR2,PDIA3	
Protein Ubiquitination Pathway	3.59E00	3.66E-02	NaN	CUL1,HLA-E,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,PSMA4,PSME2,TAP1	
B Cell Development	3.46E00	1.11E-01	NaN	HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5	
Protein Kinase A Signaling	3.41E00	3.02E-02	1.414	AKAP9,CALM1 (includes others),DUSP1,FLNA,GNAS,H1-0,ITPR2,NFKBIA,PDIA3,PPP1R14B,PTPRS,TCF4	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.2E00	4.55E-02	NaN	DDX58,EIF2AK2,LTB,MYD88,OAS2,OAS3,TNFSF10	
Hypoxia Signaling in the Cardiovascular System	3.19E00	6.76E-02	NaN	ATM,HSP90AA1,HSP90AB1,LDHA,NFKBIA	
eNOS Signaling	3.12E00	4.4E-02	-1.000	CALM1 (includes others),GNAS,HSP90AA1,HSP90AB1,HSPA5,HSPA8,ITPR2	
FAT10 Cancer Signaling Pathway	3.05E00	8.7E-02	-1.000	EEF1A1,NFKBIA,STAT3,TCF4	
Tec Kinase Signaling	3.04E00	4.27E-02	0.000	ACTB,FCER1A,GNAS,JAK1,STAT1,STAT3,TNFSF10	
IL-4 Signaling	2.92E00	5.88E-02	NaN	HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,JAK1	
Pyruvate Fermentation to Lactate	2.9E00	3.33E-01	NaN	LDHA,LDHB	
IL-22 Signaling	2.85E00	1.25E-01	NaN	JAK1,STAT1,STAT3	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.81E00	5.56E-02	NaN	HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,LTB	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.8E00	1.2E-01	NaN	JAK1,STAT1,STAT3	
Th17 Activation Pathway	2.79E00	5.49E-02	-0.447	HSP90AA1,HSP90AB1,JAK1,MYD88,STAT3	
EGF Signaling	2.76E00	7.27E-02	0.000	ITPR2,JAK1,STAT1,STAT3	
Glycolysis I	2.75E00	1.15E-01	NaN	ENO1,PGK1,PKM	
Unfolded protein response	2.73E00	7.14E-02	2.000	CALR,HSPA5,HSPA8,PDIA6	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.7E00	3.72E-02	0.378	CYBA,IFNGR1,JAK1,NFKBIA,PPP1R14B,S100A8,STAT1	
UVA-Induced MAPK Signaling	2.64E00	5.1E-02	NaN	ATM,PARP14,PARP9,PDIA3,STAT1	
Nitric Oxide Signaling in the Cardiovascular System	2.62E00	5.05E-02	0.447	ATP2A2,CALM1 (includes others),HSP90AA1,HSP90AB1,ITPR2	
Phagosome Maturation	2.52E00	3.97E-02	NaN	CALR,CTSS,HLA-DRA,HLA-DRB5,HLA-E,TAP1	
PKCθ Signaling in T Lymphocytes	2.47E00	3.87E-02	-2.449	CD4,HLA-DMB,HLA-DOA,HLA-DRA,HLA-DRB5,NFKBIA	
IL-9 Signaling	2.45E00	9.09E-02	NaN	JAK1,STAT1,STAT3	
Gαq Signaling	2.43E00	3.8E-02	-0.447	CALM1 (includes others),GNAS,ITPR2,NFKBIA,PLD4,RGS2	
Role of JAK2 in Hormone-like Cytokine Signaling	2.41E00	8.82E-02	NaN	JAK1,STAT1,STAT3	
IL-10 Signaling	2.4E00	5.8E-02	NaN	CCR1,JAK1,NFKBIA,STAT3	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.36E00	3.68E-02	0.447	ATP2A2,CALM1 (includes others),GNAS,ITPR2,PDIA3,PPP1R14B	
fMLP Signaling in Neutrophils	2.33E00	4.31E-02	0.447	ACTR3,CALM1 (includes others),GNAS,ITPR2,NFKBIA	
EIF2 Signaling	2.28E00	3.12E-02	NaN	ACTB,EIF1,EIF2AK2,EIF3F,EIF3L,HSPA5,PABPC1	
RhoA Signaling	2.22E00	4.07E-02	1.342	ACTB,ACTR3,ARHGAP9,MSN,SEPTIN9	
PI3K/AKT Signaling	2.21E00	3.43E-02	0.000	HSP90AA1,HSP90AB1,IL3RA,JAK1,MCL1,NFKBIA	
Cardiac Hypertrophy Signaling (Enhanced)	2.2E00	2.26E-02	-0.333	ATP2A2,CALM1 (includes others),GNAS,HDAC9,IL3RA,ITPR2,LTB,MAPKAPK2,PDIA3,STAT3,TNFSF10	
Role of IL-17A in Psoriasis	2.2E00	1.54E-01	NaN	S100A8,S100A9	
IL-3 Signaling	2.19E00	5.06E-02	0.000	IL3RA,JAK1,STAT1,STAT3	
BEX2 Signaling Pathway	2.19E00	5.06E-02	1.000	LGALS1,NFKBIA,STAT3,TCF4	
Oncostatin M Signaling	2.12E00	6.98E-02	NaN	JAK1,STAT1,STAT3	
Cellular Effects of Sildenafil (Viagra)	2.11E00	3.82E-02	NaN	ACTB,CALM1 (includes others),GNAS,ITPR2,PDIA3	
PDGF Signaling	2.06E00	4.65E-02	1.000	EIF2AK2,JAK1,STAT1,STAT3	
