© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.99E01	3.33E-01	NaN	B2M,CALR,CD74,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1	
Allograft Rejection Signaling	1.65E01	1.63E-01	NaN	B2M,FCER1G,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHG1	
OX40 Signaling Pathway	1.32E01	1.33E-01	NaN	B2M,FCER1G,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1	
Autoimmune Thyroid Disease Signaling	1.3E01	2.04E-01	NaN	FCER1G,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHG1	
Cdc42 Signaling	1.24E01	8.38E-02	NaN	ARPC1B,B2M,FCER1G,FOS,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1	
T Cell Exhaustion Signaling Pathway	1.21E01	8E-02	NaN	FCER1G,FOS,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,STAT1	
Graft-versus-Host Disease Signaling	1.14E01	1.88E-01	NaN	FCER1G,GZMB,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
PD-1, PD-L1 cancer immunotherapy pathway	1.09E01	1.04E-01	2.828	B2M,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1	
B Cell Development	1.08E01	2.22E-01	NaN	HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHM	
Th1 Pathway	1.02E01	9.09E-02	-2.121	HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,STAT1	
