© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
XBP1	0.548	transcription regulator	Activated	3.078	 	4.99E-16	CALR,HLA-DRA,HSP90B1,HSPA5,LMAN1,MAN1A1,PDIA4,PDIA6,RPN2,SEC11C,SPCS3,SSR3,TRAM1,XBP1	14 (2)
CD40	 	transmembrane receptor	Activated	2.178	 	9.75E-15	CALR,CCND2,CD69,HLA-DQB1,HSP90B1,HSPA5,IGHG1,IGHG2,IGHG3,IGHG4,JCHAIN,NFKBIA,XBP1	31 (11)
lipopolysaccharide	 	chemical drug	Activated	3.322	 	2.03E-12	CALR,CCND2,CD69,CD74,ELL2,HDLBP,HLA-DQB1,HSP90B1,HSPA5,HSPA8,IGHG1,IGHM,IGKC,ITM2C,JCHAIN,KLF6,LMAN1,MKI67,NFKBIA,PDIA4,PDIA6,TMSB10/TMSB4X,TXNIP,UBE2J1,XBP1	31 (11)
tunicamycin	 	chemical - endogenous non-mammalian	Activated	2.601	 	5.30E-12	CALR,CANX,HDLBP,HSP90B1,HSPA5,LMAN1,NFKBIA,PDIA6,SSR3,TXNIP,XBP1	19 (6)
SAFB	 	other	Activated	2.646	 	7.40E-11	CD74,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-E,LTB	 
IL5	 	cytokine	Activated	2.603	bias	1.47E-10	CCND2,CD69,ELL2,HSP90B1,HSPA5,IGHG1,IGHM,JCHAIN,LTB,PDIA6,XBP1	13 (3)
IL4	 	cytokine	 	1.112	 	2.40E-10	ACTG1,AHNAK,CCND2,CD69,CD74,CD79B,IGHG1,IGHG2,IGHG3,IGHG4,JCHAIN,KLF6,LTB,MKI67,MS4A1,NFKBIA,XBP1	26 (11)
UDP-D-glucose	 	chemical - endogenous mammalian	Inhibited	-2.000	bias	5.55E-10	CALR,HSP90B1,HSPA5,PDIA4	 
POU2F2	 	transcription regulator	 	 	 	3.15E-09	CD69,CD79B,ELL2,HLA-DRA,IGKC,MS4A1,XBP1	 
IL27	 	cytokine	 	-1.044	 	3.28E-09	CCND2,CD69,CD74,HLA-C,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-E	18 (4)
dexamethasone	 	chemical drug	Activated	2.073	 	6.63E-09	ACTG1,CALR,CANX,CCND2,CD69,CD74,EEF1A1,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HSP90B1,HSPA5,HSPA8,IGHM,IGKC,KLF6,LTB,MS4A1,NFKBIA,TXNIP,XBP1	36 (16)
ELL2	0.343	transcription regulator	Activated	2.449	bias	7.39E-09	HDLBP,IGHM,ITM2C,LMAN1,UBE2J1,XBP1	 
HSP90B1	1.186	other	 	0.000	bias	8.21E-09	CALR,CANX,HSP90B1,HSPA5,SSR3,XBP1	9 (4)
TCF3	 	transcription regulator	 	1.414	 	1.12E-08	CCND2,CD79B,HSP90B1,IGHM,MKI67,MZB1,PDIA4,PDIA6,SEC11C,XBP1	 
ATF6	 	transcription regulator	 	1.947	 	1.35E-08	CALR,HSP90B1,HSPA5,LMAN1,PDIA4,XBP1	 
beta-estradiol	 	chemical - endogenous mammalian	 	1.564	 	1.99E-08	CALR,CCND2,CD69,CD74,HDLBP,HLA-E,HSP90B1,HSPA5,HSPA8,KLF6,LTB,MKI67,NFKBIA,PDIA4,RACK1,RPN2,SSR3,TP53INP1,TRAM1,TXNIP,XBP1	33 (11)
Immunoglobulin	 	complex	 	-0.074	 	2.31E-08	CALR,CCND2,CD69,CD74,HLA-DQB1,JCHAIN,MKI67,MZB1,NFKBIA,PDIA6,RRBP1,XBP1	26 (15)
BCR (complex)	 	complex	Activated	2.578	 	4.94E-08	CALR,CCND2,CD69,HSP90B1,HSPA5,IGHG1,XBP1	22 (10)
ERN1	 	kinase	Activated	2.376	 	6.35E-08	HDLBP,HSP90B1,HSPA5,PDIA6,SSR3,UBE2J1,XBP1	16 (3)
mibolerone	 	chemical drug	Activated	2.630	 	6.66E-08	AHNAK,CALR,CD74,HDLBP,HLA-E,HSP90B1,HSPA5	 
NFYA	 	transcription regulator	 	 	 	8.72E-08	CALR,HLA-DQB1,HLA-DRA,HSPA5,LMAN1,TXNIP	 
aldesleukin	 	biologic drug	 	0.447	bias	1.38E-07	CALR,CANX,HLA-C,HLA-DRA,IGKC	 
farnesol	 	chemical reagent	 	1.953	 	1.74E-07	HSP90B1,HSPA5,PDIA4,XBP1	 
bortezomib	 	chemical drug	 	0.449	 	2.02E-07	CALR,CCND2,HSP90B1,HSPA5,IGHM,IGKC,MS4A1,XBP1	15 (5)
ESR1	 	ligand-dependent nuclear receptor	 	1.387	 	2.46E-07	AHNAK,CD69,CD74,H4C3,HLA-C,HLA-E,HSP90B1,LTB,MAN1A1,MKI67,NFKBIA,RRBP1,SSR3,TRAM1,TXNIP,XBP1	29 (6)
potassium chloride	 	chemical drug	 	 	 	2.84E-07	CALR,HSP90B1,HSPA5,PDIA4,TXNIP,XBP1	9 (3)
BIRC5	 	other	 	 	 	3.03E-07	CD74,HLA-DQB1,IGHG1,IGHM,JCHAIN	 
ATP2B2	 	transporter	 	 	 	3.08E-07	CALR,HSPA5,XBP1	4 (3)
IL21	 	cytokine	Activated	2.587	 	3.15E-07	CCND2,CD69,IGHG1,IGHG2,IGHG3,MKI67,XBP1	20 (7)
POU2AF1	 	transcription regulator	 	-0.618	bias	3.62E-07	CD69,CD79B,HLA-DRA,IGHG1,IGHM	 
vorinostat	 	chemical drug	 	-0.216	 	4.08E-07	CCND2,CD69,CD74,CD79B,HLA-DQB1,HSPA5,MKI67,NFKBIA	23 (9)
PDX1	 	transcription regulator	 	0.728	 	4.91E-07	ACTG1,HSPA5,KLF6,MAN1A1,PDIA4,PDIA6,TXNIP	 
TAF4B	 	transcription regulator	 	 	 	5.32E-07	CCND2,IGHM,JCHAIN,NFKBIA	 
YY1	 	transcription regulator	 	 	 	5.81E-07	CALR,H4C3,HLA-DRA,HSPA5,JCHAIN,LMAN1,MKI67,TP53INP1	 
thapsigargin	 	chemical toxicant	 	1.971	 	6.49E-07	CALR,HSP90B1,HSPA5,LMAN1,NFKBIA,UBE2J1,XBP1	21 (9)
chrysotile asbestos	 	chemical toxicant	 	 	 	8.41E-07	HSP90B1,HSPA5,JCHAIN,PDIA4	 
poly rI:rC-RNA	 	biologic drug	 	0.395	 	9.14E-07	CCND2,CD69,CD74,HLA-C,HLA-E,HSPA5,KLF6,LTB,MKI67,NFKBIA	30 (16)
filgrastim	 	biologic drug	 	1.539	 	1.57E-06	CD69,CD74,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,IGKC,KLF6,XBP1	 
imatinib	 	chemical drug	 	-0.293	 	1.70E-06	CALR,CCND2,HSP90B1,HSPA5,HSPA8,IGKC,PDIA4,PDIA6	20 (6)
arsenic trioxide	 	chemical drug	Activated	2.200	 	1.78E-06	CALR,HSP90B1,HSPA5,HSPA8,NFKBIA,PDIA4,PDIA6,XBP1	25 (10)
IFNG	 	cytokine	 	-1.448	 	2.07E-06	CCND2,CD74,EEF1A1,HLA-C,HLA-DQB1,HLA-DRA,HLA-E,HSPA5,HSPA8,IGHG1,KLF6,LTB,NFKBIA,RACK1,TXNIP	25 (7)
IL3	 	cytokine	 	1.962	 	2.27E-06	CALR,CCND2,CD69,EEF1A1,HSP90B1,HSPA5,JCHAIN,XBP1	12 (4)
PIK3R1	 	kinase	 	1.949	 	2.61E-06	CCND2,HSP90B1,HSPA5,MKI67,TXNIP	 
INPP5D	 	phosphatase	 	-1.964	 	2.86E-06	CCND2,CD69,IGHG1,IGHM	12 (6)
CIITA	 	transcription regulator	 	-1.982	 	3.17E-06	CD74,HLA-DPA1,HLA-DQB1,HLA-DRA	 
CD38	 	enzyme	Activated	2.391	bias	3.29E-06	CCND2,ELL2,IGHG1,JCHAIN,PDIA6,XBP1	 
azetidyl-2-carboxylic acid	 	chemical reagent	 	 	 	3.35E-06	HSP90B1,HSPA5,HSPA8	 
IL2	 	cytokine	Activated	2.181	 	3.90E-06	CCND2,CD69,CD74,HSP90B1,HSPA5,KLF6,LTB,MKI67,TP53INP1,XBP1	27 (15)
5-azacytidine	 	chemical drug	Activated	2.433	 	4.50E-06	CALR,CANX,HSP90B1,HSPA5,HSPA8,KLF6	 
NFKB1	 	transcription regulator	 	1.702	 	6.08E-06	CCND2,IGHG1,IGHM,IGKC,LTB,NFKBIA,RACK1	12 (5)
SFTPA2	 	other	 	 	 	6.32E-06	HSPA5,XBP1	 
PACS2	 	other	 	 	 	6.32E-06	HLA-C,HSPA5	 
PDIA6	0.345	enzyme	 	 	 	6.32E-06	HSP90B1,HSPA5	 
CGA	 	other	 	-1.342	 	6.65E-06	HSP90B1,HSPA5,PDIA4,PDIA6,TP53INP1	 
TCF4	 	transcription regulator	 	1.633	 	7.46E-06	HSP90B1,MKI67,MZB1,PDIA4,PDIA6,SEC11C,TXNIP,XBP1	 
HSPA5	0.721	enzyme	 	-1.165	 	8.49E-06	HSP90B1,HSPA5,HSPA8,XBP1	21 (7)
sirolimus	 	chemical drug	 	-1.768	 	9.66E-06	CCND2,EEF1A1,HSP90B1,HSPA5,MKI67,RACK1,RPN2,TP53INP1,XBP1	20 (7)
NCAM1	 	other	 	 	 	1.03E-05	CALR,MALAT1,NFKBIA	 
L-methionine	 	chemical - endogenous mammalian	 	-0.283	 	1.07E-05	EEF1A1,EEF1D,HSPA5,NFKBIA	 
lactacystin	 	chemical - protease inhibitor	 	1.664	 	1.11E-05	CCND2,CD69,HLA-C,HSP90B1,HSPA5,NFKBIA	26 (9)
STAT6	 	transcription regulator	 	0.728	 	1.14E-05	AHNAK,CCND2,CD69,CD79B,IGHG1,LTB,NFKBIA,XBP1	20 (7)
CREB3	 	transcription regulator	 	 	 	1.23E-05	CANX,HSPA5,XBP1	 
PARP9	 	enzyme	 	 	 	1.23E-05	CD74,HLA-DQB1,HLA-E	 
EBI3	 	cytokine	 	-0.651	 	1.24E-05	CCND2,HLA-C,HLA-DPA1,HLA-DRA	 
trichostatin A	 	chemical drug	 	-0.741	 	1.29E-05	CCND2,CD79B,HLA-DQB1,HLA-DRA,HSPA5,JCHAIN,MS4A1,NFKBIA,TMSB10/TMSB4X,TXNIP,XBP1	14 (4)
salmonella minnesota R595 lipopolysaccharides	 	chemical - endogenous non-mammalian	 	0.087	bias	1.39E-05	HLA-DPA1,HLA-DPB1,HLA-DRA,MKI67,NFKBIA	 
