© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Glucocorticoid Receptor Signaling	6.48E00	3.87E-02	NaN	ACTB,ANXA1,BCL2L1,DUSP1,EP300,FOS,HSPA5,HSPA8,JUN,NCOR1,NFKBIA,PBRM1,STAT1	
Toll-like Receptor Signaling	6.19E00	9.21E-02	1.342	FOS,IRAK1,JUN,NFKBIA,SIGIRR,TNFAIP3,UBA52	
Leukocyte Extravasation Signaling	6.16E00	5.08E-02	-2.333	ACTB,ARHGAP35,CXCR4,EZR,ICAM3,ITGA4,ITGB2,PRKCB,RASSF5,SPN	
RAR Activation	5.27E00	4.64E-02	NaN	ACTB,DUSP1,EP300,FOS,JUN,NCOR1,PBRM1,PNRC1,PRKCB	
Caveolar-mediated Endocytosis Signaling	5.09E00	8.22E-02	NaN	ACTB,CD48,HLA-C,HLA-E,ITGA4,ITGB2	
iNOS Signaling	4.96E00	1.11E-01	2.236	FOS,IRAK1,JUN,NFKBIA,STAT1	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.59E00	6.74E-02	-1.000	ACTB,CD69,HLA-C,HLA-E,ICAM3,PRF1	
TNFR2 Signaling	4.38E00	1.33E-01	NaN	FOS,JUN,NFKBIA,TNFAIP3	
Virus Entry via Endocytic Pathways	4.14E00	5.61E-02	NaN	ACTB,HLA-C,HLA-E,ITGA4,ITGB2,PRKCB	
Type I Diabetes Mellitus Signaling	4.05E00	5.41E-02	NaN	HLA-C,HLA-E,IRAK1,NFKBIA,PRF1,STAT1	
Role of PKR in Interferon Induction and Antiviral Response	3.92E00	5.13E-02	0.816	FOS,HSPA5,HSPA8,JUN,NFKBIA,STAT1	
Huntington's Disease Signaling	3.77E00	3.38E-02	0.000	BCL2L1,EP300,HSPA5,HSPA8,JUN,NCOR1,PRKCB,UBA52	
NF-κB Signaling	3.75E00	3.91E-02	-1.890	EP300,IGF2R,IRAK1,NFKBIA,PRKCB,SIGIRR,TNFAIP3	
Renal Cell Carcinoma Signaling	3.75E00	6.25E-02	NaN	EP300,ETS1,FOS,JUN,UBA52	
Prolactin Signaling	3.72E00	6.17E-02	1.000	EP300,FOS,JUN,PRKCB,STAT1	
B Cell Receptor Signaling	3.67E00	3.78E-02	0.816	BCL2L1,ETS1,JUN,NFKBIA,PRKCB,PTPRC,RASSF5	
Granzyme A Signaling	3.61E00	1.58E-01	NaN	EP300,PRF1,SET	
ERK/MAPK Signaling	3.55E00	3.63E-02	-1.134	DUSP1,DUSP2,ETS1,FOS,ITGA4,PRKCB,STAT1	
OX40 Signaling Pathway	3.51E00	5.56E-02	NaN	BCL2L1,HLA-C,HLA-E,JUN,NFKBIA	
TNFR1 Signaling	3.5E00	8E-02	NaN	FOS,JUN,NFKBIA,TNFAIP3	
CD27 Signaling in Lymphocytes	3.4E00	7.55E-02	NaN	BCL2L1,FOS,JUN,NFKBIA	
