© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
EPO	 	cytokine	 	 	2.48E-07	ACTB,BCL2,EEF1A1,LCP1,NFKBIA,TPT1	 
progesterone	 	chemical - endogenous mammalian	 	0.883	1.25E-06	ACTB,BCL2,LGALS1,MKI67,NFKBIA,RACK1,VIM	12 (11)
caffeic acid phenethyl ester	 	chemical drug	 	 	2.82E-06	BCL2,MKI67,NFKBIA,VIM	9 (8)
KITLG	 	growth factor	 	 	3.52E-06	ACTB,BCL2,EEF1A1,NFKBIA,TPT1	 
CDKN1A	 	kinase	 	 	4.49E-06	ACTB,BCL2,MKI67,NFKBIA,VIM	10 (6)
MYCN	 	transcription regulator	Inhibited	-2.219	5.95E-06	ACTB,EEF1A1,EEF1D,LGALS1,VIM	 
APAF1	 	other	 	 	8.60E-06	BCL2,VIM	 
sirolimus	 	chemical drug	 	0.000	9.47E-06	ACTB,BCL2,EEF1A1,MKI67,RACK1,VIM	 
BDNF	 	growth factor	 	0.254	1.07E-05	BCL2,EEF1D,LGALS1,MALAT1,VIM	 
ST1926	 	chemical drug	 	0.152	1.52E-05	ACTB,LGALS1,TMSB10/TMSB4X,TPT1	 
L-methionine	 	chemical - endogenous mammalian	 	 	1.78E-05	EEF1A1,EEF1D,NFKBIA	 
SERPINF1	 	other	 	 	2.10E-05	BCL2,NFKBIA,VIM	4 (4)
Pln	 	other	 	 	2.10E-05	ACTB,RACK1,VIM	 
MYB	 	transcription regulator	 	 	2.15E-05	BCL2,GIMAP7,IQGAP1,VIM	 
BRCA1	 	transcription regulator	 	 	2.30E-05	ACTB,BCL2,SFPQ,VIM	 
emodin	 	chemical drug	 	 	2.33E-05	BCL2,MKI67,VIM	7 (4)
vitamin D	 	chemical drug	 	 	2.58E-05	BCL2,MKI67,NFKBIA	7 (5)
PLN	 	transporter	 	 	2.98E-05	ACTB,RACK1,VIM	 
bazedoxifene	 	chemical drug	 	 	3.09E-05	BCL2,MKI67	 
miR-182 inhibitor	 	chemical reagent	 	 	3.09E-05	BCL2,NFKBIA	 
MUC1	 	other	 	 	3.12E-05	MKI67,NFKBIA,VIM	9 (5)
oxaliplatin	 	chemical drug	 	 	3.12E-05	BCL2,TMSB10/TMSB4X,VIM	 
TP53	 	transcription regulator	 	-0.947	3.29E-05	ACTB,BCL2,CCNL1,EEF1A1,MKI67,NFKBIA,SFPQ,TMSB10/TMSB4X,VIM	10 (4)
POLR2A	 	enzyme	 	 	3.42E-05	ACTB,NFKBIA,VIM	 
TBP	 	transcription regulator	 	 	3.42E-05	ACTB,BCL2,NFKBIA	 
EDN1	 	cytokine	 	 	3.47E-05	ACTB,BCL2,TPT1,VIM	5 (3)
3,3'-diindolylmethane	 	chemical drug	 	 	3.57E-05	BCL2,NFKBIA,VIM	9 (9)
BMS-754807	 	chemical drug	 	 	3.86E-05	BCL2,MKI67	 
lipopolysaccharide	 	chemical drug	 	-0.518	3.99E-05	BCL2,CCNL1,GIMAP7,LGALS1,MKI67,NFKBIA,TMSB10/TMSB4X,TPT1,VIM	13 (8)
CD44	 	other	 	 	4.04E-05	ACTB,BCL2,LGALS1,VIM	7 (4)
simvastatin	 	chemical drug	 	-0.655	4.51E-05	BCL2,MKI67,NFKBIA,VIM	11 (12)
G2535	 	chemical reagent	 	 	4.72E-05	NFKBIA,VIM	 
vismodegib	 	chemical drug	 	 	4.72E-05	BCL2,MKI67	 
MCL1	 	transporter	 	 	4.72E-05	BCL2,TPT1	 
kukoamine A	 	chemical - endogenous non-mammalian	 	 	4.72E-05	BCL2,VIM	 
GNA12	 	enzyme	 	 	5.39E-05	BCL2,IQGAP1,VIM	 
fenretinide	 	chemical drug	 	 	5.60E-05	BCL2,MKI67,NFKBIA	 
WWC1	 	transcription regulator	 	 	5.66E-05	MKI67,VIM	 
PAK4	 	kinase	 	 	5.66E-05	BCL2,VIM	 
dehydroisoandrosterone	 	chemical - endogenous mammalian	 	 	6.03E-05	BCL2,NFKBIA,RACK1	 
epigallocatechin-gallate	 	chemical drug	 	 	6.08E-05	BCL2,MKI67,NFKBIA,VIM	11 (10)
tretinoin	 	chemical - endogenous mammalian	 	-0.886	6.97E-05	BCL2,EEF1A1,EEF1D,LGALS1,SLFN5,TMSB10/TMSB4X,TPT1,VIM	 
homocysteine	 	chemical - endogenous mammalian	 	 	7.22E-05	BCL2,EEF1A1,EEF1D	 
CBS/CBSL	 	enzyme	 	 	7.79E-05	EEF1A1,EEF1D	 
mir-322	 	microRNA	 	 	7.79E-05	BCL2,VIM	 
decitabine	 	chemical drug	 	0.882	7.93E-05	EEF1A1,LGALS1,MKI67,NFKBIA,TMSB10/TMSB4X,VIM	10 (3)
CSF2	 	cytokine	 	1.974	8.00E-05	BCL2,LCP1,MKI67,NFKBIA,TPT1	6 (6)
MYC	 	transcription regulator	 	0.000	8.69E-05	ACTB,BCL2,LGALS1,MKI67,NFKBIA,TMSB10/TMSB4X,VIM	10 (4)
TIFA	 	other	 	 	8.98E-05	BCL2,NFKBIA	 
dexamethasone	 	chemical drug	 	-0.507	9.42E-05	ACTB,BCL2,EEF1A1,IQGAP1,LGALS1,NFKBIA,SPOCK2,TPT1,VIM	 
flutamide	 	chemical drug	 	 	1.03E-04	BCL2,MKI67,VIM	9 (7)
bee venom	 	chemical - endogenous non-mammalian	 	 	1.06E-04	CCNL1,MKI67,NFKBIA	 
vorinostat	 	chemical drug	 	-1.131	1.14E-04	BCL2,MKI67,NFKBIA,VIM	10 (7)
DDX25	 	enzyme	 	 	1.16E-04	BCL2,NFKBIA	 
NCAM1	 	other	 	 	1.16E-04	MALAT1,NFKBIA	 
CCAT2	 	other	 	 	1.16E-04	BCL2,VIM	 
NFKB1	 	transcription regulator	 	 	1.21E-04	BCL2,LGALS1,NFKBIA,RACK1	 
puromycin aminonucleoside	 	chemical reagent	 	 	1.27E-04	ACTB,TMSB10/TMSB4X,VIM	 
glutamine	 	chemical - endogenous mammalian	 	 	1.31E-04	ACTB,NFKBIA,VIM	 
arachidonic acid	 	chemical - endogenous mammalian	 	 	1.31E-04	BCL2,NFKBIA,VIM	9 (8)
PADI2	 	enzyme	 	 	1.31E-04	MKI67,VIM	 
AKR1B1	 	enzyme	 	 	1.31E-04	BCL2,MKI67	 
trichostatin A	 	chemical drug	 	0.954	1.41E-04	ACTB,BCL2,LGALS1,NFKBIA,TMSB10/TMSB4X,VIM	10 (3)
VIP	 	other	 	 	1.42E-04	LGALS1,NFKBIA,VIM	9 (7)
pyrrolidine dithiocarbamate	 	chemical reagent	 	 	1.46E-04	BCL2,NFKBIA,RACK1	4 (2)
CDKN2A	 	transcription regulator	 	-0.326	1.58E-04	BCL2,EEF1A1,MKI67,VIM	 
RND3	 	enzyme	 	 	1.62E-04	BCL2,VIM	 
HULC	 	other	 	 	1.62E-04	BCL2,VIM	 
SPZ1	 	transcription regulator	 	 	1.79E-04	MKI67,VIM	 
CYP2J2	 	enzyme	 	 	1.79E-04	BCL2,NFKBIA	 
paclitaxel	 	chemical drug	 	-1.177	1.82E-04	BCL2,LCP1,MKI67,NFKBIA	 
dihydrotestosterone	 	chemical - endogenous mammalian	 	 	1.96E-04	ACTB,BCL2,LGALS1,NFKBIA,VIM	12 (13)
prostaglandin A1	 	chemical - endogenous non-mammalian	 	 	1.97E-04	BCL2,NFKBIA	 
L-buthionine (SR)-sulfoximine	 	chemical drug	 	 	1.97E-04	BCL2,NFKBIA	 
salmonella minnesota R595 lipopolysaccharides	 	chemical - endogenous non-mammalian	 	 	1.99E-04	MKI67,NFKBIA,SLFN5	 
NfkB-RelA	 	complex	 	 	2.15E-04	BCL2,NFKBIA	 
ESR1	 	ligand-dependent nuclear receptor	 	1.300	2.20E-04	BCL2,IQGAP1,LGALS1,MKI67,NFKBIA,SFPQ,VIM	9 (9)
NTRK1	 	kinase	 	 	2.35E-04	BCL2,LGALS1	 
WNT5A	 	cytokine	 	 	2.46E-04	BCL2,LCP1,VIM	5 (4)
mir-124	 	microRNA	 	 	2.55E-04	BCL2,IQGAP1	 
SSTR2	 	G-protein coupled receptor	 	 	2.55E-04	BCL2,VIM	 
IL4	 	cytokine	 	1.083	2.61E-04	ACTB,BCL2,LGALS1,MKI67,NFKBIA,VIM	11 (12)
FOXO3	 	transcription regulator	 	-0.296	2.66E-04	BCL2,MKI67,NFKBIA,VIM	11 (9)
CASR	 	G-protein coupled receptor	 	 	2.86E-04	BCL2,IQGAP1,LGALS1	 
p70 S6k	 	group	 	 	2.98E-04	EEF1A1,VIM	 
progestin	 	chemical drug	 	 	2.98E-04	BCL2,NFKBIA	 
IND S7	 	chemical - kinase inhibitor	 	 	3.21E-04	ACTB,VIM	 
HRAS	 	enzyme	 	 	3.31E-04	ACTB,BCL2,NFKBIA,TMSB10/TMSB4X,VIM	10 (8)
sulforafan	 	chemical drug	 	 	3.32E-04	BCL2,NFKBIA,VIM	10 (7)
curcumin	 	chemical drug	 	 	3.38E-04	BCL2,NFKBIA,TPT1,VIM	6 (6)
POLG	 	enzyme	 	 	3.44E-04	RACK1,TPT1	 
MEL S3	 	chemical - kinase inhibitor	 	 	3.44E-04	ACTB,VIM	 
IRAK3	 	kinase	 	 	3.44E-04	NFKBIA,VIM	 
letrozole	 	chemical drug	 	 	3.44E-04	BCL2,MKI67	 
