© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
POLR2A	 	enzyme	 	 	7.48E-06	ACTB,HNRNPH1,NFKBIA	 
TBP	 	transcription regulator	 	 	7.48E-06	ACTB,CD3E,NFKBIA	 
SPI1	 	transcription regulator	 	 	1.37E-05	ACTB,CD3E,HSPA8,RACK1	 
CD3	 	complex	 	-0.152	2.12E-05	CD3E,ETS1,HSPA8,IL32,NFKBIA	 
TGFB1	 	growth factor	 	0.836	3.11E-05	CD300A,ETS1,HNRNPH1,IL32,MALAT1,NFKBIA,RACK1	 
Z-LLL-CHO	 	chemical - protease inhibitor	 	-0.756	3.46E-05	ACTB,ETS1,HSPA8,NFKBIA	 
NCAM1	 	other	 	 	4.33E-05	MALAT1,NFKBIA	 
PRKCA	 	kinase	 	 	4.63E-05	ARL4C,ETS1,NFKBIA	 
dexamethasone	 	chemical drug	 	0.024	9.84E-05	ACTB,ARL4C,CD3E,HNRNPH1,HSPA8,IL32,NFKBIA	 
IL15	 	cytokine	 	 	9.90E-05	ETS1,HSPA8,IL32,NFKBIA	 
fluvoxamine	 	chemical drug	 	 	1.47E-04	ACTB,RACK1	 
PRKCZ	 	kinase	 	 	1.57E-04	ETS1,NFKBIA	 
NOS2	 	enzyme	 	 	1.68E-04	CD3E,IL32,NFKBIA	 
GTF2B	 	transcription regulator	 	 	1.99E-04	ACTB,NFKBIA	 
CP-55940	 	chemical reagent	 	 	2.22E-04	ACTB,NFKBIA	 
ETS1	-0.408	transcription regulator	 	 	2.66E-04	ARL4C,ETS1,HSPA8	 
ouabain	 	chemical drug	 	 	2.85E-04	ACTB,HSPA8	 
hexamethylene bisacetamide	 	chemical reagent	 	 	3.26E-04	HSPA8,RACK1	 
TNF	 	cytokine	 	0.325	3.75E-04	ACTB,CD3E,ETS1,HSPA8,IL32,NFKBIA	 
progesterone	 	chemical - endogenous mammalian	 	 	3.87E-04	ACTB,HSPA8,NFKBIA,RACK1	 
tetradecanoylphorbol acetate	 	chemical drug	 	0.832	4.15E-04	ACTB,ETS1,IL32,NFKBIA,RACK1	 
HRAS	 	enzyme	 	 	4.67E-04	ACTB,ETS1,HSPA8,NFKBIA	 
CDK9	 	kinase	 	 	4.67E-04	HNRNPH1,NFKBIA	 
CDKN1A	 	kinase	 	 	4.67E-04	ACTB,IL32,NFKBIA	 
F2	 	peptidase	 	 	4.67E-04	ETS1,IL32,NFKBIA	3 (3)
RNA polymerase II	 	complex	 	 	4.93E-04	ACTB,CD3E,NFKBIA	 
Pln	 	other	 	 	5.02E-04	ACTB,RACK1	 
FLI1	 	transcription regulator	 	 	5.74E-04	HSPA8,RACK1	 
N-acetylmuramyl-L-alanyl-D-isoglutamine	 	chemical - endogenous non-mammalian	 	 	5.74E-04	ETS1,NFKBIA	 
Akt	 	group	 	 	5.88E-04	ETS1,IL32,NFKBIA	3 (2)
FD & C Yellow no. 6	 	chemical toxicant	 	 	5.89E-04	CD3E	 
MACROD1	 	enzyme	 	 	5.89E-04	NFKBIA	 
EIF2B2	 	other	 	 	5.89E-04	ACTB	 
EPSTI1	 	other	 	 	5.89E-04	NFKBIA	 
ETS1-AS1	 	other	 	 	5.89E-04	ETS1	 
PLN	 	transporter	 	 	6.32E-04	ACTB,RACK1	 
Go 6976	 	chemical - kinase inhibitor	 	 	6.52E-04	ETS1,NFKBIA	 
CD3E	0.407	transmembrane receptor	 	 	6.72E-04	CD3E,NFKBIA	 
PRNP	 	other	 	 	9.37E-04	HSPA8,NFKBIA	 
SRF	 	transcription regulator	 	 	9.88E-04	ACTB,ETS1,MALAT1	 
IFNG	 	cytokine	 	0.564	9.91E-04	ACTB,HSPA8,IL32,NFKBIA,RACK1	 
dehydroisoandrosterone	 	chemical - endogenous mammalian	 	 	1.01E-03	NFKBIA,RACK1	 
CD28	 	transmembrane receptor	 	 	1.05E-03	CD3E,HSPA8,NFKBIA	 
curcumin	 	chemical drug	 	 	1.10E-03	ETS1,HSPA8,NFKBIA	 
LYN	 	kinase	 	 	1.14E-03	ETS1,NFKBIA	 
Rps15a-ps4	 	other	 	 	1.18E-03	NFKBIA	 
FAM168A	 	other	 	 	1.18E-03	NFKBIA	 
ADRM1	 	other	 	 	1.18E-03	NFKBIA	 
SETX	 	enzyme	 	 	1.18E-03	ACTB	 
desmopressin	 	biologic drug	 	 	1.33E-03	ACTB,HSPA8	 
EGFR	 	kinase	 	 	1.64E-03	ACTB,HNRNPH1,NFKBIA	 
glutamine	 	chemical - endogenous mammalian	 	 	1.69E-03	ACTB,NFKBIA	 
KLHL21	 	other	 	 	1.77E-03	NFKBIA	 
SLA	 	other	 	 	1.77E-03	CD3E	 
YARS1	 	enzyme	 	 	1.77E-03	NFKBIA	 
SIGLEC10	 	other	 	 	1.77E-03	ETS1	 
ERC1	 	other	 	 	1.77E-03	NFKBIA	 
(S)-duloxetine	 	chemical drug	 	 	1.77E-03	ACTB	 
salsalate	 	chemical drug	 	 	1.77E-03	NFKBIA	 
uranyl nitrate	 	chemical toxicant	 	 	1.82E-03	HSPA8,RACK1	 
pyrrolidine dithiocarbamate	 	chemical reagent	 	 	1.82E-03	NFKBIA,RACK1	 
SOX12	 	transcription regulator	 	 	2.35E-03	CD3E	 
MAF1	 	other	 	 	2.35E-03	ACTB	 
XRN2	 	enzyme	 	 	2.35E-03	ACTB	 
SLA2	 	other	 	 	2.35E-03	CD3E	 
miR-330-5p (and other miRNAs w/seed CUCUGGG)	 	mature microRNA	 	 	2.35E-03	ETS1	 
EGFL7	 	other	 	 	2.35E-03	NFKBIA	 
apicularen A	 	chemical reagent	 	 	2.35E-03	NFKBIA	 
1,1-diethyl-2-hydroxy-2-nitrosohydrazine	 	chemical toxicant	 	 	2.35E-03	NFKBIA	 
sertindole	 	chemical drug	 	 	2.35E-03	ACTB	 
Insulin	 	group	 	 	2.57E-03	ACTB,HSPA8,NFKBIA	 
IKBKG	 	kinase	 	 	2.89E-03	CD3E,NFKBIA	 
MARCHF3	 	other	 	 	2.94E-03	NFKBIA	 
FGR	 	kinase	 	 	2.94E-03	IL32	 
RPS3	 	enzyme	 	 	2.94E-03	NFKBIA	 
PLAA	 	other	 	 	2.94E-03	IL32	 
TERT	 	enzyme	 	 	3.02E-03	ETS1,NFKBIA	 
SP110	 	transcription regulator	 	 	3.02E-03	CD3E,ETS1	 
LY294002	 	chemical - kinase inhibitor	 	 	3.25E-03	ETS1,IL32,NFKBIA	3 (3)
GFI1	 	transcription regulator	 	 	3.36E-03	ETS1,NFKBIA	 
pervanadate	 	chemical reagent	 	 	3.53E-03	NFKBIA	 
WIF1	 	other	 	 	3.53E-03	MALAT1	 
TRAT1	 	kinase	 	 	3.53E-03	CD3E	 
gelam honey	 	chemical reagent	 	 	3.53E-03	NFKBIA	 
risedronic acid	 	chemical drug	 	 	3.53E-03	HSPA8	 
saquinavir	 	chemical drug	 	 	3.53E-03	NFKBIA	 
Pam3-Cys-Ser-Lys4	 	chemical reagent	 	 	3.63E-03	IL32,NFKBIA	 
lipopolysaccharide	 	chemical drug	 	0.042	4.02E-03	ARL4C,CD3E,HSPA8,IL32,NFKBIA	 
P glycoprotein	 	group	 	 	4.12E-03	CD3E	 
ATE1	 	enzyme	 	 	4.12E-03	ACTB	 
CD3G	 	transmembrane receptor	 	 	4.12E-03	CD3E	 
IL18RAP	 	transmembrane receptor	 	 	4.12E-03	IL32	 
teasaponin	 	chemical - endogenous non-mammalian	 	 	4.12E-03	NFKBIA	 
dBET6	 	chemical reagent	 	 	4.12E-03	ARL4C	 
nitrofurantoin	 	chemical drug	 	 	4.15E-03	ACTB,NFKBIA	 
SATB1	 	transcription regulator	 	 	4.20E-03	ETS1,HSPA8	 
androgen	 	chemical drug	 	 	4.30E-03	ETS1,NFKBIA	 
CSF3	 	cytokine	 	 	4.65E-03	ETS1,FGFBP2	 
Lefty	 	group	 	 	4.70E-03	ETS1	 
mir-326	 	microRNA	 	 	4.70E-03	ETS1	 
NCR3	 	transmembrane receptor	 	 	4.70E-03	CD3E	 
magnesium sulfate	 	chemical drug	 	 	4.70E-03	NFKBIA	 
tosyllysine chloromethyl ketone	 	chemical - protease inhibitor	 	 	4.70E-03	NFKBIA	 
KLF2	 	transcription regulator	 	 	4.97E-03	NFKBIA,S1PR5	 
E. coli serotype 0127B8 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	 	5.07E-03	NFKBIA,RACK1	 
AFF4	 	transcription regulator	 	 	5.29E-03	HNRNPH1	 
Ferritin	 	complex	 	 	5.29E-03	NFKBIA	 
PSMB9	 	peptidase	 	 	5.29E-03	NFKBIA	 
PI3	 	other	 	 	5.29E-03	NFKBIA	 
ATG16L1	 	enzyme	 	 	5.29E-03	NFKBIA	 
ING4	 	transcription regulator	 	 	5.29E-03	NFKBIA	 
ACTG1	 	other	 	 	5.29E-03	ACTB	 
DEK	 	transcription regulator	 	 	5.29E-03	NFKBIA	 
ketorolac	 	chemical drug	 	 	5.29E-03	NFKBIA	 
miR-182 inhibitor	 	chemical reagent	 	 	5.29E-03	NFKBIA	 
PRKCD	 	kinase	 	 	5.40E-03	IL32,NFKBIA	 
