© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Glucocorticoid Receptor Signaling	8.96E00	6.55E-02	NaN	ANXA1,CD163,CDKN1A,CDKN1C,CEBPB,DUSP1,FCGR1A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPA8,IL1B,JAK1,JAK3,NFKBIA,RAP1A,SGK1,STAT1,TAF2,TSC22D3,YWHAH	
Natural Killer Cell Signaling	7.97E00	8.12E-02	0.000	CFL1,FCGR3A/FCGR3B,FYN,HLA-E,HSPA1A/HSPA1B,HSPA5,HSPA8,ITGAL,ITGB1,JAK3,LILRB1,MAP3K2,MYD88,PTPN6,RAP1A,TNFSF10	
Antigen Presentation Pathway	7.39E00	2.05E-01	NaN	CD74,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,PDIA3,PSMB9	
Role of PKR in Interferon Induction and Antiviral Response	7.23E00	1.03E-01	-1.155	FCGR1A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPA8,IL1B,JAK1,MYD88,NFKBIA,NPM1,STAT1	
Phagosome Maturation	6.88E00	8.61E-02	NaN	ATP6V0E1,CTSA,CTSB,CTSD,CTSH,CYBB,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,NCF1,PRDX1,TUBA1A	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	6.58E00	7.45E-02	1.155	APOL1,CLU,CYBB,JAK1,JAK3,MAP3K2,NCF1,NFKBIA,PTPN6,RAP1A,RHOC,S100A8,SERPINA1,STAT1	
T Cell Exhaustion Signaling Pathway	6.14E00	7.43E-02	1.134	BMPR2,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IL10RB,IL6R,JAK1,JAK3,PTPN6,RAP1A,STAT1	
Dendritic Cell Maturation	5.92E00	7.1E-02	1.732	FCGR1A,FCGR1B,FCGR3A/FCGR3B,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IL1B,MYD88,NFKBIA,PDIA3,PLCB2,STAT1	
BAG2 Signaling Pathway	5.82E00	1.63E-01	1.890	CDKN1A,CTSB,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,PSME2	
Type I Diabetes Mellitus Signaling	5.6E00	9.01E-02	0.000	HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IL1B,JAK1,MYD88,NFKBIA,SOCS3,STAT1	
Neuroinflammation Signaling Pathway	5.49E00	5.33E-02	1.941	BMPR2,CSF1R,CYBB,GLUL,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HMOX1,IL1B,IL6R,JAK1,JAK3,MYD88,NCF1,STAT1	
Th1 and Th2 Activation Pathway	5.45E00	7.02E-02	NaN	BMPR2,CCR1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL10RB,IL6R,JAK1,JAK3,SOCS3,STAT1	
IL-10 Signaling	5.41E00	1.16E-01	NaN	CCR1,CD14,HMOX1,IL10RB,IL1B,JAK1,NFKBIA,SOCS3	
PI3K/AKT Signaling	5.35E00	6.86E-02	0.632	CDKN1A,HSP90AA1,HSP90AB1,IL10RB,IL6R,ITGB1,JAK1,JAK3,NFKBIA,PTEN,RAP1A,YWHAH	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	5.32E00	9.57E-02	1.000	ARPC1B,CBL,FCGR1A,FCGR3A/FCGR3B,FYB1,FYN,HMOX1,NCF1,PTEN	
Th1 Pathway	5.26E00	8.26E-02	1.414	HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL10RB,IL6R,JAK1,JAK3,SOCS3,STAT1	
Role of NFAT in Regulation of the Immune Response	5.2E00	6.63E-02	-0.302	CD79B,CSNK1G2,FCGR1A,FCGR1B,FCGR3A/FCGR3B,FYN,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA,PLCB2,RAP1A	
Aldosterone Signaling in Epithelial Cells	5.01E00	6.96E-02	NaN	DNAJA1,DUSP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPH1,PDIA3,PLCB2,SGK1	
JAK/Stat Signaling	4.93E00	1E-01	0.000	CDKN1A,CEBPB,JAK1,JAK3,PTPN6,RAP1A,SOCS3,STAT1	
iNOS Signaling	4.54E00	1.33E-01	0.816	CD14,JAK1,JAK3,MYD88,NFKBIA,STAT1	
Th17 Activation Pathway	4.52E00	8.79E-02	0.000	HSP90AA1,HSP90AB1,IL1B,IL6R,JAK1,JAK3,MYD88,SOCS3	
