© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	9.67E00	1.79E-01	NaN	CALR,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
Th1 Pathway	7.44E00	6.61E-02	-1.342	CD4,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITGB2	
OX40 Signaling Pathway	7.06E00	7.78E-02	NaN	CD4,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
Th2 Pathway	7.05E00	5.88E-02	NaN	CD4,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITGB2	
Calcium-induced T Lymphocyte Apoptosis	6.52E00	9.09E-02	-0.816	CALM1 (includes others),CD4,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
Cdc42 Signaling	6.36E00	4.79E-02	NaN	FOS,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5,MYL6	
Th1 and Th2 Activation Pathway	6.29E00	4.68E-02	NaN	CD4,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ITGB2	
CD28 Signaling in T Helper Cells	6.2E00	5.83E-02	NaN	CALM1 (includes others),CD4,FOS,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
Role of NFAT in Regulation of the Immune Response	6.1E00	4.42E-02	-1.414	CALM1 (includes others),CD4,FCER1A,FOS,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
Allograft Rejection Signaling	5.84E00	6.98E-02	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB5	
Unfolded protein response	5.47E00	8.93E-02	2.000	CALR,HSPA5,HSPA8,HSPH1,PDIA6	
Aldosterone Signaling in Epithelial Cells	5.4E00	4.43E-02	NaN	DNAJA1,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,HSPH1	
