© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.84E01	3.08E-01	NaN	CALR,CANX,CD74,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,PDIA3	
Unfolded protein response	1.63E01	2.14E-01	2.530	CALR,CANX,DNAJC3,HSP90B1,HSPA5,HSPA8,HSPH1,P4HB,PDIA6,SEL1L,VCP,XBP1	
Allograft Rejection Signaling	1.39E01	1.4E-01	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4	
Autoimmune Thyroid Disease Signaling	1.34E01	2.04E-01	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4	
Communication between Innate and Adaptive Immune Cells	1.33E01	1.25E-01	NaN	CD79A,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM	
Aldosterone Signaling in Epithelial Cells	1.07E01	7.59E-02	NaN	DNAJA1,DNAJB11,DNAJC3,HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPD1,HSPH1,PDIA3,PRKCB	
Dendritic Cell Maturation	9.94E00	6.56E-02	0.000	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4,LTB,PDIA3	
Primary Immunodeficiency Signaling	9.91E00	1.6E-01	NaN	CD79A,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM	
B Cell Development	9.36E00	1.94E-01	NaN	CD79A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHD,IGHM	
Protein Ubiquitination Pathway	9.01E00	4.76E-02	NaN	DNAJA1,DNAJB11,DNAJC3,HLA-E,HLA-F,HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPD1,HSPH1,UBE2J1	
Hematopoiesis from Pluripotent Stem Cells	8.37E00	1.43E-01	NaN	IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM	
OX40 Signaling Pathway	7.82E00	8.89E-02	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
B Cell Receptor Signaling	7.56E00	5.41E-02	NaN	CD79A,ETS1,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,PRKCB	
Endoplasmic Reticulum Stress Pathway	7.29E00	2.38E-01	1.342	CALR,DNAJC3,HSP90B1,HSPA5,XBP1	
PD-1, PD-L1 cancer immunotherapy pathway	7.26E00	7.55E-02	2.449	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
Graft-versus-Host Disease Signaling	6.89E00	1.25E-01	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
T Cell Exhaustion Signaling Pathway	6.66E00	5.14E-02	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,PRDM1	
Type I Diabetes Mellitus Signaling	5.88E00	6.31E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HSPD1	
Hypoxia Signaling in the Cardiovascular System	5.75E00	8.11E-02	NaN	HSP90AA1,HSP90AB1,HSP90B1,LDHA,P4HB,UBE2J1	
Cdc42 Signaling	5.74E00	4.79E-02	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
Systemic Lupus Erythematosus Signaling	5.69E00	3.93E-02	NaN	CD79A,HLA-E,HLA-F,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,PIM2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	5.25E00	6.67E-02	NaN	CD79A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,LTB	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	5.04E00	3.27E-02	0.333	CCND2,CD79A,IGHA1,IGHD,IGHG1,IGHM,LTB,PIM2,PRKCB	
Calcium-induced T Lymphocyte Apoptosis	4.73E00	7.58E-02	-2.236	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,PRKCB	
Role of PKR in Interferon Induction and Antiviral Response	4.6E00	5.13E-02	-2.449	DNAJC3,HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA8	
Th1 Pathway	4.52E00	4.96E-02	-2.000	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
Phagosome Formation	4.44E00	4.8E-02	NaN	IGHG1,IGHG2,IGHG3,IGHG4,PDIA3,PRKCB	
Th2 Pathway	4.23E00	4.41E-02	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.1E00	5.62E-02	-2.000	HLA-DRA,HLA-DRB1,HLA-E,HLA-F,LTB	
Phagosome Maturation	3.98E00	3.97E-02	NaN	CALR,CANX,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
eNOS Signaling	3.86E00	3.77E-02	NaN	HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA8,PRKCB	
Nur77 Signaling in T Lymphocytes	3.68E00	6.78E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
Th1 and Th2 Activation Pathway	3.68E00	3.51E-02	NaN	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	3.6E00	2.4E-02	-2.828	HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
Lipid Antigen Presentation by CD1	3.55E00	1.15E-01	NaN	CALR,CANX,PDIA3	
Phospholipase C Signaling	3.54E00	2.72E-02	0.378	AHNAK,CD79A,IGHG1,IGHG2,IGHG3,IGHG4,PRKCB	
T Helper Cell Differentiation	3.33E00	5.48E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
Aryl Hydrocarbon Receptor Signaling	3.14E00	3.5E-02	-0.447	CCND2,CDK6,HSP90AA1,HSP90AB1,HSP90B1	
IL-4 Signaling	3.08E00	4.71E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.04E00	2.24E-02	NaN	IGHG1,IGHG2,IGHG3,IGHG4,LTB,PDIA3,PRKCB	
BAG2 Signaling Pathway	2.9E00	6.98E-02	NaN	HSP90AA1,HSPA5,HSPA8	
Neuregulin Signaling	2.88E00	4.17E-02	NaN	HSP90AA1,HSP90AB1,HSP90B1,PRKCB	
Nitric Oxide Signaling in the Cardiovascular System	2.83E00	4.04E-02	1.000	HSP90AA1,HSP90AB1,HSP90B1,PRKCB	
Role of IL-17A in Psoriasis	2.74E00	1.54E-01	NaN	S100A8,S100A9	
Telomerase Signaling	2.71E00	3.74E-02	1.000	ETS1,HSP90AA1,HSP90AB1,HSP90B1	
Role of NFAT in Regulation of the Immune Response	2.69E00	2.76E-02	-2.236	CD79A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
iCOS-iCOSL Signaling in T Helper Cells	2.65E00	3.6E-02	-2.000	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
NRF2-mediated Oxidative Stress Response	2.61E00	2.65E-02	NaN	DNAJA1,DNAJB11,DNAJC3,PRKCB,VCP	
PPARα/RXRα Activation	2.6E00	2.63E-02	-2.000	HSP90AA1,HSP90AB1,HSP90B1,PDIA3,PRKCB	
CD28 Signaling in T Helper Cells	2.53E00	3.33E-02	NaN	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
14-3-3-mediated Signaling	2.44E00	3.15E-02	1.000	PDIA3,PRKCB,VIM,YWHAE	
Neuroinflammation Signaling Pathway	2.42E00	2E-02	-2.000	HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F	
p70S6K Signaling	2.41E00	3.1E-02	NaN	CD79A,PDIA3,PRKCB,YWHAE	
Mitotic Roles of Polo-Like Kinase	2.37E00	4.55E-02	NaN	HSP90AA1,HSP90AB1,HSP90B1	
Glucocorticoid Receptor Signaling	2.19E00	1.79E-02	NaN	HSP90AA1,HSP90AB1,HSP90B1,HSPA5,HSPA8,TSC22D3	
