© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	2.72E01	5.13E-01	NaN	CALR,CANX,CD74,CIITA,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,PDIA3,TAP1	
B Cell Development	2.05E01	4.44E-01	NaN	CD19,CD79A,CD79B,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IGHD,PTPRC,SPN	
Autoimmune Thyroid Disease Signaling	1.8E01	3.27E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG3,IGHG4	
Allograft Rejection Signaling	1.63E01	2.09E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG3,IGHG4	
Dendritic Cell Maturation	1.44E01	1.2E-01	-1.789	CREBBP,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHG1,IGHG2,IGHG3,IGHG4,IRF8,LTB,NFKBIA,PDIA3,STAT1	
B Cell Receptor Signaling	1.43E01	1.19E-01	-3.207	CD19,CD22,CD79A,CD79B,CREBBP,ETS1,GRB2,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,JUN,LYN,MAP3K1,NFKBIA,PAX5,POU2F2,PRKCB,PTPRC,SYK	
T Cell Exhaustion Signaling Pathway	1.38E01	1.2E-01	0.000	FOS,FOXP1,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IRF4,JAK1,JUN,PRDM1,STAT1	
OX40 Signaling Pathway	1.34E01	1.78E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,JUN,NFKBIA	
Th2 Pathway	1.26E01	1.32E-01	-2.236	CXCR4,GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL24,IL4R,JAK1,JUN	
CD28 Signaling in T Helper Cells	1.25E01	1.42E-01	-2.449	FOS,GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,MAP3K1,NFKBIA,PTPRC,SYK	
Graft-versus-Host Disease Signaling	1.2E01	2.5E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E	
Th1 and Th2 Activation Pathway	1.19E01	1.11E-01	NaN	CXCR4,GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL24,IL4R,JAK1,JUN,STAT1	
Type I Diabetes Mellitus Signaling	1.19E01	1.44E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HSPD1,JAK1,NFKBIA,STAT1	
Communication between Innate and Adaptive Immune Cells	1.17E01	1.56E-01	NaN	CD79A,CD79B,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.17E01	8.36E-02	0.209	CCND2,CD19,CD22,CD79A,CD79B,FOS,GRB2,IFIT3,IGHA1,IGHD,IGHG1,ISG15,ISG20,JAK1,JUN,LTB,LYN,PIM2,PRKCB,RASGRP2,STAT1,SYK,TNFSF10	
IL-4 Signaling	1.13E01	1.65E-01	NaN	GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL4R,IRF4,JAK1	
Unfolded protein response	1.12E01	2.14E-01	2.111	CALR,CANX,DNAJC3,HSP90B1,HSPA5,HSPA8,P4HB,PDIA6,PPP1R15A,SEL1L,VCP,XBP1	
PD-1, PD-L1 cancer immunotherapy pathway	1.11E01	1.42E-01	3.606	HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,JAK1	
Interferon Signaling	1.06E01	2.78E-01	2.530	IFI6,IFIT1,IFIT3,IFITM3,ISG15,JAK1,MX1,OAS1,STAT1,TAP1	
Role of NFAT in Regulation of the Immune Response	1.05E01	9.94E-02	-4.123	CD79A,CD79B,FOS,GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,LYN,NFKBIA,SYK	
Primary Immunodeficiency Signaling	1.04E01	2.2E-01	NaN	CD19,CD79A,CIITA,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4,PTPRC,TAP1	
Calcium-induced T Lymphocyte Apoptosis	1.03E01	1.82E-01	-2.887	ATP2A2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,PRKCB	
Th1 Pathway	1.02E01	1.24E-01	-3.051	GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JAK1,STAT1	
Cdc42 Signaling	1.01E01	1.02E-01	NaN	FOS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,ITGB1,JUN	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	9.77E00	1.44E-01	NaN	CD79A,CD79B,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,LTB	
T Helper Cell Differentiation	9.74E00	1.64E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL4R,STAT1	
iCOS-iCOSL Signaling in T Helper Cells	9.67E00	1.26E-01	-3.317	GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFKBIA,PLEKHA2,PTPRC	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	9.22E00	6.61E-02	-2.985	CREBBP,EZR,FNBP1,FOS,GRB2,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,IRF4,JUN,SYK	
PKCθ Signaling in T Lymphocytes	8.68E00	9.68E-02	-3.873	FOS,GRB2,HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,MAP3K1,NFKBIA	
Nur77 Signaling in T Lymphocytes	8.35E00	1.69E-01	NaN	HLA-A,HLA-B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Systemic Lupus Erythematosus Signaling	8E00	7.42E-02	NaN	CD22,CD79A,CD79B,FOS,GRB2,HLA-A,HLA-B,HLA-C,HLA-E,IGHG1,IGHG2,IGHG3,IGHG4,JUN,LYN,PIM2,PTPRC	
Neuroinflammation Signaling Pathway	7.74E00	6.33E-02	-3.771	BIRC3,CREBBP,FOS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,JAK1,JUN,STAT1,SYK	
PI3K Signaling in B Lymphocytes	7.46E00	9.42E-02	-2.714	CD19,CD79A,CD79B,FOS,IL4R,JUN,LYN,NFKBIA,PDIA3,PLEKHA2,PRKCB,PTPRC,SYK	
p70S6K Signaling	6.87E00	9.3E-02	-2.714	CD19,CD79A,CD79B,EEF2,GRB2,IL4R,JAK1,LYN,PDIA3,PRKCB,SYK,YWHAE	
Crosstalk between Dendritic Cells and Natural Killer Cells	6.59E00	1.12E-01	-1.633	ACTG1,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,LTB,TNFSF10	
Role of PKR in Interferon Induction and Antiviral Response	6.39E00	9.4E-02	-2.111	DNAJC3,FOS,HSP90AA1,HSP90B1,HSPA5,HSPA8,IL24,JAK1,JUN,NFKBIA,STAT1	
Hypoxia Signaling in the Cardiovascular System	6.28E00	1.22E-01	-0.447	ATM,CREBBP,HSP90AA1,HSP90B1,JUN,LDHA,NFKBIA,P4HB,UBE2J1	
Protein Ubiquitination Pathway	6.16E00	5.86E-02	NaN	BIRC3,DNAJB11,DNAJC3,HLA-A,HLA-B,HLA-C,HLA-E,HSP90AA1,HSP90B1,HSPA5,HSPA8,HSPD1,PSME2,TAP1,UBA52,UBE2J1	
Phagosome Maturation	5.3E00	7.28E-02	NaN	CALR,CANX,CTSS,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,TAP1	
Endoplasmic Reticulum Stress Pathway	5.2E00	2.38E-01	1.342	CALR,DNAJC3,HSP90B1,HSPA5,XBP1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.13E00	6.38E-02	-1.732	CREBBP,FNBP1,FOS,IRF8,JAK1,JUN,LYZ,MAP3K1,NFKBIA,PRKCB,S100A8,STAT1	
NRF2-mediated Oxidative Stress Response	5.11E00	6.35E-02	-1.000	ACTG1,CREBBP,DNAJB11,DNAJC3,FOS,JUN,JUNB,JUND,MAP3K1,PPIB,PRKCB,VCP	
Glucocorticoid Receptor Signaling	5E00	4.76E-02	NaN	CREBBP,DUSP1,FOS,GRB2,HSP90AA1,HSP90B1,HSPA5,HSPA8,JAK1,JUN,MAP3K1,NFKBIA,POU2F2,STAT1,TAF7,TSC22D3	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.74E00	1.11E-01	-0.378	ADAR,CREBBP,ISG15,JUN,NFKBIA,PPIB,STAT1	
iNOS Signaling	4.6E00	1.33E-01	-1.633	CREBBP,FOS,JAK1,JUN,NFKBIA,STAT1	
Phospholipase C Signaling	4.43E00	5.06E-02	-0.832	CD79A,CD79B,CREBBP,FNBP1,GRB2,IGHG1,IGHG2,IGHG3,IGHG4,ITGB1,LYN,PRKCB,SYK	
TNFR2 Signaling	4.39E00	1.67E-01	-1.342	BIRC3,FOS,JUN,MAP3K1,NFKBIA	
Phagosome Formation	4.39E00	7.2E-02	NaN	FNBP1,IGHG1,IGHG2,IGHG3,IGHG4,ITGB1,PDIA3,PRKCB,SYK	
Hematopoiesis from Pluripotent Stem Cells	4.38E00	1.22E-01	NaN	IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IGHG4	
Aldosterone Signaling in Epithelial Cells	4.34E00	6.33E-02	NaN	DNAJB11,DNAJC3,DUSP1,HSP90AA1,HSP90B1,HSPA5,HSPA8,HSPD1,PDIA3,PRKCB	
Natural Killer Cell Signaling	4.22E00	5.58E-02	1.508	GRB2,HLA-A,HLA-B,HLA-C,HLA-E,HSPA5,HSPA8,ITGB1,MAP3K1,SYK,TNFSF10	
IL-7 Signaling Pathway	4.14E00	8.97E-02	-0.378	GRB2,IGHG1,JAK1,JUN,LYN,PAX5,STAT1	
EGF Signaling	4.09E00	1.09E-01	-1.633	FOS,GRB2,JAK1,JUN,MAP3K1,STAT1	
PDGF Signaling	3.87E00	8.14E-02	-1.890	FOS,GRB2,JAK1,JUN,MAP3K1,PRKCB,STAT1	
GM-CSF Signaling	3.51E00	8.57E-02	-0.816	ETS1,GRB2,LYN,PRKCB,RACK1,STAT1	
Tec Kinase Signaling	3.49E00	5.49E-02	-0.707	ACTG1,FNBP1,FOS,ITGB1,JAK1,LYN,PRKCB,STAT1,TNFSF10	
IL-12 Signaling and Production in Macrophages	3.45E00	6.06E-02	NaN	FOS,IRF8,JUN,LYZ,PRKCB,REL,S100A8,STAT1	
Caveolar-mediated Endocytosis Signaling	3.41E00	8.22E-02	NaN	ACTG1,HLA-A,HLA-B,HLA-C,HLA-E,ITGB1	
Sumoylation Pathway	3.38E00	6.8E-02	0.447	CREBBP,ETS1,FNBP1,FOS,ISG20,JUN,NFKBIA	
PPAR Signaling	3.36E00	6.73E-02	0.378	CREBBP,FOS,GRB2,HSP90AA1,HSP90B1,JUN,NFKBIA	
TNFR1 Signaling	3.32E00	1E-01	-1.342	BIRC3,FOS,JUN,MAP3K1,NFKBIA	
Virus Entry via Endocytic Pathways	3.28E00	6.54E-02	NaN	ACTG1,HLA-A,HLA-B,HLA-C,HLA-E,ITGB1,PRKCB	
IL-3 Signaling	3.23E00	7.59E-02	-1.633	FOS,GRB2,JAK1,JUN,PRKCB,STAT1	
Renal Cell Carcinoma Signaling	3.2E00	7.5E-02	-2.000	CREBBP,ETS1,FOS,GRB2,JUN,UBA52	
