© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Type I Diabetes Mellitus Signaling	5.14E00	4.5E-02	NaN	HLA-DQA1,HLA-E,IRF1,SOCS3,STAT1	
Th1 Pathway	4.95E00	4.13E-02	0.000	HLA-DQA1,HLA-DQA2,IRF1,SOCS3,STAT1	
Th1 and Th2 Activation Pathway	4.23E00	2.92E-02	NaN	HLA-DQA1,HLA-DQA2,IRF1,SOCS3,STAT1	
B Cell Development	4.04E00	8.33E-02	NaN	HLA-DQA1,PTPRC,SPN	
Interferon Signaling	4.04E00	8.33E-02	NaN	IFITM3,IRF1,STAT1	
Antigen Presentation Pathway	3.94E00	7.69E-02	NaN	HLA-DQA1,HLA-DQA2,HLA-E	
Role of IL-17A in Psoriasis	3.35E00	1.54E-01	NaN	S100A8,S100A9	
Cdc42 Signaling	3.14E00	2.4E-02	NaN	CFL1,HLA-DQA1,HLA-DQA2,HLA-E	
T Cell Exhaustion Signaling Pathway	3.07E00	2.29E-02	NaN	HLA-DQA1,HLA-DQA2,HLA-E,STAT1	
Prolactin Signaling	3E00	3.7E-02	NaN	IRF1,SOCS3,STAT1	
Allograft Rejection Signaling	2.92E00	3.49E-02	NaN	HLA-DQA1,HLA-DQA2,HLA-E	
OX40 Signaling Pathway	2.87E00	3.33E-02	NaN	HLA-DQA1,HLA-DQA2,HLA-E	
IL-22 Signaling	2.81E00	8.33E-02	NaN	SOCS3,STAT1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.78E00	8E-02	NaN	SOCS3,STAT1	
PD-1, PD-L1 cancer immunotherapy pathway	2.66E00	2.83E-02	NaN	HLA-DQA1,HLA-DQA2,HLA-E	
Role of PKR in Interferon Induction and Antiviral Response	2.54E00	2.56E-02	NaN	HSP90AB1,IRF1,STAT1	
IL-9 Signaling	2.54E00	6.06E-02	NaN	SOCS3,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.51E00	5.88E-02	NaN	SOCS3,STAT1	
IL-12 Signaling and Production in Macrophages	2.39E00	2.27E-02	NaN	IRF1,S100A8,STAT1	
Th2 Pathway	2.36E00	2.21E-02	NaN	HLA-DQA1,HLA-DQA2,SOCS3	
iNOS Signaling	2.27E00	4.44E-02	NaN	IRF1,STAT1	
Graft-versus-Host Disease Signaling	2.22E00	4.17E-02	NaN	HLA-DQA1,HLA-E	
Autoimmune Thyroid Disease Signaling	2.2E00	4.08E-02	NaN	HLA-DQA1,HLA-E	
Necroptosis Signaling Pathway	2.18E00	1.91E-02	NaN	SLC25A6,STAT1,TNFSF10	
Retinoic acid Mediated Apoptosis Signaling	2.03E00	3.33E-02	NaN	IRF1,TNFSF10	
Dendritic Cell Maturation	2E00	1.64E-02	NaN	HLA-DQA1,HLA-E,STAT1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.97E00	1.6E-02	NaN	IRF1,S100A8,STAT1	
Natural Killer Cell Signaling	1.92E00	1.52E-02	NaN	CFL1,HLA-E,TNFSF10	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.91E00	2.9E-02	NaN	SOCS3,STAT1	
GM-CSF Signaling	1.9E00	2.86E-02	NaN	PIM1,STAT1	
Growth Hormone Signaling	1.89E00	2.82E-02	NaN	SOCS3,STAT1	
T Helper Cell Differentiation	1.87E00	2.74E-02	NaN	HLA-DQA1,STAT1	
JAK/Stat Signaling	1.79E00	2.5E-02	NaN	SOCS3,STAT1	
Systemic Lupus Erythematosus Signaling	1.74E00	1.31E-02	NaN	HLA-E,HNRNPA2B1,PTPRC	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.72E00	1.25E-01	NaN	TYMP	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.71E00	2.25E-02	NaN	HLA-E,TNFSF10	
Th17 Activation Pathway	1.69E00	2.2E-02	NaN	HSP90AB1,SOCS3	
Calcium Transport I	1.62E00	1E-01	NaN	ATP2B1	
Protein Ubiquitination Pathway	1.55E00	1.1E-02	NaN	HLA-E,HSP90AB1,PSME2	
Glycogen Degradation II	1.54E00	8.33E-02	NaN	TYMP	
iCOS-iCOSL Signaling in T Helper Cells	1.53E00	1.8E-02	NaN	HLA-DQA1,PTPRC	
Leukotriene Biosynthesis	1.51E00	7.69E-02	NaN	LTA4H	
Glycogen Degradation III	1.48E00	7.14E-02	NaN	TYMP	
CD28 Signaling in T Helper Cells	1.46E00	1.67E-02	NaN	HLA-DQA1,PTPRC	
IL-15 Production	1.46E00	1.65E-02	NaN	IRF1,STAT1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.45E00	1.64E-02	NaN	PSME2,TNFSF10	
Telomere Extension by Telomerase	1.45E00	6.67E-02	NaN	HNRNPA2B1	
Neuroinflammation Signaling Pathway	1.44E00	1E-02	NaN	HLA-DQA1,HLA-E,STAT1	
STAT3 Pathway	1.37E00	1.48E-02	NaN	PIM1,SOCS3	
FAT10 Signaling Pathway	1.37E00	5.56E-02	NaN	PSME2	
Iron homeostasis signaling pathway	1.36E00	1.46E-02	NaN	FTL,SLC11A1	
GADD45 Signaling	1.35E00	5.26E-02	NaN	GADD45B	
Estrogen Receptor Signaling	1.34E00	9.15E-03	NaN	CFL1,DDX5,HSP90AB1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.34E00	1.42E-02	NaN	PTPRC,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.34E00	1.42E-02	NaN	PTPRC,SOCS3	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.33E00	9.01E-03	NaN	HLA-DQA1,HLA-DQA2,HLA-E	
Polyamine Regulation in Colon Cancer	1.28E00	4.55E-02	NaN	PSME2	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.27E00	1.3E-02	NaN	C5AR1,TNFSF10	
3-phosphoinositide Degradation	1.27E00	1.29E-02	NaN	PTPRC,SOCS3	
D-myo-inositol-5-phosphate Metabolism	1.26E00	1.28E-02	NaN	PTPRC,SOCS3	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.25E00	4.17E-02	NaN	STAT1	
Tec Kinase Signaling	1.22E00	1.22E-02	NaN	STAT1,TNFSF10	
3-phosphoinositide Biosynthesis	1.22E00	1.21E-02	NaN	PTPRC,SOCS3	
Acute Phase Response Signaling	1.16E00	1.12E-02	NaN	FTL,SOCS3	
