© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	1.21E01	3.61E-01	3.051	IFI35,IFI6,IFIT1,IFIT3,IFITM3,IFNGR1,IRF1,ISG15,MX1,OAS1,STAT1,STAT2,TAP1	
Antigen Presentation Pathway	1.16E01	3.33E-01	NaN	CALR,CANX,CD74,HLA-DMB,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,PDIA3,TAP1,TAP2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.15E01	1.09E-01	1.095	CALM1 (includes others),CBL,CD79B,FCGR2A,FGR,HCK,IFIH1,IFIT2,IFIT3,IFNGR1,INPP5D,IRF7,ISG15,LTB,LYN,MAPK1,MYD88,PAG1,PIK3R1,PRKCB,PTPN6,RAC2,RAP2B,RRAS,STAT1,STAT2,STAT3,TMEM173,TNFSF10,TNFSF13B	
Role of PKR in Interferon Induction and Antiviral Response	1.14E01	1.71E-01	0.000	CASP1,DDX58,EIF2AK2,FCGR1A,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,IFIH1,IFNGR1,IRF1,MAPK1,MARCO,MSR1,MYD88,STAT1,STAT2,STAT3	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.12E01	1.91E-01	-2.357	ACTR2,ARPC2,CBL,CDC42,FCGR1A,FCGR2A,FCGR3A/FCGR3B,FGR,HCK,HMOX1,INPP5D,LYN,MAPK1,PIK3R1,PRKCB,PTK2B,RAC2,VASP	
Phagosome Formation	9.95E00	1.52E-01	NaN	C5AR1,CDC42,FCGR1A,FCGR1B,FCGR2A,FCGR3A/FCGR3B,ITGAM,ITGB1,MARCKS,MARCO,MRC1,MSR1,PDIA3,PIK3R1,PRKCB,RAC2,RHOB,RHOC,TLR2	
B Cell Receptor Signaling	9.3E00	1.19E-01	-2.236	APBB1IP,CALM1 (includes others),CD79B,CDC42,CREBBP,ETS1,FCGR2A,INPP5D,LYN,MAP3K8,MAPK1,PAG1,PIK3R1,POU2F2,PRKCB,PTK2B,PTPN6,PTPRC,RAC2,RAP2B,RASSF5,RRAS	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	9.19E00	1.3E-01	1.604	C1QA,C1QB,C1QC,C5AR1,CASP1,DDX58,EIF2AK2,IFIH1,IRF7,LTB,MAPK1,MYD88,OAS1,OAS2,OAS3,PIK3R1,PRKCB,TLR2,TNFSF10,TNFSF13B	
Dendritic Cell Maturation	8.62E00	1.15E-01	1.789	CREBBP,FCGR1A,FCGR1B,FCGR2A,FCGR3A/FCGR3B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,LTB,MAPK1,MYD88,PDIA3,PIK3R1,STAT1,STAT2,TLR2,TNFRSF1B,TREM2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	8.41E00	1.12E-01	0.471	CDC42,CREBBP,CYBA,CYBB,IFNGR1,IRF1,LYZ,MAP3K8,MAPK1,PIK3R1,PPP1R12A,PRKCB,PTPN6,RAC2,RHOB,RHOC,S100A8,SIRPA,STAT1,TLR2,TNFRSF1B	
Natural Killer Cell Signaling	8.04E00	1.07E-01	0.218	CDC42,FCGR2A,FCGR3A/FCGR3B,HLA-E,HSPA1A/HSPA1B,HSPA5,HSPA8,ITGAL,ITGB1,MAP3K8,MAPK1,MYD88,PAK2,PIK3R1,PTK2B,PTPN6,RAC2,RAP2B,RASSF5,RRAS,TNFSF10	
ERK/MAPK Signaling	7.48E00	1.04E-01	-0.243	CREBBP,DUSP1,ETS1,ETS2,HSPB1,ITGB1,MAPK1,PAK2,PIK3R1,PPP1R12A,PRKCB,PTK2B,RAC2,RAP2B,RRAS,STAT1,STAT3,YWHAB,YWHAG,YWHAH	
BAG2 Signaling Pathway	7.34E00	2.33E-01	1.897	ANXA2,CDKN1A,CTSB,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,MAPK1,MDM2,PSME2	
Role of NFAT in Regulation of the Immune Response	7.23E00	1.05E-01	0.471	CALM1 (includes others),CD79B,CSNK1G2,FCGR1A,FCGR1B,FCGR2A,FCGR3A/FCGR3B,GNAI3,GNB2,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,LYN,MAPK1,PIK3R1,RAP2B,RRAS	
Tec Kinase Signaling	7.18E00	1.1E-01	-0.832	CDC42,FGR,GNAI3,GNB2,HCK,ITGB1,LYN,PAK2,PIK3R1,PRKCB,PTK2B,RAC2,RHOB,RHOC,STAT1,STAT2,STAT3,TNFSF10	
GM-CSF Signaling	7.11E00	1.71E-01	-0.905	ETS1,HCK,LYN,MAPK1,PIK3R1,PIM1,PRKCB,RACK1,RAP2B,RRAS,STAT1,STAT3	
Glucocorticoid Receptor Signaling	6.9E00	7.74E-02	NaN	ANXA1,CD163,CDKN1A,CDKN1C,CREBBP,DUSP1,FCGR1A,FKBP5,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,MAPK1,PIK3R1,POU2F2,RAP2B,RRAS,SMARCA2,SMARCC2,SRA1,STAT1,STAT3,TSC22D3,YWHAH	
T Cell Exhaustion Signaling Pathway	6.74E00	1.03E-01	1.414	FOXP1,HAVCR2,HLA-DMB,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,LGALS9,MAPK1,PIK3R1,PTPN6,RAP2B,RRAS,STAT1,STAT2,STAT3	
Neuroinflammation Signaling Pathway	6.68E00	8E-02	1.528	APP,CASP1,CREBBP,CX3CR1,CYBB,GLUL,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HMOX1,IFNGR1,IRAK3,IRF7,MAPK1,MYD88,NAIP,PIK3R1,SOD2,STAT1,TLR2,TREM2	
Leukocyte Extravasation Signaling	6.64E00	9.64E-02	-2.500	CD44,CDC42,CYBA,CYBB,GNAI3,ICAM3,ITGAL,ITGAM,ITGB1,MAPK1,PIK3R1,PRKCB,PTK2B,RAC2,RASSF5,SELPLG,SPN,TIMP1,VASP	
IL-8 Signaling	6.54E00	9.5E-02	-0.500	ARRB2,CDC42,CYBB,GNAI3,GNB2,HMOX1,IRAK3,ITGAM,MAPK1,PAK2,PIK3R1,PRKCB,PTK2B,RAC2,RAP2B,RHOB,RHOC,RRAS,VASP	
Rac Signaling	6.41E00	1.25E-01	-1.604	ACTR2,ARPC2,CD44,CDC42,CYBB,CYFIP1,CYFIP2,ITGB1,MAPK1,PAK2,PIK3R1,PTK2B,RAP2B,RRAS	
fMLP Signaling in Neutrophils	6.22E00	1.21E-01	-1.508	ACTR2,ARPC2,CALM1 (includes others),CDC42,CYBB,FPR1,FPR3,GNAI3,GNB2,MAPK1,PIK3R1,PRKCB,RAP2B,RRAS	
iNOS Signaling	6.07E00	2E-01	0.378	CALM1 (includes others),CD14,CREBBP,IFNGR1,IRAK3,IRF1,MAPK1,MYD88,STAT1	
PI3K/AKT Signaling	6.05E00	9.71E-02	1.698	CDC37,CDKN1A,HSP90AA1,HSP90AB1,HSP90B1,INPP5D,ITGB1,MAP3K8,MAPK1,MDM2,PIK3R1,RAP2B,RRAS,YWHAB,YWHAE,YWHAG,YWHAH	
Actin Nucleation by ARP-WASP Complex	6.04E00	1.53E-01	-1.265	ACTR2,ARPC2,CDC42,ITGB1,PPP1R12A,RAC2,RAP2B,RHOB,RHOC,RRAS,VASP	
Actin Cytoskeleton Signaling	5.97E00	8.72E-02	-1.500	ACTR2,ARPC2,CD14,CDC42,CYFIP1,CYFIP2,DIAPH1,ITGB1,MAPK1,MYH9,PAK2,PIK3R1,PPP1R12A,RAC2,RAP2B,RRAS,SSH2,TMSB10/TMSB4X,WASF2	
B Cell Development	5.82E00	2.22E-01	NaN	CD79B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,PTPRC,SPN	
p70S6K Signaling	5.66E00	1.09E-01	-1.265	CD79B,EEF2,GNAI3,LYN,MAPK1,PDIA3,PIK3R1,PRKCB,RAP2B,RRAS,YWHAB,YWHAE,YWHAG,YWHAH	
Phagosome Maturation	5.53E00	9.93E-02	NaN	CALR,CANX,CTSB,CTSD,CTSL,CTSS,CTSZ,CYBB,HLA-DRA,HLA-DRB1,HLA-E,LAMP2,PRDX1,TAP1,VPS41	
Role of Tissue Factor in Cancer	5.41E00	1.11E-01	NaN	ARRB2,CDC42,FGR,HCK,ITGB1,LYN,MAPK1,P4HB,PDIA6,PIK3R1,PTK2B,RAP2B,RRAS	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	5.33E00	6.91E-02	1.043	CASP1,CBL,CD44,CDC42,CREBBP,GNAI3,HLA-DMB,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,ITGAL,MAPK1,PIK3R1,RAC2,RAP2B,RHOB,RHOC,RRAS,SELPLG,STAT3	
Th1 Pathway	5.25E00	1.07E-01	2.530	HAVCR2,HLA-DMB,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IFNGR1,IRF1,LGALS9,PIK3R1,STAT1,STAT3	
Unfolded protein response	5.24E00	1.61E-01	2.333	CALR,CANX,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,P4HB,PDIA6,PPP1R15A	
Inhibition of ARE-Mediated mRNA Degradation Pathway	5.21E00	1.07E-01	0.277	DDX6,LTB,MAPK1,PAPOLA,PSME2,TNFRSF1B,TNFSF10,TNFSF13B,YWHAB,YWHAE,YWHAG,YWHAH,ZFP36L1	
Aryl Hydrocarbon Receptor Signaling	5.13E00	9.79E-02	-0.333	AHR,ALDH2,ALDH3B1,CDKN1A,CTSD,GSTK1,GSTM1,HSP90AA1,HSP90AB1,HSP90B1,HSPB1,MAPK1,MDM2,RXRA	
Glioma Invasiveness Signaling	5.05E00	1.35E-01	-1.414	CD44,CDC42,MAPK1,PIK3R1,RAC2,RAP2B,RHOB,RHOC,RRAS,TIMP1	
Cdc42 Signaling	5E00	8.98E-02	-1.414	ACTR2,ARPC2,CDC42,DIAPH1,HLA-DMB,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,ITGB1,MAPK1,PAK2,PPP1R12A	
mTOR Signaling	4.97E00	8.1E-02	-1.000	CDC42,EIF3C,EIF3F,EIF3H,EIF3L,EIF4A2,EIF4B,EIF4G2,HMOX1,MAPK1,PIK3R1,PRKCB,RAC2,RAP2B,RHOB,RHOC,RRAS	
NRF2-mediated Oxidative Stress Response	4.96E00	8.47E-02	-0.333	CREBBP,DNAJA1,FKBP5,FTL,GSTK1,GSTM1,HMOX1,JUNB,MAPK1,PIK3R1,PRDX1,PRKCB,RAP2B,RRAS,SOD1,SOD2	
Phospholipase C Signaling	4.92E00	7.39E-02	-1.291	AHNAK,CALM1 (includes others),CD79B,CDC42,CREBBP,FCGR2A,GNB2,HMOX1,ITGB1,LYN,MAPK1,MARCKS,PPP1R12A,PRKCB,RAC2,RAP2B,RHOB,RHOC,RRAS	
HGF Signaling	4.92E00	1.08E-01	-1.265	CDC42,CDKN1A,ETS1,ETS2,ITGB1,MAP3K8,MAPK1,PIK3R1,PRKCB,RAP2B,RRAS,STAT3	
Type I Diabetes Mellitus Signaling	4.92E00	1.08E-01	0.000	HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,IFNGR1,IRF1,MAPK1,MYD88,STAT1,TNFRSF1B	
Integrin Signaling	4.89E00	7.98E-02	-1.291	ACTR2,ARPC2,CDC42,ITGAL,ITGAM,ITGB1,MAPK1,NEDD9,PAK2,PIK3R1,PPP1R12A,RAC2,RAP2B,RHOB,RHOC,RRAS,VASP	
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.8E00	1.43E-01	1.000	ADAR,CREBBP,DDX58,IFIH1,IFIT2,IRF7,ISG15,STAT1,STAT2	
Xenobiotic Metabolism Signaling	4.77E00	6.97E-02	NaN	AHR,ALDH2,ALDH3B1,CHST2,CREBBP,FTL,GSTK1,GSTM1,HMOX1,HSP90AA1,HSP90AB1,HSP90B1,MAP3K8,MAPK1,PIK3R1,PRKCB,RAP2B,RRAS,RXRA,SRA1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	4.77E00	1.63E-01	-0.816	CDKN1A,CUL1,MDM2,TRIP12,YWHAB,YWHAE,YWHAG,YWHAH	
FLT3 Signaling in Hematopoietic Progenitor Cells	4.75E00	1.25E-01	0.000	CBL,CREBBP,INPP5D,MAPK1,PIK3R1,RAP2B,RRAS,STAT1,STAT2,STAT3	
Signaling by Rho Family GTPases	4.68E00	7.38E-02	-1.291	ACTR2,ARPC2,CDC42,CYBB,CYFIP1,GNAI3,GNB2,ITGB1,MAPK1,PAK2,PIK3R1,PKN1,PPP1R12A,PTK2B,RAC2,RHOB,RHOC,SEPTIN9	
Complement System	4.67E00	1.89E-01	0.816	C1QA,C1QB,C1QC,C5AR1,CFD,ITGAM,SERPING1	
Regulation of eIF4 and p70S6K Signaling	4.67E00	8.92E-02	-1.342	EIF1,EIF3C,EIF3F,EIF3H,EIF3L,EIF4A2,EIF4EBP2,EIF4G2,ITGB1,MAPK1,PABPC1,PIK3R1,RAP2B,RRAS	
Necroptosis Signaling Pathway	4.67E00	8.92E-02	0.535	CASP1,CYBB,CYLD,EIF2AK2,GLUL,MDM2,MERTK,SLC25A6,STAT1,STAT2,TNFRSF1B,TNFSF10,TOMM20,TSPO	
Aldosterone Signaling in Epithelial Cells	4.64E00	8.86E-02	-1.000	DNAJA1,DUSP1,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPB1,HSPE1,MAPK1,PDIA3,PIK3R1,PRKCB	
Hepatic Fibrosis Signaling Pathway	4.63E00	6.25E-02	-0.626	CALM1 (includes others),CDC42,CREBBP,CYBB,FTL,GNAI3,IRAK3,IRS2,ITGB1,MAPK1,MYD88,PIK3R1,PRKCB,RAC2,RAP2B,RHOB,RHOC,RRAS,SOD2,STAT3,TCF7L2,TIMP1,TNFRSF1B	
PI3K Signaling in B Lymphocytes	4.63E00	9.42E-02	-0.905	CALM1 (includes others),CBL,CD79B,INPP5D,IRS2,LYN,MAPK1,PDIA3,PIK3R1,PRKCB,PTPRC,RAP2B,RRAS	
RhoGDI Signaling	4.61E00	8.33E-02	0.577	ACTR2,ARHGDIB,ARPC2,CD44,CDC42,CREBBP,GNAI3,GNB2,ITGB1,PAK2,PPP1R12A,RAC2,RHOB,RHOC,WASF2	
CD28 Signaling in T Helper Cells	4.58E00	1E-01	-1.890	ACTR2,ARPC2,CALM1 (includes others),CDC42,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,PIK3R1,PTPN6,PTPRC	
IL-4 Signaling	4.51E00	1.18E-01	NaN	HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,INPP5D,PIK3R1,PTPN6,RAP2B,RRAS	
Xenobiotic Metabolism General Signaling Pathway	4.46E00	9.09E-02	-0.277	AHR,CREBBP,FTL,GSTK1,GSTM1,HMOX1,MAP3K8,MAPK1,PIK3R1,PRKCB,RAP2B,RRAS,RXRA	
Telomerase Signaling	4.35E00	1.03E-01	0.333	CDKN1A,ETS1,ETS2,HSP90AA1,HSP90AB1,HSP90B1,MAPK1,PIK3R1,RAP2B,RRAS,TPP1	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.34E00	1.12E-01	0.000	CD209,HLA-DRA,HLA-DRB1,HLA-E,ICAM3,ITGAL,LTB,TNFRSF1B,TNFSF10,TREM2	
