© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Th1 Pathway	8.77E00	7.44E-02	-1.890	CD4,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,IRF1,ITGB2,SOCS3,STAT1	
Antigen Presentation Pathway	7.93E00	1.54E-01	NaN	CD74,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E	
Type I Diabetes Mellitus Signaling	7.74E00	7.21E-02	0.000	GZMB,HLA-B,HLA-DQB1,HLA-DRB1,HLA-E,IRF1,SOCS3,STAT1	
Th1 and Th2 Activation Pathway	7.45E00	5.26E-02	NaN	CD4,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,IRF1,ITGB2,SOCS3,STAT1	
Allograft Rejection Signaling	5.84E00	6.98E-02	NaN	GZMB,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E	
Th2 Pathway	5.84E00	5.15E-02	NaN	CD4,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,ITGB2,SOCS3	
Graft-versus-Host Disease Signaling	5.81E00	1.04E-01	NaN	GZMB,HLA-B,HLA-DQB1,HLA-DRB1,HLA-E	
Autoimmune Thyroid Disease Signaling	5.77E00	1.02E-01	NaN	GZMB,HLA-B,HLA-DQB1,HLA-DRB1,HLA-E	
OX40 Signaling Pathway	5.72E00	6.67E-02	NaN	CD4,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E	
Neuroinflammation Signaling Pathway	5.4E00	3E-02	-1.633	APP,GLUL,HLA-B,HLA-DQB1,HLA-DRB1,HLA-E,IRF7,NAIP,STAT1	
Calcium-induced T Lymphocyte Apoptosis	5.12E00	7.58E-02	-2.236	CALM1 (includes others),CD4,HLA-B,HLA-DQB1,HLA-DRB1	
T Cell Exhaustion Signaling Pathway	5.11E00	4E-02	NaN	GZMB,HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E,STAT1	
BAG2 Signaling Pathway	4.54E00	9.3E-02	0.000	ANXA2,CDKN1A,CTSB,MAPKAPK2	
PD-1, PD-L1 cancer immunotherapy pathway	4.12E00	4.72E-02	2.000	HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E	
iCOS-iCOSL Signaling in T Helper Cells	4.03E00	4.5E-02	-2.236	CALM1 (includes others),CD4,HLA-B,HLA-DQB1,HLA-DRB1	
Nur77 Signaling in T Lymphocytes	4E00	6.78E-02	NaN	CALM1 (includes others),HLA-B,HLA-DQB1,HLA-DRB1	
Dendritic Cell Maturation	3.97E00	3.28E-02	-1.000	HLA-B,HLA-DQB1,HLA-DRB1,HLA-E,IRF8,STAT1	
CD28 Signaling in T Helper Cells	3.87E00	4.17E-02	NaN	CALM1 (includes others),CD4,HLA-B,HLA-DQB1,HLA-DRB1	
IL-12 Signaling and Production in Macrophages	3.67E00	3.79E-02	NaN	IRF1,IRF8,MAP3K8,S100A8,STAT1	
Caveolar-mediated Endocytosis Signaling	3.64E00	5.48E-02	NaN	ACTB,HLA-B,HLA-E,ITGB2	
T Helper Cell Differentiation	3.64E00	5.48E-02	NaN	HLA-B,HLA-DQB1,HLA-DRB1,STAT1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	3.44E00	8.82E-02	NaN	GZMB,HLA-B,HLA-E	
B Cell Development	3.37E00	8.33E-02	NaN	HLA-B,HLA-DQB1,HLA-DRB1	
PKCθ Signaling in T Lymphocytes	3.35E00	3.23E-02	-1.342	CD4,HLA-B,HLA-DQB1,HLA-DRB1,MAP3K8	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.31E00	4.49E-02	NaN	ACTB,HLA-B,HLA-DRB1,HLA-E	
Cdc42 Signaling	3.2E00	2.99E-02	NaN	HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E	
Communication between Innate and Adaptive Immune Cells	3.18E00	4.17E-02	NaN	CD4,HLA-B,HLA-DRB1,HLA-E	
iNOS Signaling	3.08E00	6.67E-02	NaN	CALM1 (includes others),IRF1,STAT1	
Role of NFAT in Regulation of the Immune Response	3.05E00	2.76E-02	-2.236	CALM1 (includes others),CD4,HLA-B,HLA-DQB1,HLA-DRB1	
Virus Entry via Endocytic Pathways	3.01E00	3.74E-02	NaN	ACTB,HLA-B,HLA-E,ITGB2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.97E00	2.66E-02	1.342	IRF1,IRF8,MAP3K8,S100A8,STAT1	
Role of IL-17A in Psoriasis	2.9E00	1.54E-01	NaN	S100A8,S100A9	
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.86E00	3.42E-02	NaN	APP,GZMB,HLA-B,HLA-E	
Glutamate Receptor Signaling	2.78E00	5.26E-02	NaN	CALM1 (includes others),GLUL,SLC38A1	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	2.6E00	1.8E-02	-1.633	HLA-B,HLA-DQA2,HLA-DQB1,HLA-DRB1,HLA-E,SELPLG	
GADD45 Signaling	2.57E00	1.05E-01	NaN	CDKN1A,GADD45B	
GM-CSF Signaling	2.53E00	4.29E-02	NaN	PIM1,RACK1,STAT1	
Inflammasome pathway	2.52E00	1E-01	NaN	CTSB,NAIP	
Phagosome Maturation	2.46E00	2.65E-02	NaN	CTSB,HLA-B,HLA-DRB1,HLA-E	
Glutamine Biosynthesis I	2.39E00	1E00	NaN	GLUL	
Agrin Interactions at Neuromuscular Junction	2.38E00	3.8E-02	NaN	ACTB,ITGB2,UTRN	
BEX2 Signaling Pathway	2.38E00	3.8E-02	NaN	CDKN1A,LGALS1,TCF4	
IL-22 Signaling	2.36E00	8.33E-02	NaN	SOCS3,STAT1	
Role of BRCA1 in DNA Damage Response	2.36E00	3.75E-02	NaN	ACTB,CDKN1A,STAT1	
JAK/Stat Signaling	2.36E00	3.75E-02	NaN	CDKN1A,SOCS3,STAT1	
Prolactin Signaling	2.35E00	3.7E-02	NaN	IRF1,SOCS3,STAT1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.33E00	8E-02	NaN	SOCS3,STAT1	
HER-2 Signaling in Breast Cancer	2.3E00	3.57E-02	NaN	AREG,CDKN1A,ITGB2	
IL-4 Signaling	2.29E00	3.53E-02	NaN	HLA-B,HLA-DQB1,HLA-DRB1	
PI3K/AKT Signaling	2.23E00	2.29E-02	NaN	CDKN1A,HSP90B1,MAP3K8,MCL1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.22E00	3.33E-02	NaN	HLA-B,HLA-DQB1,HLA-DRB1	
IL-9 Signaling	2.09E00	6.06E-02	NaN	SOCS3,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.07E00	5.88E-02	NaN	SOCS3,STAT1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.04E00	1.6E-02	NaN	CALM1 (includes others),CEBPD,MAPKAPK2,SOCS3,TCF4	
Interferon Signaling	2.02E00	5.56E-02	NaN	IRF1,STAT1	
Docosahexaenoic Acid (DHA) Signaling	1.97E00	5.26E-02	NaN	APP,SERPINF1	
Osteoarthritis Pathway	1.95E00	1.9E-02	NaN	ANXA2,S100A8,S100A9,TCF4	
Diphthamide Biosynthesis	1.91E00	3.33E-01	NaN	EEF2	
Role of PKR in Interferon Induction and Antiviral Response	1.91E00	2.56E-02	NaN	HSP90B1,IRF1,STAT1	
IL-6 Signaling	1.83E00	2.4E-02	NaN	MAPKAPK2,MCL1,SOCS3	
Atherosclerosis Signaling	1.82E00	2.38E-02	NaN	ITGB2,S100A8,SELPLG	
STAT3 Pathway	1.74E00	2.22E-02	NaN	CDKN1A,PIM1,SOCS3	
Hereditary Breast Cancer Signaling	1.7E00	2.14E-02	NaN	ACTB,CDKN1A,GADD45B	
Unfolded protein response	1.66E00	3.57E-02	NaN	CEBPD,HSP90B1	
MSP-RON Signaling Pathway	1.63E00	3.45E-02	NaN	ACTB,ITGB2	
Lactose Degradation III	1.61E00	1.67E-01	NaN	PSAP	
