© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Phagosome Formation	1.33E01	1.44E-01	NaN	C3AR1,FCER1G,FCGR3A/FCGR3B,IGHG1,IGHG4,ITGA4,ITGAM,ITGAX,MARCKS,MARCO,MSR1,PLCB2,PRKCB,RAC1,RAC2,RHOC,TLR4,TLR7	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.3E01	1.7E-01	-2.500	ACTB,ACTG1,ACTR2,ACTR3,ARPC2,CBL,FCGR3A/FCGR3B,HCK,HMOX1,INPP5D,LYN,MAPK1,PRKCB,RAC1,RAC2,VASP	
Interferon Signaling	1.06E01	2.78E-01	2.530	IFI6,IFIT1,IFIT3,IFITM1,IFITM3,ISG15,JAK1,MX1,STAT1,TAP1	
Antigen Presentation Pathway	1.02E01	2.56E-01	NaN	B2M,CD74,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,PSMB9,TAP1,TAP2	
Actin Cytoskeleton Signaling	1.01E01	8.72E-02	-2.324	ACTB,ACTG1,ACTR2,ACTR3,ARPC2,CD14,CFL1,CYFIP1,CYFIP2,FLNA,ITGA4,MAPK1,MYL6,PFN1,PPP1CB,RAC1,RAC2,TMSB10/TMSB4X,WASF2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	9.97E00	7.64E-02	1.091	CBL,FOS,HCK,IFIH1,IFIT3,IGHG1,INPP5D,IRF7,ISG15,JAK1,LYN,MAPK1,MCL1,PAG1,PIK3AP1,PRKCB,PTPN6,RAC1,RAC2,STAT1,TLR7	
Leukocyte Extravasation Signaling	9.89E00	9.14E-02	-1.698	ACTB,ACTG1,ARHGAP4,CD44,CTNND1,ICAM3,ITGA4,ITGAL,ITGAM,MAPK1,MYL6,PRKCB,RAC1,RAC2,RASSF5,SPN,TIMP1,VASP	
Integrin Signaling	9.34E00	8.45E-02	-2.668	ACTB,ACTG1,ACTR2,ACTR3,ARPC2,ASAP1,CAPNS1,ITGA4,ITGAL,ITGAM,ITGAX,MAPK1,PFN1,PPP1CB,RAC1,RAC2,RHOC,VASP	
Cdc42 Signaling	9.16E00	9.58E-02	-1.897	ACTR2,ACTR3,ARPC2,B2M,CFL1,FCER1G,FOS,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,ITGA4,MAPK1,MYL6,PPP1CB	
Crosstalk between Dendritic Cells and Natural Killer Cells	8.71E00	1.35E-01	0.000	ACTB,ACTG1,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,ICAM3,ITGAL,TLR4,TLR7,TNFRSF1B	
RhoGDI Signaling	8.68E00	8.89E-02	2.138	ACTB,ACTG1,ACTR2,ACTR3,ARHGAP4,ARHGDIB,ARPC2,CD44,CFL1,GNB1,ITGA4,MYL6,RAC1,RAC2,RHOC,WASF2	
Dendritic Cell Maturation	8.58E00	8.74E-02	1.604	B2M,FCER1G,FCGR3A/FCGR3B,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG4,MAPK1,NFKBIA,PLCB2,STAT1,TLR4,TNFRSF1B	
Caveolar-mediated Endocytosis Signaling	8.56E00	1.51E-01	NaN	ACTB,ACTG1,B2M,FLNA,HLA-A,HLA-B,HLA-E,ITGA4,ITGAL,ITGAM,ITGAX	
B Cell Receptor Signaling	8.51E00	8.65E-02	-1.387	CFL1,IGHG1,IGHG4,INPP5D,LYN,MAPK1,NFKBIA,PAG1,PIK3AP1,POU2F2,PRKCB,PTPN6,PTPRC,RAC1,RAC2,RASSF5	
Regulation of Actin-based Motility by Rho	8.43E00	1.28E-01	-2.111	ACTB,ACTR2,ACTR3,ARPC2,CFL1,ITGA4,MYL6,PFN1,PPP1CB,RAC1,RAC2,RHOC	
Tec Kinase Signaling	8.34E00	9.15E-02	-1.732	ACTB,ACTG1,FCER1G,FOS,GNB1,HCK,ITGA4,JAK1,LYN,PRKCB,RAC1,RAC2,RHOC,STAT1,TLR4	
CD28 Signaling in T Helper Cells	8.2E00	1.08E-01	-0.378	ACTR2,ACTR3,ARPC2,FCER1G,FOS,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,NFKBIA,PTPN6,PTPRC,RAC1	
Virus Entry via Endocytic Pathways	7.79E00	1.12E-01	NaN	ACTB,ACTG1,B2M,FLNA,HLA-A,HLA-B,HLA-E,ITGA4,ITGAL,PRKCB,RAC1,RAC2	
Communication between Innate and Adaptive Immune Cells	7.28E00	1.15E-01	NaN	B2M,FCER1G,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG4,TLR4,TLR7	
Phospholipase C Signaling	7.26E00	6.61E-02	-1.069	AHNAK,FCER1G,GNB1,HMOX1,IGHG1,IGHG4,ITGA4,LYN,MAPK1,MARCKS,MYL6,PLCB2,PPP1CB,PRKCB,RAC1,RAC2,RHOC	
Neuroinflammation Signaling Pathway	7.01E00	6E-02	1.500	B2M,CSF1R,FOS,GLUL,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,HMOX1,IRAK3,IRF7,JAK1,MAPK1,SOD2,STAT1,TLR4,TLR7	
iNOS Signaling	6.96E00	1.78E-01	0.707	CD14,FOS,IRAK3,JAK1,MAPK1,NFKBIA,STAT1,TLR4	
Signaling by Rho Family GTPases	6.81E00	6.56E-02	-1.941	ACTB,ACTG1,ACTR2,ACTR3,ARPC2,CFL1,CYFIP1,FOS,GNB1,ITGA4,MAPK1,MYL6,RAC1,RAC2,RHOC,SEPTIN9	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	6.7E00	7.45E-02	0.577	FOS,JAK1,MAPK1,NFKBIA,PPP1CB,PRKCB,PTPN6,RAC1,RAC2,RHOC,S100A8,STAT1,TLR4,TNFRSF1B	
Autoimmune Thyroid Disease Signaling	6.66E00	1.63E-01	NaN	FCER1G,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG4	
Type I Diabetes Mellitus Signaling	6.63E00	9.91E-02	-0.816	FCER1G,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,JAK1,MAPK1,NFKBIA,STAT1,TNFRSF1B	
PI3K Signaling in B Lymphocytes	6.55E00	8.7E-02	0.000	CBL,FOS,INPP5D,LYN,MAPK1,NFKBIA,PIK3AP1,PLCB2,PRKCB,PTPRC,RAC1,TLR4	
fMLP Signaling in Neutrophils	6.43E00	9.48E-02	-2.333	ACTR2,ACTR3,ARPC2,FPR1,FPR3,GNB1,MAPK1,NFKBIA,PLCB2,PRKCB,RAC1	
Systemic Lupus Erythematosus Signaling	6.42E00	6.55E-02	NaN	CBL,FCER1G,FCGR3A/FCGR3B,FOS,HLA-A,HLA-B,HLA-E,IGHG1,IGHG4,INPP5D,LYN,MAPK1,PTPN6,PTPRC,TLR7	
Complement System	6.35E00	1.89E-01	1.000	C1QA,C1QB,C1QC,C3AR1,ITGAM,ITGAX,SERPING1	
RhoA Signaling	6.17E00	8.94E-02	-2.111	ACTB,ACTG1,ACTR2,ACTR3,ARHGAP4,ARPC2,CFL1,MYL6,PFN1,PPP1CB,SEPTIN9	
Phagosome Maturation	6.13E00	7.95E-02	NaN	B2M,CTSB,CTSC,CTSL,DYNC1H1,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,PRDX1,TAP1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	6.04E00	7.79E-02	1.667	C1QA,C1QB,C1QC,C3AR1,IFIH1,IRF7,MAPK1,OAS2,OAS3,PRKCB,TLR4,TLR7	
Allograft Rejection Signaling	5.72E00	1.05E-01	NaN	B2M,FCER1G,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG4	
Natural Killer Cell Signaling	5.67E00	6.6E-02	-1.387	B2M,CFL1,FCER1G,FCGR3A/FCGR3B,HLA-A,HLA-B,HLA-E,ITGAL,MAPK1,PTPN6,RAC1,RAC2,RASSF5	
Rac Signaling	5.66E00	8.93E-02	-1.897	ACTR2,ACTR3,ARPC2,CD44,CFL1,CYFIP1,CYFIP2,ITGA4,MAPK1,RAC1	
IL-8 Signaling	5.6E00	6.5E-02	-1.155	FOS,GNB1,HMOX1,IRAK3,ITGAM,ITGAX,MAPK1,PLCB2,PRKCB,RAC1,RAC2,RHOC,VASP	
IL-10 Signaling	5.49E00	1.16E-01	NaN	BLVRB,CCR1,CD14,FOS,HMOX1,JAK1,MAPK1,NFKBIA	
T Cell Exhaustion Signaling Pathway	5.45E00	6.86E-02	-0.447	FCER1G,FOS,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,JAK1,LGALS9,MAPK1,PTPN6,STAT1	
Actin Nucleation by ARP-WASP Complex	5.35E00	1.11E-01	-1.890	ACTR2,ACTR3,ARPC2,ITGA4,RAC1,RAC2,RHOC,VASP	
Role of NFAT in Regulation of the Immune Response	5.3E00	6.63E-02	0.000	FCER1G,FCGR3A/FCGR3B,FOS,GNB1,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,LYN,MAPK1,NFKBIA,PLCB2	
B Cell Development	5.18E00	1.67E-01	NaN	HLA-A,HLA-B,HLA-DRA,HLA-DRB1,PTPRC,SPN	
Toll-like Receptor Signaling	5.17E00	1.05E-01	0.378	CD14,FOS,IRAK3,MAPK1,NFKBIA,TLR4,TLR7,TNFAIP3	
Reelin Signaling in Neurons	5.1E00	7.75E-02	-1.897	ACTR2,ACTR3,ARPC2,CFL1,HCK,ITGA4,ITGAL,LYN,MAPK1,RAC1	
ILK Signaling	5.09E00	6.32E-02	-1.897	ACTB,ACTG1,CFL1,FLNA,FOS,MAPK1,MYL6,NACA,RAC1,RAC2,RHOC,TMSB10/TMSB4X	
IL-3 Signaling	5.04E00	1.01E-01	0.707	FOS,INPP5D,JAK1,MAPK1,PRKCB,PTPN6,RAC1,STAT1	
iCOS-iCOSL Signaling in T Helper Cells	4.81E00	8.11E-02	2.449	FCER1G,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,INPP5D,NFKBIA,PTPRC,RAC1	
MIF Regulation of Innate Immunity	4.77E00	1.43E-01	1.633	CD14,CD74,FOS,MAPK1,NFKBIA,TLR4	
Role of PKR in Interferon Induction and Antiviral Response	4.62E00	7.69E-02	0.378	FOS,IFIH1,JAK1,MAPK1,MARCO,MSR1,NFKBIA,STAT1,TLR4	
OX40 Signaling Pathway	4.62E00	8.89E-02	NaN	B2M,FCER1G,HLA-A,HLA-B,HLA-DRA,HLA-DRB1,HLA-E,NFKBIA	
Hepatic Fibrosis Signaling Pathway	4.51E00	4.35E-02	-1.000	FOS,FTL,IRAK3,ITGA4,JAK1,MAPK1,MYL6,NFKBIA,PRKCB,RAC1,RAC2,RHOC,SOD2,TIMP1,TLR4,TNFRSF1B	
