© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	8.27E00	1.39E-01	2.236	IFI6,IFIT3,ISG15,MX1,STAT1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.3E00	6.35E-02	-1.000	ADAR,ISG15,NFKBIA,STAT1	
Role of PKR in Interferon Induction and Antiviral Response	4.23E00	3.42E-02	1.000	EIF2AK2,HSPA8,NFKBIA,STAT1	
Role of IL-17A in Psoriasis	3.61E00	1.54E-01	NaN	S100A8,S100A9	
Death Receptor Signaling	3.23E00	3.3E-02	NaN	ACTG1,NFKBIA,PARP9	
T Cell Receptor Signaling	3.05E00	2.86E-02	NaN	CD8A,CD8B,NFKBIA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.57E00	1.95E-02	NaN	EIF2AK2,OAS2,OAS3	
Necroptosis Signaling Pathway	2.55E00	1.91E-02	NaN	EIF2AK2,SLC25A6,STAT1	
iNOS Signaling	2.52E00	4.44E-02	NaN	NFKBIA,STAT1	
FAT10 Cancer Signaling Pathway	2.5E00	4.35E-02	NaN	EEF1A1,NFKBIA	
Hematopoiesis from Pluripotent Stem Cells	2.45E00	4.08E-02	NaN	CD8A,CD8B	
Primary Immunodeficiency Signaling	2.43E00	4E-02	NaN	CD8A,IL7R	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.33E00	1.6E-02	NaN	NFKBIA,S100A8,STAT1	
ILK Signaling	2.31E00	1.58E-02	NaN	ACTG1,NACA,TMSB10/TMSB4X	
Clathrin-mediated Endocytosis Signaling	2.29E00	1.55E-02	NaN	ACTG1,HSPA8,S100A8	
Diphthamide Biosynthesis	2.27E00	3.33E-01	NaN	EEF2	
Induction of Apoptosis by HIV1	2.26E00	3.28E-02	NaN	NFKBIA,SLC25A6	
Osteoarthritis Pathway	2.19E00	1.42E-02	NaN	S100A8,S100A9,TCF7	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.16E00	2.9E-02	NaN	IL7R,STAT1	
GM-CSF Signaling	2.15E00	2.86E-02	NaN	RACK1,STAT1	
Toll-like Receptor Signaling	2.08E00	2.63E-02	NaN	EIF2AK2,NFKBIA	
IL-7 Signaling Pathway	2.06E00	2.56E-02	NaN	IL7R,STAT1	
BEX2 Signaling Pathway	2.05E00	2.53E-02	NaN	NFKBIA,TCF7	
Prolactin Signaling	2.03E00	2.47E-02	NaN	STAT1,TCF7	
NF-κB Activation by Viruses	2.02E00	2.44E-02	NaN	EIF2AK2,NFKBIA	
PEDF Signaling	2.02E00	2.44E-02	NaN	NFKBIA,TCF7	
PDGF Signaling	1.97E00	2.33E-02	NaN	EIF2AK2,STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.95E00	2.25E-02	NaN	CD8A,CD8B	
Communication between Innate and Adaptive Immune Cells	1.89E00	2.08E-02	NaN	CD8A,CD8B	
