© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
T Cell Exhaustion Signaling Pathway	5.36E00	2.86E-02	NaN	FOS,HLA-E,PRDM1,STAT1,TCF7	
Prolactin Signaling	5.3E00	4.94E-02	0.000	FOS,SOCS3,STAT1,TCF7	
Type I Diabetes Mellitus Signaling	4.76E00	3.6E-02	NaN	HLA-E,NFKBIA,SOCS3,STAT1	
iNOS Signaling	4.46E00	6.67E-02	NaN	FOS,NFKBIA,STAT1	
IL-10 Signaling	3.9E00	4.35E-02	NaN	FOS,NFKBIA,SOCS3	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.9E00	4.35E-02	NaN	IL7R,SOCS3,STAT1	
Growth Hormone Signaling	3.87E00	4.23E-02	NaN	FOS,SOCS3,STAT1	
Hypoxia Signaling in the Cardiovascular System	3.81E00	4.05E-02	NaN	ATM,LDHA,NFKBIA	
Erythropoietin Signaling	3.78E00	3.95E-02	NaN	FOS,NFKBIA,SOCS3	
JAK/Stat Signaling	3.71E00	3.75E-02	NaN	FOS,SOCS3,STAT1	
UVA-Induced MAPK Signaling	3.45E00	3.06E-02	NaN	ATM,FOS,STAT1	
IL-22 Signaling	3.28E00	8.33E-02	NaN	SOCS3,STAT1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.25E00	8E-02	NaN	SOCS3,STAT1	
Role of PKR in Interferon Induction and Antiviral Response	3.23E00	2.56E-02	NaN	FOS,NFKBIA,STAT1	
IL-6 Signaling	3.14E00	2.4E-02	NaN	FOS,NFKBIA,SOCS3	
TNFR2 Signaling	3.09E00	6.67E-02	NaN	FOS,NFKBIA	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.03E00	1.28E-02	NaN	FOS,NFKBIA,SOCS3,TCF7	
IL-9 Signaling	3.01E00	6.06E-02	NaN	SOCS3,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.98E00	5.88E-02	NaN	SOCS3,STAT1	
IL-17A Signaling in Fibroblasts	2.95E00	5.71E-02	NaN	FOS,NFKBIA	
April Mediated Signaling	2.86E00	5.13E-02	NaN	FOS,NFKBIA	
B Cell Activating Factor Signaling	2.82E00	4.88E-02	NaN	FOS,NFKBIA	
MIF Regulation of Innate Immunity	2.8E00	4.76E-02	NaN	FOS,NFKBIA	
Hepatic Fibrosis Signaling Pathway	2.77E00	1.09E-02	-1.000	FOS,NFKBIA,TCF7,TTN	
IL-23 Signaling Pathway	2.76E00	4.55E-02	NaN	NFKBIA,SOCS3	
Acute Phase Response Signaling	2.69E00	1.68E-02	NaN	FOS,NFKBIA,SOCS3	
Dendritic Cell Maturation	2.67E00	1.64E-02	NaN	HLA-E,NFKBIA,STAT1	
TNFR1 Signaling	2.65E00	4E-02	NaN	FOS,NFKBIA	
