© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	1.19E01	3.61E-01	2.496	IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFITM3,IFNGR1,IRF1,ISG15,JAK1,MX1,STAT1,TAP1	
Role of PKR in Interferon Induction and Antiviral Response	1.03E01	1.62E-01	1.000	FOS,HMGB1,HSP90AA1,HSP90AB1,HSP90B1,IFIH1,IFNGR1,IRF1,JAK1,MAPK1,MARCO,MSR1,NPM1,PYCARD,SP1,STAT1,STAT3,TAB2,TLR4	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	9.79E00	1.02E-01	0.000	CALM1 (includes others),CBL,CD72,CD79B,CSK,FOS,FOXO3,GRB2,IFIH1,IFIT2,IFIT3,IFNGR1,IL6ST,IRF7,ISG15,JAK1,LILRB4,LTB,MAPK1,PIK3AP1,PIK3CG,PRKCB,RAC2,RAP1A,STAT1,STAT3,TLR7,TNFSF10	
Th1 Pathway	9.13E00	1.49E-01	2.138	CD86,GRB2,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNGR1,IL10RB,IRF1,JAK1,LGALS9,PIK3CG,RUNX3,SOCS3,STAT1,STAT3	
Th1 and Th2 Activation Pathway	8.96E00	1.23E-01	NaN	CCR1,CD86,GRB2,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNGR1,IL10RB,IL4R,IRF1,JAK1,LGALS9,PIK3CG,RUNX3,SOCS3,STAT1,STAT3,STAT5B	
Antigen Presentation Pathway	8.88E00	2.82E-01	NaN	CD74,HLA-A,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,PSMB6,TAP1,TAPBP	
Actin Cytoskeleton Signaling	8.45E00	1.06E-01	-0.655	ACTB,ACTR3,ARHGEF1,ARHGEF6,ARPC1B,ARPC4,ARPC5,CD14,CSK,EZR,FLNA,GRB2,MAPK1,MYH9,MYL12B,PIK3CG,PPP1R12A,RAC2,RAP1A,RHOA,ROCK1,TMSB10/TMSB4X,WASF2	
Estrogen Receptor Signaling	8.06E00	8.54E-02	-1.000	ADCY7,ATF4,CDKN1A,CREBBP,CYC1,DDX5,FOS,FOXO3,GNAI3,GRB2,HSP90AA1,HSP90AB1,HSP90B1,JAK1,MAPK1,MED13,MED13L,MYL12B,PIK3CG,PPP1R12A,PRKCB,PRKDC,RAP1A,RHOA,ROCK1,SOD2,SP1,ZDHHC7	
T Cell Exhaustion Signaling Pathway	8.02E00	1.14E-01	0.632	CD86,FOS,FOXP1,HLA-A,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL10RB,JAK1,LGALS9,MAPK1,MGAT5,PIK3CG,PPP2R5C,RAP1A,STAT1,STAT3	
GM-CSF Signaling	7.96E00	1.86E-01	0.577	BCL2A1,CSF2RB,ETS1,GRB2,MAPK1,PIK3CG,PIM1,PRKCB,RACK1,RAP1A,STAT1,STAT3,STAT5B	
