© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL4	 	cytokine	Activated	2.910	 	5.05E-10	ACTG1,AHNAK,CD69,FOS,IL6ST,IL7R,JUNB,LTB,MYC,NFKBIA,PDK1,PIM1,SOCS3	18 (18)
Interferon alpha	 	group	 	0.725	 	5.50E-10	CD69,FOS,HLA-C,IL6ST,IL7R,MYC,MYLIP,NFKBIA,PIM1,SOCS3	20 (17)
IL27	 	cytokine	 	0.980	 	1.40E-09	CD69,FOS,HLA-C,HLA-E,MYC,PIM1,SOCS3	20 (18)
CSF2RA	 	transmembrane receptor	 	1.987	bias	2.57E-09	FOS,JUNB,MYC,PIM1	17 (17)
poly rI:rC-RNA	 	biologic drug	 	1.460	bias	2.81E-09	CD69,FOS,HLA-C,HLA-E,JUNB,LTB,MYC,NFKBIA,PIM1,SOCS3	16 (17)
CSF2RB	 	transmembrane receptor	 	1.969	bias	6.53E-09	FOS,JUNB,MYC,PIM1	18 (18)
NFKBIA	0.608	transcription regulator	 	1.947	 	8.89E-09	CD69,FOS,HSPA8,IL7R,JUNB,MYC,NFKBIA,PIM1,SOCS3	18 (20)
dexamethasone	 	chemical drug	 	0.772	 	1.19E-08	ACTG1,CD69,FOS,HNRNPH1,HSPA8,IL6ST,IL7R,JUNB,KLF9,LTB,MYC,NFKBIA,NFKBIZ,PDK1,PIM1,SOCS3	20 (15)
IL12 (complex)	 	complex	 	1.009	 	1.64E-08	CD69,FOS,IL7R,LTB,MYC,PIM1,SOCS3	19 (18)
PDGF BB	 	complex	Activated	2.305	 	1.89E-08	CCNL1,FOS,HLA-E,JUNB,MYC,PIM1,SOCS3,TRA2B	19 (19)
HRAS	 	enzyme	 	0.186	 	2.01E-08	ACTG1,CD69,FOS,HSPA8,IL7R,JUNB,MYC,NFKBIA,SOCS3,TMSB10/TMSB4X	17 (14)
EPOR	 	transmembrane receptor	 	 	 	2.14E-08	JUNB,MYC,PIM1,SOCS3	16 (14)
LIF	 	cytokine	Activated	2.409	 	2.20E-08	AHNAK,FOS,IL6ST,JUNB,MYC,PIM1,SOCS3	15 (16)
lipopolysaccharide	 	chemical drug	 	1.248	 	2.40E-08	CCNL1,CD69,FOS,GIMAP7,H3-3A/H3-3B,HSPA8,IL6ST,IL7R,JUNB,MYC,NFKBIA,NFKBIZ,PIM1,SOCS3,TMSB10/TMSB4X	20 (15)
STAT5a/b	 	group	 	1.569	 	2.46E-08	CD69,FOS,MYC,PIM1,SOCS3,STK17B	16 (13)
OSMR	 	transmembrane receptor	 	 	 	3.05E-08	FOS,IL6ST,JUNB,PIM1,SOCS3	14 (14)
