© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	1.19E01	2.05E-01	NaN	HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Th1 Pathway	1.07E01	8.26E-02	-1.134	CCR5,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
Th1 and Th2 Activation Pathway	9.22E00	5.85E-02	NaN	CCR5,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
Allograft Rejection Signaling	9.06E00	9.3E-02	NaN	HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
OX40 Signaling Pathway	8.91E00	8.89E-02	NaN	HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Th2 Pathway	8.81E00	6.62E-02	NaN	CCR5,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
B Cell Development	8.48E00	1.67E-01	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
PD-1, PD-L1 cancer immunotherapy pathway	8.34E00	7.55E-02	1.633	HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
T Helper Cell Differentiation	8.08E00	9.59E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
T Cell Exhaustion Signaling Pathway	7.85E00	5.14E-02	NaN	HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
Graft-versus-Host Disease Signaling	7.7E00	1.25E-01	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Dendritic Cell Maturation	7.68E00	4.92E-02	-1.667	ATF4,CD1C,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
Autoimmune Thyroid Disease Signaling	7.64E00	1.22E-01	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Nur77 Signaling in T Lymphocytes	7.15E00	1.02E-01	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Calcium-induced T Lymphocyte Apoptosis	6.85E00	9.09E-02	-1.633	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Type I Diabetes Mellitus Signaling	6.81E00	6.31E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
Cdc42 Signaling	6.79E00	4.79E-02	NaN	HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Interferon Signaling	6.73E00	1.39E-01	2.236	IFI6,IFITM2,IFITM3,MX1,STAT1	
IL-4 Signaling	6.19E00	7.06E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	6.05E00	6.67E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
iCOS-iCOSL Signaling in T Helper Cells	5.51E00	5.41E-02	-1.633	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	5.49E00	2.7E-02	-1.667	ATF4,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Role of NFAT in Regulation of the Immune Response	5.38E00	3.87E-02	-1.890	FCER1A,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
CD28 Signaling in T Helper Cells	5.32E00	5E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Neuroinflammation Signaling Pathway	4.89E00	2.67E-02	-1.414	ATF4,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,STAT1	
PKCθ Signaling in T Lymphocytes	4.68E00	3.87E-02	-1.633	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.52E00	4.49E-02	NaN	HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5	
Communication between Innate and Adaptive Immune Cells	3.39E00	4.17E-02	NaN	HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5	
p38 MAPK Signaling	3.05E00	3.39E-02	-1.000	ATF4,H3-3A/H3-3B,MAPKAPK2,STAT1	
Role of IL-17A in Psoriasis	3.01E00	1.54E-01	NaN	S100A8,S100A9	
EIF2 Signaling	2.88E00	2.23E-02	NaN	ATF4,EIF1,EIF2AK2,EIF3C,PABPC1	
Phagosome Maturation	2.66E00	2.65E-02	NaN	HLA-A,HLA-DRA,HLA-DRB1,HLA-DRB5	
Lipid Antigen Presentation by CD1	2.4E00	7.69E-02	NaN	CD1C,PSAP	
Clathrin-mediated Endocytosis Signaling	2.28E00	2.07E-02	NaN	CLTC,LYZ,S100A8,UBC	
Osteoarthritis Pathway	2.14E00	1.9E-02	NaN	ATF4,CTNNA1,S100A8,S100A9	
Diphthamide Biosynthesis	1.97E00	3.33E-01	NaN	EEF2	
IL-12 Signaling and Production in Macrophages	1.91E00	2.27E-02	NaN	LYZ,S100A8,STAT1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.74E00	1.95E-02	NaN	EIF2AK2,OAS2,OAS3	
Regulation of eIF4 and p70S6K Signaling	1.71E00	1.91E-02	NaN	EIF1,EIF3C,PABPC1	
Necroptosis Signaling Pathway	1.71E00	1.91E-02	NaN	EIF2AK2,STAT1,UBC	
Lactose Degradation III	1.67E00	1.67E-01	NaN	PSAP	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.66E00	3.17E-02	NaN	ADAR,STAT1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.65E00	3.12E-02	NaN	CCR5,PLAC8	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.52E00	1.61E-02	NaN	CCR5,KLF6,STAT1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.51E00	1.6E-02	NaN	LYZ,S100A8,STAT1	
Toll-like Receptor Signaling	1.51E00	2.63E-02	NaN	EIF2AK2,UBC	
