© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Estrogen Receptor Signaling	9.78E00	1.25E-01	0.316	ATF4,BCL2,CFL1,DDX5,EP300,FOS,GNAI2,GNG2,GRB2,HNRNPD,HSP90B1,IGF1R,JUN,LIMK1,MAPK1,MED1,MED13,MED13L,MMP11,MPRIP,MYL12A,MYL12B,MYL6,NCOR1,NCOR2,NR3C1,NRIP1,PDIA3,PIK3CD,PIK3R1,PLCL1,PRKCB,PRKCH,PTEN,RAF1,RAP1B,ROCK1,RRAS2,SDHC,TFAM,THRAP3	
Actin Cytoskeleton Signaling	9.53E00	1.47E-01	-2.556	ACTG1,ACTN4,ACTR2,ARHGEF6,ARPC1B,CDC42,CFL1,CSK,CYFIP2,DIAPH1,FGD3,GRB2,IQGAP1,ITGA4,LIMK1,MAPK1,MPRIP,MSN,MYL12A,MYL12B,MYL6,PAK2,PDGFD,PIK3CD,PIK3R1,RAF1,RAP1B,ROCK1,RRAS2,TLN1,TMSB10/TMSB4X,VCL	
Renal Cell Carcinoma Signaling	9.48E00	2.37E-01	-1.069	CDC42,EP300,ETS1,FOS,GRB2,JUN,MAPK1,PAK2,PIK3CD,PIK3R1,PTPN11,RAF1,RAP1B,RAPGEF1,RRAS2,TGFB1,UBA52,UBB,UBC	
Integrin Signaling	8.54E00	1.41E-01	-3.157	ACTG1,ACTN4,ACTR2,ARF1,ARPC1B,CAPN7,CAPNS1,CDC42,FNBP1,GRB2,ITGA4,ITGA6,ITGAL,ITGB7,MAPK1,MPRIP,MYL12A,MYL12B,PAK2,PIK3CD,PIK3R1,PTEN,RAF1,RAP1B,RAPGEF1,ROCK1,RRAS2,TLN1,VCL,WIPF1	
Cdc42 Signaling	8.41E00	1.56E-01	-0.218	ACTR2,ARHGEF6,ARPC1B,B2M,CD3D,CD3G,CDC42,CFL1,DIAPH1,FGD3,FOS,HLA-C,HLA-DOA,HLA-E,IQGAP1,ITGA4,JUN,LIMK1,MAPK1,MPRIP,MYL12A,MYL12B,MYL6,PAK2,RAF1,WIPF1	
HGF Signaling	7.72E00	1.8E-01	-0.728	CDC42,CDK2,ELF1,ELK3,ETS1,FOS,GRB2,ITGA4,JUN,MAP3K13,MAPK1,PIK3CD,PIK3R1,PRKCB,PRKCH,PTPN11,RAF1,RAP1B,RAPGEF1,RRAS2	
Signaling by Rho Family GTPases	7.72E00	1.27E-01	-1.134	ACTG1,ACTR2,ARHGEF3,ARHGEF6,ARPC1B,CDC42,CFL1,FNBP1,FOS,GNAI2,GNG2,IQGAP1,ITGA4,JUN,LIMK1,MAPK1,MSN,MYL12A,MYL12B,MYL6,PAK2,PIK3CD,PIK3R1,PIP4K2C,PPP1R12C,RAF1,ROCK1,SEPTIN6,SEPTIN7,VIM,WIPF1	
Natural Killer Cell Signaling	7.5E00	1.37E-01	-0.577	B2M,CDC42,CFL1,COL5A3,GRB2,HLA-C,HLA-E,HSPA8,IL18R1,ITGAL,KLRD1,LCK,LIMK1,MAP3K13,MAPK1,NFATC2,PAK2,PIK3CD,PIK3R1,PTPN11,RAF1,RAP1B,ROCK1,RRAS2,SH2D1A,STAT4,WIPF1	
NRF2-mediated Oxidative Stress Response	7.28E00	1.38E-01	-0.243	ACTG1,ATF4,DNAJB1,DNAJB14,DNAJC13,DNAJC4,EP300,ERP29,FOS,FTL,GSR,GSTK1,HERPUD1,JUN,JUNB,JUND,MAPK1,PIK3CD,PIK3R1,PRKCB,PRKCH,RAF1,RAP1B,RRAS2,SOD1,UBB	
Paxillin Signaling	7.19E00	1.76E-01	-1.500	ACTG1,ACTN4,ARF1,ARHGEF6,CDC42,CSK,GRB2,ITGA4,ITGA6,ITGAL,ITGB7,MAPK1,PAK2,PIK3CD,PIK3R1,RAP1B,RRAS2,TLN1,VCL	
Rac Signaling	6.93E00	1.7E-01	-0.688	ACTR2,ARPC1B,CD44,CDC42,CFL1,CYFIP2,ELK4,IQGAP1,ITGA4,JUN,LIMK1,MAPK1,PAK2,PIK3CD,PIK3R1,PIP4K2C,RAF1,RAP1B,RRAS2	
T Cell Receptor Signaling	6.67E00	1.71E-01	NaN	CALM1 (includes others),CD3D,CD3G,CD8A,CSK,FOS,GRB2,JUN,LCK,MAPK1,NFATC2,NFKBIA,PIK3CD,PIK3R1,PTPRC,RAF1,RAP1B,RRAS2	
FAK Signaling	6.61E00	1.79E-01	NaN	ACTG1,ARHGEF6,CAPN7,CAPNS1,CSK,GRB2,ITGA4,MAPK1,PAK2,PIK3CD,PIK3R1,PTEN,RAF1,RAP1B,RRAS2,TLN1,VCL	
Virus Entry via Endocytic Pathways	6.54E00	1.68E-01	NaN	ACTG1,AP2B1,AP2M1,B2M,CDC42,HLA-C,HLA-E,ITGA4,ITGA6,ITGAL,ITGB7,PIK3CD,PIK3R1,PRKCB,PRKCH,RAP1B,RRAS2,TFRC	
RhoGDI Signaling	6.51E00	1.33E-01	1.706	ACTG1,ACTR2,ARHGAP9,ARHGDIB,ARHGEF3,ARHGEF6,ARPC1B,CD44,CDC42,CFL1,EP300,FNBP1,GNAI2,GNG2,ITGA4,LIMK1,MSN,MYL12A,MYL12B,MYL6,PAK2,PIP4K2C,PPP1R12C,ROCK1	
PAK Signaling	6.47E00	1.75E-01	-0.500	ARHGEF6,CDC42,CFL1,GRB2,ITGA4,LIMK1,MAPK1,MYL12A,MYL12B,MYL6,PAK2,PDGFD,PIK3CD,PIK3R1,RAF1,RAP1B,RRAS2	
Leukocyte Extravasation Signaling	6.34E00	1.27E-01	-3.411	ACTG1,ACTN4,ARHGAP9,CD44,CDC42,CLDN12,GNAI2,ICAM3,ITGA4,ITGA6,ITGAL,MAPK1,MMP11,MSN,MYL6,PIK3CD,PIK3R1,PRKCB,PRKCH,PTPN11,RAP1B,ROCK1,SPN,VCL,WIPF1	
Th1 and Th2 Activation Pathway	6.34E00	1.35E-01	NaN	CD3D,CD3G,CD8A,CHD4,GATA3,GRB2,HLA-DOA,ICOS,IKZF1,IL10RA,IL18R1,JUN,KLRD1,LTA,mir-29,NFATC2,PIK3CD,PIK3R1,RUNX3,STAT4,STAT6,TGFB1,TGFBR3	
B Cell Receptor Signaling	6.29E00	1.3E-01	-1.279	APBB1IP,ATF4,CALM1 (includes others),CDC42,CFL1,CSK,ETS1,GRB2,IGHA1,INPP5B,JUN,MAP3K13,MAPK1,NFATC2,NFKBIA,PIK3CD,PIK3R1,PRKCB,PTEN,PTPN11,PTPRC,RAF1,RAP1B,RRAS2	
Prolactin Signaling	6.1E00	1.85E-01	-0.277	EP300,FOS,GRB2,JUN,MAPK1,NR3C1,PIK3CD,PIK3R1,PRKCB,PRKCH,PTPN11,RAF1,RAP1B,RRAS2,TCF7	
Protein Ubiquitination Pathway	6.1E00	1.1E-01	NaN	B2M,BIRC3,BIRC6,DNAJB1,DNAJB14,DNAJC13,DNAJC4,HLA-C,HLA-E,HSP90B1,HSPA8,PSMA7,PSMB4,PSMB9,PSMC5,PSMD12,PSME2,SKP1,SMURF2,UBA52,UBB,UBC,UBE2I,UBE2V1,UBE3A,UBR2,USP15,USP16,USP34,USP9X	
14-3-3-mediated Signaling	6.05E00	1.5E-01	0.243	CDKN1B,FOS,GRB2,JUN,MAPK1,PDIA3,PIK3CD,PIK3R1,PLCL1,PRKCB,PRKCH,RAF1,RAP1B,RRAS2,SRPK2,TUBB2B,VIM,YWHAQ,YWHAZ	
Glucocorticoid Receptor Signaling	5.99E00	1.01E-01	NaN	ANXA1,ARID1A,ARID2,BCL2,BRD7,CCL5,CD3D,CD3G,EP300,FOS,GRB2,HMGB1,HSP90B1,HSPA8,JUN,MAPK1,MED1,NCOR1,NCOR2,NFATC2,NFKBIA,NR3C1,NRIP1,PIK3CD,PIK3R1,RAF1,RAP1B,RRAS2,SMARCA4,TAF3,TAF5,TAF7,TGFB1,UBE2I	
RAR Activation	5.91E00	1.24E-01	NaN	ARID1A,ARID2,BRD7,CSK,EP300,FOS,JUN,MAPK1,MED1,NCOR1,NCOR2,NRIP1,PARP1,PIK3CD,PIK3R1,PNRC1,PRKCB,PRKCH,PRMT2,PSMC5,PTEN,SMARCA4,TGFB1,TNIP1	
CD28 Signaling in T Helper Cells	5.78E00	1.5E-01	-1.069	ACTR2,ARPC1B,CALM1 (includes others),CD3D,CD3G,CDC42,CSK,FOS,GRB2,HLA-DOA,JUN,LCK,NFATC2,NFKBIA,PIK3CD,PIK3R1,PTPN11,PTPRC	
Regulation of Cellular Mechanics by Calpain Protease	5.77E00	2E-01	0.000	ACTN4,CAPN7,CAPNS1,CAST,CDK2,CDKN1B,GRB2,ITGA4,MAPK1,RAP1B,RRAS2,TLN1,VCL	
Antigen Presentation Pathway	5.6E00	2.56E-01	NaN	B2M,CALR,CD74,HLA-C,HLA-DOA,HLA-E,MR1,PDIA3,PSMB9,TAPBP	
Protein Kinase A Signaling	5.58E00	9.3E-02	0.000	AKAP13,AKAP9,ATF4,CALM1 (includes others),CDC25B,DUSP5,EPM2A,GDE1,GNAI2,GNG2,H1-10,H1-3,MAPK1,MPPE1,MYL12A,MYL12B,MYL6,NFATC2,NFKBIA,PDE3B,PDIA3,PLCL1,PRKCB,PRKCH,PTEN,PTPN11,PTPN4,PTPRC,PTPRJ,PTPRS,RAF1,RAP1B,ROCK1,TCF7,TGFB1,YWHAQ,YWHAZ	
PPAR Signaling	5.36E00	1.54E-01	0.000	EP300,FOS,GRB2,HSP90B1,JUN,MAPK1,MED1,NCOR1,NCOR2,NFKBIA,NRIP1,PDGFD,RAF1,RAP1B,RRAS2,TNFRSF1B	
Reelin Signaling in Neurons	5.32E00	1.4E-01	-2.183	ACTR2,APBB1,ARHGEF3,ARHGEF6,ARPC1B,CDC42,CFL1,ITGA4,ITGA6,ITGAL,LCK,LIMK1,MAPK1,PIK3CD,PIK3R1,RAP1B,RAPGEF1,YES1	
Regulation of Actin-based Motility by Rho	5.26E00	1.6E-01	-1.604	ACTR2,ARPC1B,CDC42,CFL1,FNBP1,ITGA4,LIMK1,MPRIP,MYL12A,MYL12B,MYL6,PAK2,PIP4K2C,ROCK1,WIPF1	
PD-1, PD-L1 cancer immunotherapy pathway	5.25E00	1.51E-01	0.535	B2M,CDK2,CDKN1B,CSK,HLA-C,HLA-DOA,HLA-E,LATS1,LCK,MR1,PIK3CD,PIK3R1,PTEN,PTPN11,TGFB1,TNFRSF1B	
