© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon Signaling	9.1E00	1.67E-01	2.449	IFIT3,ISG15,MX1,OAS1,STAT1,TAP1	
Antigen Presentation Pathway	5.33E00	1.03E-01	NaN	B2M,CALR,HLA-B,TAP1	
Communication between Innate and Adaptive Immune Cells	5.09E00	5.21E-02	NaN	B2M,CCL5,HLA-B,IGHG1,IGHM	
Allograft Rejection Signaling	3.96E00	4.65E-02	NaN	B2M,GZMB,HLA-B,IGHG1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	3.9E00	8.82E-02	NaN	B2M,GZMB,HLA-B	
Dendritic Cell Maturation	3.74E00	2.73E-02	-0.447	B2M,FCGR3A/FCGR3B,HLA-B,IGHG1,STAT1	
Autoimmune Thyroid Disease Signaling	3.43E00	6.12E-02	NaN	GZMB,HLA-B,IGHG1	
Primary Immunodeficiency Signaling	3.4E00	6E-02	NaN	IGHG1,IGHM,TAP1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.1E00	4.76E-02	NaN	ADAR,ISG15,STAT1	
Phagosome Maturation	3.03E00	2.65E-02	NaN	B2M,CALR,HLA-B,TAP1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3E00	2.6E-02	NaN	CCL5,OAS1,OAS2,OAS3	
GM-CSF Signaling	2.97E00	4.29E-02	NaN	ETS1,RACK1,STAT1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.94E00	1.82E-02	2.236	IFIT3,IGHG1,IGHM,ISG15,STAT1	
Caveolar-mediated Endocytosis Signaling	2.92E00	4.11E-02	NaN	ACTB,B2M,HLA-B	
IL-7 Signaling Pathway	2.84E00	3.85E-02	NaN	IGHG1,IGHM,STAT1	
T Cell Exhaustion Signaling Pathway	2.8E00	2.29E-02	NaN	GZMB,HLA-B,PPP2R5C,STAT1	
Neuroinflammation Signaling Pathway	2.77E00	1.67E-02	-0.447	B2M,CCL5,CX3CR1,HLA-B,STAT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.67E00	3.37E-02	NaN	B2M,HLA-B,PPP2R5C	
Lipid Antigen Presentation by CD1	2.6E00	7.69E-02	NaN	B2M,CALR	
