© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
B Cell Development	1.28E01	3.06E-01	NaN	CD79A,CD79B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IGHD,IL7R,PTPRC	
Antigen Presentation Pathway	1.23E01	2.82E-01	NaN	CANX,CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E	
Autoimmune Thyroid Disease Signaling	9.73E00	2.04E-01	NaN	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG2,IGHG3	
Allograft Rejection Signaling	9.53E00	1.4E-01	NaN	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG2,IGHG3	
Dendritic Cell Maturation	8.45E00	8.2E-02	-0.832	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,IGHG1,IGHG2,IGHG3,IRF8,LTB,MAPK14,NFKBIA,STAT1	
B Cell Receptor Signaling	8.39E00	8.11E-02	-1.414	CD79A,CD79B,ETS1,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,JUN,MAP3K1,MAPK14,NFKBIA,PAX5,PRKCB,PTPRC	
Type I Diabetes Mellitus Signaling	8.23E00	1.08E-01	0.447	APAF1,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,JAK1,MAPK14,NFKBIA,STAT1	
Th2 Pathway	8.2E00	9.56E-02	-2.000	CXCR4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IL24,IL4R,JAK1,JUN	
OX40 Signaling Pathway	8.16E00	1.22E-01	NaN	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,JUN,NFKBIA	
Th1 and Th2 Activation Pathway	7.92E00	8.19E-02	NaN	CXCR4,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IL24,IL4R,JAK1,JUN,STAT1	
Communication between Innate and Adaptive Immune Cells	7.86E00	1.15E-01	NaN	CCL5,CD79A,CD79B,HLA-DRA,HLA-DRB1,HLA-E,IGHA1,IGHD,IGHG1,IGHG2,IGHG3	
Primary Immunodeficiency Signaling	7.01E00	1.6E-01	NaN	CD79A,IGHA1,IGHD,IGHG1,IGHG2,IGHG3,IL7R,PTPRC	
T Cell Exhaustion Signaling Pathway	6.89E00	7.43E-02	0.000	FOXP1,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,JAK1,JUN,STAT1	
Phagosome Maturation	6.73E00	7.95E-02	NaN	ATP6V1G1,CANX,CTSD,CTSG,CTSS,CYBB,HLA-DRA,HLA-DRB1,HLA-E,MPO,PRDX5,TUBB	
PD-1, PD-L1 cancer immunotherapy pathway	6.39E00	9.43E-02	2.828	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,JAK1	
Neuroinflammation Signaling Pathway	6.36E00	5.33E-02	-1.291	APP,BIRC3,CCL5,CFLAR,CYBB,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,JAK1,JUN,MAPK14,STAT1	
Cdc42 Signaling	6.25E00	7.19E-02	NaN	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,JUN,MAPK14,MYL6	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	6.02E00	1E-01	NaN	CD79A,CD79B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,LTB	
Graft-versus-Host Disease Signaling	5.92E00	1.46E-01	NaN	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E	
CD28 Signaling in T Helper Cells	5.89E00	8.33E-02	NaN	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,JUN,MAP3K1,NFKBIA,PTPRC	
Th1 Pathway	5.85E00	8.26E-02	-2.121	HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,JAK1,STAT1	
T Helper Cell Differentiation	5.71E00	1.1E-01	NaN	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IL4R,STAT1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.71E00	6.38E-02	-0.302	CYBB,IRF8,JAK1,JUN,LYZ,MAP3K1,MAPK14,MPO,NFKBIA,PRKCB,S100A8,STAT1	
Nur77 Signaling in T Lymphocytes	5.3E00	1.19E-01	NaN	APAF1,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1	
IL-4 Signaling	5.21E00	9.41E-02	NaN	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,IL4R,JAK1	
Role of NFAT in Regulation of the Immune Response	5.08E00	6.08E-02	-3.162	CD79A,CD79B,GNAS,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,JUN,NFKBIA	
Role of PKR in Interferon Induction and Antiviral Response	5.07E00	7.69E-02	-0.333	APAF1,HSP90B1,HSPA5,IL24,JAK1,JUN,MAPK14,NFKBIA,STAT1	
Calcium-induced T Lymphocyte Apoptosis	4.97E00	1.06E-01	-2.646	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,PRKCB	
Leukocyte Extravasation Signaling	4.73E00	5.58E-02	0.632	ACTB,ACTG1,ACTN1,CD44,CXCR4,CYBB,EZR,MAPK14,MMP8,MYL6,PRKCB	
IL-7 Signaling Pathway	4.49E00	8.97E-02	0.378	IGHG1,IL7R,JAK1,JUN,MAPK14,PAX5,STAT1	
Glucocorticoid Receptor Signaling	4.42E00	4.17E-02	NaN	ACTB,ANXA1,CCL5,DUSP1,HSP90B1,HSPA5,JAK1,JUN,MAP3K1,MAPK14,NFKBIA,SLPI,STAT1,TSC22D3	
iCOS-iCOSL Signaling in T Helper Cells	4.36E00	7.21E-02	-2.449	HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,NFKBIA,PTPRC	
Unfolded protein response	4.36E00	1.07E-01	2.449	CANX,CEBPE,HSP90B1,HSPA5,P4HB,XBP1	
IL-17A Signaling in Fibroblasts	4.33E00	1.43E-01	NaN	IL17RA,JUN,LCN2,MAPK14,NFKBIA	
Interferon Signaling	4.26E00	1.39E-01	1.342	IFI6,ISG15,JAK1,MX1,STAT1	
