© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Antigen Presentation Pathway	2.49E01	3.85E-01	NaN	B2M,CD74,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
OX40 Signaling Pathway	2.04E01	1.78E-01	NaN	B2M,CD4,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN	
Cdc42 Signaling	1.74E01	1.02E-01	NaN	B2M,FOS,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN,MYL6	
Allograft Rejection Signaling	1.73E01	1.63E-01	NaN	B2M,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
PD-1, PD-L1 cancer immunotherapy pathway	1.6E01	1.32E-01	3.464	B2M,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Graft-versus-Host Disease Signaling	1.54E01	2.29E-01	NaN	HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Autoimmune Thyroid Disease Signaling	1.53E01	2.24E-01	NaN	HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Th2 Pathway	1.44E01	1.03E-01	NaN	CD4,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NOTCH2,SOCS3	
T Cell Exhaustion Signaling Pathway	1.42E01	8.57E-02	NaN	FOS,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN	
Th1 Pathway	1.37E01	1.07E-01	-3.317	CD4,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NOTCH2,SOCS3	
Th1 and Th2 Activation Pathway	1.3E01	8.19E-02	NaN	CD4,HLA-B,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN,NOTCH2,SOCS3	
Role of NFAT in Regulation of the Immune Response	1.27E01	7.73E-02	-2.673	CALM1 (includes others),CD4,FCGR1A,FCGR1B,FOS,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN	
Type I Diabetes Mellitus Signaling	1.27E01	1.08E-01	NaN	HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,SOCS3	
Dendritic Cell Maturation	1.26E01	7.65E-02	-2.309	B2M,FCGR1A,FCGR1B,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
CD28 Signaling in T Helper Cells	1.23E01	1E-01	-2.000	CALM1 (includes others),CD4,FOS,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN	
Calcium-induced T Lymphocyte Apoptosis	1.21E01	1.52E-01	-3.162	CALM1 (includes others),CD4,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.13E01	4.8E-02	-3.000	B2M,FOS,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN	
B Cell Development	1.12E01	2.22E-01	NaN	HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Phagosome Maturation	1.11E01	7.95E-02	NaN	B2M,CTSA,CTSB,CTSD,CTSS,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Nur77 Signaling in T Lymphocytes	1.1E01	1.53E-01	NaN	CALM1 (includes others),HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Neuroinflammation Signaling Pathway	1.08E01	5E-02	-3.606	B2M,CSF1R,FOS,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,JUN	
iCOS-iCOSL Signaling in T Helper Cells	9.83E00	9.01E-02	-3.162	CALM1 (includes others),CD4,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
PKCθ Signaling in T Lymphocytes	9.65E00	7.1E-02	-3.317	CD4,FOS,HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,JUN	
Communication between Innate and Adaptive Immune Cells	9.05E00	9.38E-02	NaN	B2M,CD4,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
T Helper Cell Differentiation	8.65E00	1.1E-01	NaN	HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
IL-4 Signaling	8.11E00	9.41E-02	NaN	HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Crosstalk between Dendritic Cells and Natural Killer Cells	7.95E00	8.99E-02	-2.000	ACTB,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	7.92E00	8.89E-02	NaN	HLA-B,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	
Virus Entry via Endocytic Pathways	7.32E00	7.48E-02	NaN	ACTB,AP1S2,B2M,CD55,HLA-B,HLA-C,HLA-E,HLA-F	
Caveolar-mediated Endocytosis Signaling	7.22E00	9.59E-02	NaN	ACTB,B2M,CD55,HLA-B,HLA-C,HLA-E,HLA-F	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	6.24E00	1.47E-01	NaN	B2M,HLA-B,HLA-C,HLA-E,HLA-F	
CTLA4 Signaling in Cytotoxic T Lymphocytes	5.35E00	6.74E-02	NaN	AP1S2,B2M,HLA-B,HLA-C,HLA-E,HLA-F	
Aryl Hydrocarbon Receptor Signaling	5.23E00	4.9E-02	-1.000	ALDH2,CTSD,CYP1B1,FOS,GSTP1,HSP90AA1,JUN	
Systemic Lupus Erythematosus Signaling	4.82E00	3.49E-02	NaN	FCGR1A,FCGR1B,FOS,HLA-B,HLA-C,HLA-E,HLA-F,JUN	
Protein Ubiquitination Pathway	4.28E00	2.93E-02	NaN	B2M,DNAJA1,HLA-B,HLA-C,HLA-E,HLA-F,HSP90AA1,UBC	
Autophagy	3.67E00	6.56E-02	NaN	CTSA,CTSB,CTSD,CTSS	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.6E00	4.27E-02	NaN	CFD,HLA-B,HLA-C,HLA-E,HLA-F	
NRF2-mediated Oxidative Stress Response	3.51E00	3.17E-02	NaN	ACTB,DNAJA1,FOS,GSTP1,JUN,JUNB	
Clathrin-mediated Endocytosis Signaling	3.47E00	3.11E-02	NaN	ACTB,AP1S2,CLU,HIP1,S100A8,UBC	
MIF Regulation of Innate Immunity	2.97E00	7.14E-02	NaN	CD74,FOS,JUN	
